cell,day,alive,money_mean,money_p10,money_p90,prestige_mean,prestige_p10,income_mean,quota,spawned_mean,served_mean,lost_mean,missed_mean,packed_mean,delivered_mean,phone_mean,trucksFull_mean,idle_frac,early_frac,rent_mean
P1_zayif_hic_ev,1,1.00,517,495.00,560.00,12.70,12.20,20.40,4,4,2.78,0.94,0,1.88,0.34,0.08,0.18,0.16,0.94,0
P1_zayif_hic_ev,2,1.00,560.55,485.00,665.00,13.03,12.28,52.68,4,4,2.40,1.38,0,1.80,0.88,0.13,0.50,0.18,0.91,0
P1_zayif_hic_ev,3,1.00,606.28,495.00,725.00,13.26,12.44,62.30,4,4,2.36,1.45,0,1.70,1.04,0.11,0.62,0.17,0.91,0
P1_zayif_hic_ev,4,1.00,376.04,240.00,505.00,13.57,12.64,73.10,4,4,2.41,1.42,0,1.68,1.22,0.16,0.65,0.15,0.99,290
P1_zayif_hic_ev,5,1.00,445.80,299.50,587.10,13.76,12.68,78.74,4.08,4.04,2.18,1.65,0.05,1.45,1.27,0.32,0.72,0.20,0.94,0
P1_zayif_hic_ev,6,1.00,500.86,347.70,646.00,14.06,12.72,60.32,4.10,4.07,2.31,1.57,0.03,1.38,0.97,0.34,0.51,0.21,0.97,0
P1_zayif_hic_ev,7,1.00,550.46,390.00,709.00,14.36,13.04,57.76,4.08,4.06,2.38,1.55,0.01,1.43,0.95,0.32,0.48,0.21,0.98,0
P1_zayif_hic_ev,8,1.00,259.48,69.80,447.00,14.65,13.08,69.38,5,4.95,2.80,1.92,0.05,1.82,1.16,0.32,0.68,0.22,0.94,344.48
P1_zayif_hic_ev,9,1.00,321.62,134.70,502.60,14.34,12.39,76.64,5.16,4.88,2.15,2.49,0.28,2.19,1.30,0.30,0.75,0.16,0.77,0
P1_zayif_hic_ev,10,1.00,394.46,179.70,606.40,14.02,11.92,88.47,5.22,4.92,2.22,2.53,0.30,2.81,1.50,0.14,0.83,0.09,0.75,0
P1_zayif_hic_ev,11,1.00,479.30,261.90,702.70,13.88,11.47,102.38,5.13,4.95,2.34,2.38,0.18,2.66,1.72,0.16,0.97,0.08,0.85,0
P1_zayif_hic_ev,12,1.00,191.59,47.90,415.10,13.78,11.36,103.08,5,5,2.42,2.38,0,2.84,1.74,0.09,1.00,0.05,1,372.58
P1_zayif_hic_ev,13,0.99,312.77,120.00,547.30,13.46,10.90,140.29,6.21,5.57,2.61,2.71,0.64,3.36,2.35,0.11,1.18,0.05,0.40,0
P1_zayif_hic_ev,14,0.99,433.36,214.70,696.00,13.17,10.59,139.01,6.05,5.65,2.63,2.79,0.40,3.43,2.32,0.06,1.21,0.04,0.61,0
P1_zayif_hic_ev,15,0.99,545.83,316.40,848.50,12.88,10.03,135.36,6.19,5.84,2.72,2.89,0.35,3.39,2.29,0.08,1.12,0.04,0.67,0
P1_zayif_hic_ev,16,0.99,253.79,50.00,496.30,12.71,9.59,137.94,6,5.99,2.74,2.97,0.01,3.29,2.35,0.08,1.22,0.04,0.98,410.85
P1_zayif_mantikli_ev,1,1.00,280.32,255.00,320.00,12.36,11.96,24.16,4,4,2.32,1.40,0,1.63,0.40,0.18,0.20,0.20,0.93,0
P1_zayif_mantikli_ev,2,1.00,207.30,170.00,255.30,12.63,11.84,48.02,4,4,2.35,1.46,0,1.62,0.81,0.12,0.43,0.18,0.92,0
P1_zayif_mantikli_ev,3,1.00,217.77,155.00,298.70,13.08,12.08,56.36,4,4,2.62,1.17,0,1.80,0.94,0.12,0.55,0.16,0.88,0
P1_zayif_mantikli_ev,4,1.00,39.79,17.00,53.00,13.46,12.12,75.78,4,4,2.54,1.24,0,1.76,1.27,0.14,0.76,0.14,0.98,191.08
P1_zayif_mantikli_ev,5,1.00,103.34,26.00,206.30,13.89,12.48,74.12,4.08,4.06,2.53,1.28,0.03,1.55,1.18,0.29,0.69,0.19,0.96,0
P1_zayif_mantikli_ev,6,1.00,164.83,50.00,273.20,14.38,12.88,71.31,4.10,4.08,2.60,1.25,0.02,1.63,1.15,0.27,0.66,0.19,0.97,0
P1_zayif_mantikli_ev,7,1.00,206.44,93.90,318.00,14.88,13.08,64.71,4.08,4.06,2.62,1.24,0.02,1.70,1.06,0.29,0.61,0.19,0.98,0
P1_zayif_mantikli_ev,8,1.00,176.54,28.80,306.00,13.99,11.76,79.84,5,4.94,3.06,1.66,0.06,1.86,1.33,0.38,0.77,0.20,0.93,70.30
P1_zayif_mantikli_ev,9,1.00,229.47,76.90,350.00,13.96,11.52,81.64,5.16,4.89,2.48,2.13,0.28,2.47,1.38,0.26,0.72,0.15,0.78,0
P1_zayif_mantikli_ev,10,1.00,300.61,160.70,449.50,13.77,11.24,105.88,5.22,4.92,2.36,2.35,0.30,2.98,1.78,0.15,1.01,0.08,0.76,0
P1_zayif_mantikli_ev,11,1.00,329.02,216.70,419.00,13.66,10.87,110.82,5.13,4.96,2.35,2.38,0.16,2.96,1.89,0.13,1.07,0.07,0.85,0
P1_zayif_mantikli_ev,12,1.00,235.29,27.80,379.00,13.26,10.36,112.58,5,5,2.42,2.35,0,2.96,1.90,0.12,1.14,0.05,1,121.92
P1_zayif_mantikli_ev,13,0.50,262.73,82.00,459.50,13.54,10.60,149.13,6.27,5.62,2.84,2.52,0.65,3.93,2.48,0.06,1.33,0.04,0.46,0
P1_zayif_mantikli_ev,14,0.50,352.51,180.00,497.50,13.27,10.14,152.98,6.07,5.76,2.61,2.86,0.31,3.57,2.52,0.06,1.28,0.04,0.69,0
P1_zayif_mantikli_ev,15,0.50,418.35,277.00,555.00,13.16,9.80,155.56,6.21,5.92,2.79,2.86,0.29,3.63,2.60,0.10,1.34,0.04,0.72,0
P1_zayif_mantikli_ev,16,0.50,281.05,18.50,446.50,13.01,9.78,156.95,6,5.97,3,2.74,0.03,3.55,2.64,0.06,1.28,0.03,0.96,144.56
P1_orta_hic_ev,1,1.00,533.02,495.00,583.50,13.05,12.40,36,4,4,2.91,0.97,0,2.68,0.60,0.78,0.34,0.19,0.93,0
P1_orta_hic_ev,2,1.00,629.78,525.00,740.00,14.18,13.28,103.16,4,4,3.17,0.70,0,2.75,1.72,0.44,1.01,0.16,0.93,0
P1_orta_hic_ev,3,1.00,726.52,599.50,868.00,15.27,14.04,107.52,4,4,3.23,0.64,0,2.89,1.79,0.44,1.09,0.16,0.93,0
P1_orta_hic_ev,4,1.00,545.55,397.20,715.30,16.23,14.80,118.34,4,4,2.92,0.96,0,2.40,1.97,0.67,1.13,0.15,0.99,290
P1_orta_hic_ev,5,1.00,649.81,478.60,838.10,17.16,15.52,111.97,4.08,4.08,2.86,1.14,0.01,2.21,1.77,0.91,1.06,0.17,0.97,0
P1_orta_hic_ev,6,1.00,748.95,527.70,954.50,18.17,15.96,102.57,4.10,4.10,2.84,1.16,0.00,2.17,1.59,0.96,0.98,0.18,0.98,0
P1_orta_hic_ev,7,1.00,854.66,628.90,1086.70,19.16,16.72,110.46,4.08,4.07,2.87,1.12,0.00,2.22,1.70,0.88,1,0.19,0.99,0
P1_orta_hic_ev,8,1.00,616.54,375.90,887.20,20.21,17.68,117.80,5,4.98,3.28,1.62,0.02,2.49,1.84,1.16,1.14,0.18,0.98,348
P1_orta_hic_ev,9,1.00,748.69,461.20,1024.60,20.64,17.92,137.04,5.16,4.95,2.74,2.10,0.22,3.32,2.14,0.76,1.26,0.14,0.82,0
P1_orta_hic_ev,10,1.00,908.61,599.90,1202.30,21.25,18.24,165.18,5.22,4.98,2.98,1.87,0.24,4.21,2.56,0.52,1.56,0.09,0.79,0
P1_orta_hic_ev,11,1.00,1093.16,734.70,1418.50,21.82,18.83,186.69,5.13,5.01,2.78,2.12,0.12,4.06,2.86,0.62,1.79,0.08,0.90,0
P1_orta_hic_ev,12,1.00,853.26,464.60,1236.00,22.50,19.24,178.26,5,5,2.85,2.08,0,4.03,2.70,0.64,1.68,0.07,1,416.54
