cell,day,alive,money_mean,money_p10,money_p90,prestige_mean,prestige_p10,income_mean,quota,spawned_mean,served_mean,lost_mean,missed_mean,packed_mean,delivered_mean,phone_mean,trucksFull_mean,idle_frac,early_frac,rent_mean
P1_zayif_hic_ev,1,1.00,516.05,495.00,555.00,12.70,12.20,19.98,4,4,2.79,0.95,0,1.88,0.36,0.08,0.18,0.16,0.95,0
P1_zayif_hic_ev,2,1.00,555.04,485.00,650.00,13.03,12.32,48.58,4,4,2.42,1.37,0,1.77,0.88,0.14,0.49,0.18,0.92,0
P1_zayif_hic_ev,3,1.00,595.48,495.00,705.00,13.29,12.48,55.73,4,4,2.38,1.43,0,1.72,1.01,0.10,0.59,0.17,0.91,0
P1_zayif_hic_ev,4,1.00,358.21,229.50,480.00,13.58,12.60,66.38,4,4,2.39,1.42,0,1.70,1.21,0.15,0.66,0.15,0.99,290
P1_zayif_hic_ev,5,1.00,416.93,285.00,550.30,13.77,12.68,68.39,4.08,4.04,2.21,1.63,0.05,1.44,1.19,0.32,0.67,0.20,0.94,0
P1_zayif_hic_ev,6,1.00,468.76,325.00,608.30,14.08,12.72,57.52,4.09,4.07,2.32,1.55,0.02,1.36,1.00,0.32,0.54,0.21,0.98,0
P1_zayif_hic_ev,7,1.00,515.37,362.70,669.10,14.39,13.00,54.91,4.08,4.06,2.39,1.53,0.02,1.45,0.97,0.30,0.51,0.21,0.98,0
P1_zayif_hic_ev,8,1.00,222.81,66.90,390.20,14.69,13.06,64.50,5,4.96,2.80,1.93,0.04,1.84,1.15,0.34,0.69,0.22,0.94,341.81
P1_zayif_hic_ev,9,1.00,281.56,111.80,447.10,14.42,12.52,72.20,5.16,4.88,2.19,2.46,0.28,2.21,1.32,0.28,0.75,0.16,0.77,0
P1_zayif_hic_ev,10,1.00,350.35,160.80,539.10,14.09,11.92,83.91,5.20,4.93,2.21,2.55,0.27,2.78,1.52,0.14,0.85,0.09,0.77,0
P1_zayif_hic_ev,11,1.00,428.14,224.50,638.70,13.97,11.59,95.03,5.15,4.96,2.39,2.37,0.19,2.69,1.71,0.16,0.95,0.07,0.84,0
P1_zayif_hic_ev,12,1.00,154.20,45.90,346.90,13.88,11.36,98.25,5,5,2.45,2.37,0,2.86,1.76,0.08,1.02,0.05,1,354.05
P1_zayif_hic_ev,13,0.96,263.81,98.60,455.60,13.56,10.95,131.63,6.19,5.57,2.60,2.70,0.62,3.37,2.34,0.11,1.18,0.05,0.40,0
P1_zayif_hic_ev,14,0.96,377.64,192.00,596.60,13.28,10.71,131.31,6.07,5.67,2.66,2.79,0.40,3.42,2.33,0.07,1.21,0.05,0.60,0
P1_zayif_hic_ev,15,0.96,485.59,278.60,749.40,13.03,10.23,130.70,6.17,5.83,2.76,2.84,0.34,3.38,2.34,0.09,1.18,0.04,0.69,0
P1_zayif_hic_ev,16,0.96,216.29,49.00,451.20,12.85,9.95,128.10,6,5.99,2.73,2.98,0.01,3.32,2.31,0.09,1.20,0.03,0.97,378.04
P1_zayif_hic_noev,1,1.00,515.98,495.00,555.00,12.69,12.20,19.07,4,4,2.80,0.95,0,1.89,0.35,0.06,0.17,0.16,0.96,0
P1_zayif_hic_noev,2,1.00,556.58,480.00,650.00,12.98,12.32,51.52,4,4,2.38,1.40,0,1.72,0.94,0.15,0.48,0.18,0.92,0
P1_zayif_hic_noev,3,1.00,597.73,485.00,705.30,13.27,12.48,55,4,4,2.43,1.37,0,1.75,1,0.10,0.59,0.17,0.91,0
P1_zayif_hic_noev,4,1.00,359.63,220.00,480.00,13.54,12.60,64.90,4,4,2.34,1.44,0,1.71,1.18,0.16,0.66,0.16,0.98,290
P1_zayif_hic_noev,5,1.00,409.94,279.80,535.00,13.74,12.60,65.28,4,4,2.22,1.59,0,1.39,1.19,0.29,0.68,0.19,0.99,0
P1_zayif_hic_noev,6,1.00,454.42,309.50,595.00,14.04,12.76,56.77,4,4,2.31,1.53,0,1.43,1.03,0.32,0.54,0.20,1,0
P1_zayif_hic_noev,7,1.00,492.85,329.50,653.00,14.38,13.00,50.28,4,4,2.35,1.44,0,1.42,0.91,0.33,0.47,0.21,1,0
P1_zayif_hic_noev,8,1.00,201.82,59.90,367.00,14.72,13.16,61.45,5,4.92,2.82,1.87,0.08,1.82,1.10,0.32,0.65,0.22,0.91,338.73
P1_zayif_hic_noev,9,1.00,261.84,92.90,430.20,14.62,12.92,74.93,5,4.97,2.36,2.42,0.03,2.15,1.33,0.23,0.77,0.15,0.97,0
P1_zayif_hic_noev,10,1.00,333.41,144.70,515.20,14.53,12.56,89.02,5,4.99,2.46,2.35,0.01,2.71,1.59,0.11,0.89,0.06,0.99,0
