cell,runs,deathRate,bankruptRate,prestigeDeathRate,finalMoney_mean,finalMoney_p10,finalMoney_p90,finalPrestige_mean,income_total,rent_total,upgrades_total,reroll_total,penalties_total,deaths
P1_zayif_hic_ev,30,0.267,0.267,0.000,252,47,474,13.2,1258,1299,0,0,217,"{""bankrupt@16"": 6, ""bankrupt@12"": 2}"
P1_zayif_hic_noev,30,0.267,0.267,0.000,222,25,449,14.1,1261,1314,0,0,210,"{""bankrupt@16"": 5, ""bankrupt@12"": 3}"
P1_zayif_acgozlu_ev,30,0.033,0.033,0.000,221,64,420,12.2,1384,1078,352,0,233,"{""bankrupt@16"": 1}"
P1_zayif_acgozlu_noev,30,0.067,0.067,0.000,228,50,459,13.5,1368,1036,343,0,244,"{""bankrupt@16"": 2}"
P1_zayif_mantikli_ev,30,0.100,0.100,0.000,233,56,482,12.5,1379,1066,362,0,225,"{""bankrupt@16"": 3}"
P1_zayif_mantikli_noev,30,0.133,0.133,0.000,199,44,423,12.8,1399,1064,368,0,243,"{""bankrupt@16"": 4}"
P1_orta_hic_ev,30,0.000,0.000,0.000,1146,624,1622,25.3,2291,1557,0,0,170,{}
P1_orta_hic_noev,30,0.000,0.000,0.000,1070,577,1475,26.2,2201,1557,0,0,147,{}
P1_orta_acgozlu_ev,30,0.000,0.000,0.000,284,104,455,29.1,2569,1513,1181,0,171,{}
P1_orta_acgozlu_noev,30,0.000,0.000,0.000,358,199,553,31.5,2631,1512,1148,0,192,{}
P1_orta_mantikli_ev,30,0.033,0.033,0.000,331,139,603,27.6,2636,1484,1238,0,179,"{""bankrupt@16"": 1}"
P1_orta_mantikli_noev,30,0.000,0.000,0.000,323,150,592,27.0,2645,1484,1218,0,179,{}
P1_iyi_hic_ev,30,0.000,0.000,0.000,2492,1816,3121,38.2,3416,1557,0,0,94,{}
P1_iyi_hic_noev,30,0.000,0.000,0.000,2459,1779,3079,38.1,3398,1557,0,0,58,{}
P1_iyi_acgozlu_ev,30,0.000,0.000,0.000,1223,614,2137,46.7,4574,1425,2580,0,76,{}
P1_iyi_acgozlu_noev,30,0.000,0.000,0.000,1241,457,1942,49.6,4526,1445,2462,0,94,{}
P1_iyi_mantikli_ev,30,0.000,0.000,0.000,1425,760,2121,44.2,4780,1450,2543,0,111,{}
P1_iyi_mantikli_noev,30,0.000,0.000,0.000,1437,624,2477,44.6,4726,1474,2404,0,109,{}
P2_zayif_hic_ev,30,0.233,0.233,0.000,494,181,876,24.2,3149,2883,0,0,463,"{""bankrupt@16"": 3, ""bankrupt@12"": 4}"
P2_zayif_hic_noev,30,0.233,0.233,0.000,502,150,1010,27.1,3351,3010,0,0,489,"{""bankrupt@16"": 6, ""bankrupt@12"": 1}"
P2_zayif_acgozlu_ev,30,0.067,0.067,0.000,374,153,772,24.6,3362,2672,519,0,500,"{""bankrupt@16"": 2}"
P2_zayif_acgozlu_noev,30,0.000,0.000,0.000,409,119,966,26.9,3393,2683,431,0,529,{}
P2_zayif_mantikli_ev,30,0.067,0.067,0.000,421,153,882,24.1,3402,2650,505,0,517,"{""bankrupt@16"": 2}"
P2_zayif_mantikli_noev,30,0.000,0.000,0.000,302,101,519,26.5,3422,2751,497,0,528,{}
P2_orta_hic_ev,30,0.000,0.000,0.000,3413,2412,4085,53.8,6391,3489,0,0,348,{}
