cell,runs,deathRate,bankruptRate,prestigeDeathRate,finalMoney_mean,finalMoney_p10,finalMoney_p90,finalPrestige_mean,income_total,rent_total,upgrades_total,reroll_total,penalties_total,deaths
P1_zayif_hic_ev,250,0.140,0.140,0.000,254,50,496,12.7,1393,1415,0,0,224,"{""bankrupt@16"": 33, ""bankrupt@12"": 2}"
P1_zayif_mantikli_ev,250,0.780,0.780,0.000,301,80,415,12.9,1215,456,774,0,186,"{""bankrupt@12"": 124, ""bankrupt@16"": 71}"
P1_orta_hic_ev,250,0.000,0.000,0.000,1294,808,1829,25.0,2432,1556,0,0,160,{}
P1_orta_mantikli_ev,250,0.068,0.068,0.000,454,129,865,31.0,3394,1181,2140,0,217,"{""bankrupt@12"": 15, ""bankrupt@16"": 2}"
P1_iyi_hic_ev,250,0.000,0.000,0.000,2779,2096,3541,37.7,3715,1557,0,0,80,{}
P1_iyi_mantikli_ev,250,0.000,0.000,0.000,2840,1704,4044,48.5,6198,1289,2708,0,117,{}
P2_zayif_hic_ev,250,0.108,0.108,0.000,517,122,907,24.9,3427,3150,0,0,460,"{""bankrupt@12"": 25, ""bankrupt@8"": 2}"
P2_zayif_mantikli_ev,250,0.840,0.840,0.000,626,310,865,30.2,2202,943,1017,0,278,"{""bankrupt@8"": 118, ""bankrupt@12"": 74, ""bankrupt@16"": 18}"
P2_orta_hic_ev,250,0.000,0.000,0.000,4039,3215,4891,54.1,7025,3489,0,0,371,{}
P2_orta_mantikli_ev,250,0.004,0.004,0.000,3851,2066,5850,66.3,10667,2875,4285,0,526,"{""bankrupt@8"": 1}"
P2_iyi_hic_ev,250,0.000,0.000,0.000,7767,6673,8995,76.9,10399,3489,0,0,168,{}
P2_iyi_mantikli_ev,250,0.000,0.000,0.000,11044,8871,13133,94.5,17518,2844,4409,0,257,{}
P3_zayif_hic_ev,250,0.240,0.240,0.000,811,252,1468,42.3,5381,4916,0,0,538,"{""bankrupt@12"": 48, ""bankrupt@16"": 8, ""bankrupt@8"": 4}"
P3_zayif_mantikli_ev,250,0.944,0.944,0.000,1110,837,1426,34.7,2821,1087,1151,0,287,"{""bankrupt@8"": 175, ""bankrupt@12"": 57, ""bankrupt@16"": 4}"
P3_orta_hic_ev,250,0.000,0.000,0.000,5468,4332,6619,71.4,10980,6120,0,0,453,{}
P3_orta_mantikli_ev,250,0.024,0.024,0.000,5710,3216,8298,82.1,15726,5025,5441,0,617,"{""bankrupt@8"": 6}"
P3_iyi_hic_ev,250,0.000,0.000,0.000,9240,7624,10760,91.7,14356,6120,0,0,186,{}
P3_iyi_mantikli_ev,250,0.000,0.000,0.000,13013,9910,15787,99.6,22885,5072,5712,0,284,{}
P4_zayif_hic_ev,250,0.412,0.412,0.000,1335,472,2180,45.6,6739,5893,0,0,557,"{""bankrupt@12"": 83, ""bankrupt@16"": 4, ""bankrupt@8"": 16}"
P4_zayif_mantikli_ev,250,0.948,0.948,0.000,1555,1253,1912,36.5,3544,1533,1127,0,308,"{""bankrupt@8"": 199, ""bankrupt@12"": 37, ""bankrupt@16"": 1}"
P4_orta_hic_ev,250,0.000,0.000,0.000,5708,4174,7298,78.2,13668,8744,0,0,463,{}
P4_orta_mantikli_ev,250,0.036,0.036,0.000,5885,2420,9542,90.2,18613,7111,6262,0,610,"{""bankrupt@8"": 8, ""bankrupt@12"": 1}"
P4_iyi_hic_ev,250,0.000,0.000,0.000,10173,8294,11954,96.3,17753,8750,0,0,201,{}
P4_iyi_mantikli_ev,250,0.004,0.004,0.000,13538,9640,17123,99.7,26582,7315,6836,0,285,"{""bankrupt@12"": 1}"
