cell,runs,deathRate,bankruptRate,prestigeDeathRate,finalMoney_mean,finalMoney_p10,finalMoney_p90,finalPrestige_mean,income_total,rent_total,upgrades_total,reroll_total,penalties_total,deaths
P1_zayif_hic_ev,300,0.197,0.197,0.000,218,49,446,12.9,1288,1350,0,0,219,"{""bankrupt@16"": 48, ""bankrupt@12"": 11}"
P1_zayif_hic_noev,300,0.190,0.190,0.000,201,38,429,13.7,1285,1353,0,0,206,"{""bankrupt@16"": 42, ""bankrupt@12"": 15}"
P1_zayif_acgozlu_ev,300,1.000,1.000,0.000,220,116,319,12.2,829,122,838,0,141,"{""bankrupt@12"": 291, ""bankrupt@16"": 9}"
P1_zayif_acgozlu_noev,300,1.000,1.000,0.000,212,121,310,12.3,815,120,817,0,140,"{""bankrupt@12"": 292, ""bankrupt@16"": 8}"
P1_zayif_mantikli_ev,300,0.917,0.917,0.000,314,223,405,11.8,971,318,681,0,153,"{""bankrupt@12"": 204, ""bankrupt@16"": 71}"
P1_zayif_mantikli_noev,300,0.933,0.933,0.000,323,224,417,12.0,976,315,660,0,153,"{""bankrupt@12"": 197, ""bankrupt@16"": 83}"
P1_orta_hic_ev,300,0.000,0.000,0.000,1131,679,1635,25.0,2268,1556,0,0,160,{}
P1_orta_hic_noev,300,0.000,0.000,0.000,1077,650,1513,25.2,2248,1556,0,0,164,{}
P1_orta_acgozlu_ev,300,0.543,0.543,0.000,272,82,414,25.8,2385,584,1930,0,168,"{""bankrupt@12"": 123, ""bankrupt@16"": 40}"
P1_orta_acgozlu_noev,300,0.557,0.557,0.000,263,74,393,25.4,2318,548,1890,0,156,"{""bankrupt@12"": 129, ""bankrupt@16"": 38}"
P1_orta_mantikli_ev,300,0.143,0.143,0.000,289,63,481,26.1,2679,1073,1715,0,188,"{""bankrupt@16"": 15, ""bankrupt@12"": 28}"
P1_orta_mantikli_noev,300,0.183,0.183,0.000,276,51,484,25.9,2591,1013,1677,0,184,"{""bankrupt@12"": 33, ""bankrupt@16"": 22}"
P1_iyi_hic_ev,300,0.000,0.000,0.000,2474,1852,3156,37.5,3413,1557,0,0,80,{}
P1_iyi_hic_noev,300,0.000,0.000,0.000,2506,1816,3201,38.1,3471,1557,0,0,77,{}
P1_iyi_acgozlu_ev,300,0.087,0.087,0.000,1687,332,2844,42.7,4686,931,2705,0,94,"{""bankrupt@12"": 25, ""bankrupt@16"": 1}"
P1_iyi_acgozlu_noev,300,0.073,0.073,0.000,1510,314,2730,42.2,4579,937,2743,0,96,"{""bankrupt@12"": 22}"
P1_iyi_mantikli_ev,300,0.007,0.007,0.000,1504,466,2534,41.7,4831,1292,2662,0,110,"{""bankrupt@12"": 2}"
P1_iyi_mantikli_noev,300,0.007,0.007,0.000,1414,484,2484,41.6,4767,1284,2671,0,108,"{""bankrupt@12"": 2}"
P2_zayif_hic_ev,300,0.213,0.213,0.000,465,121,873,24.9,3150,2928,0,0,453,"{""bankrupt@16"": 20, ""bankrupt@12"": 42, ""bankrupt@8"": 2}"
P2_zayif_hic_noev,300,0.207,0.207,0.000,472,109,881,26.6,3263,2980,0,0,458,"{""bankrupt@16"": 27, ""bankrupt@12"": 35}"
P2_zayif_acgozlu_ev,300,1.000,1.000,0.000,537,367,711,24.0,2208,313,1723,0,303,"{""bankrupt@12"": 296, ""bankrupt@16"": 4}"
P2_zayif_acgozlu_noev,300,0.993,0.993,0.000,534,358,714,24.4,2166,312,1636,0,307,"{""bankrupt@12"": 295, ""bankrupt@16"": 3}"
P2_zayif_mantikli_ev,300,0.920,0.920,0.000,629,374,864,24.6,1801,731,841,0,253,"{""bankrupt@12"": 67, ""bankrupt@8"": 189, ""bankrupt@16"": 20}"
P2_zayif_mantikli_noev,300,0.950,0.950,0.000,654,472,869,24.8,1712,668,770,0,236,"{""bankrupt@8"": 200, ""bankrupt@16"": 21, ""bankrupt@12"": 64}"
P2_orta_hic_ev,300,0.000,0.000,0.000,3392,2617,4154,54.2,6370,3489,0,0,367,{}
P2_orta_hic_noev,300,0.000,0.000,0.000,3333,2474,4188,55.4,6347,3489,0,0,355,{}
