cell,day,alive,money_mean,money_p10,income_mean,served,delivered,quota,rent_mean,prestige
P1_zayif_hic,1,1.0,516,495,20,2.8,0.4,4,0,12.7
P1_zayif_hic,2,1.0,555,485,49,2.4,0.9,4,0,13.0
P1_zayif_hic,3,1.0,595,495,56,2.4,1.0,4,0,13.3
P1_zayif_hic,4,1.0,358,230,66,2.4,1.2,4,290,13.6
P1_zayif_hic,5,1.0,417,285,68,2.2,1.2,4.1,0,13.8
P1_zayif_hic,6,1.0,469,325,58,2.3,1.0,4.1,0,14.1
P1_zayif_hic,7,1.0,515,363,55,2.4,1.0,4.1,0,14.4
P1_zayif_hic,8,1.0,223,67,64,2.8,1.1,5,342,14.7
P1_zayif_hic,9,1.0,282,112,72,2.2,1.3,5.2,0,14.4
P1_zayif_hic,10,1.0,350,161,84,2.2,1.5,5.2,0,14.1
P1_zayif_hic,11,1.0,428,224,95,2.4,1.7,5.2,0,14.0
P1_zayif_hic,12,1.0,154,46,98,2.4,1.8,5,354,13.9
P1_zayif_hic,13,0.963,264,99,132,2.6,2.3,6.2,0,13.6
P1_zayif_hic,14,0.963,378,192,131,2.7,2.3,6.1,0,13.3
P1_zayif_hic,15,0.963,486,279,131,2.8,2.3,6.2,0,13.0
P1_zayif_hic,16,0.963,216,49,128,2.7,2.3,6,378,12.9
P1_zayif_acgozlu,1,1.0,219,195,23,2.3,0.4,4,0,12.4
P1_zayif_acgozlu,2,1.0,155,103,45,2.2,0.8,4,0,12.6
P1_zayif_acgozlu,3,1.0,140,75,54,2.5,1.0,4,0,12.9
P1_zayif_acgozlu,4,1.0,28,14,67,2.4,1.2,4,113,13.2
P1_zayif_acgozlu,5,1.0,86,14,67,2.4,1.2,4.1,0,13.5
P1_zayif_acgozlu,6,1.0,129,29,63,2.5,1.1,4.1,0,13.9
P1_zayif_acgozlu,7,1.0,147,55,58,2.5,1.0,4.1,0,14.3
P1_zayif_acgozlu,8,1.0,159,81,65,2.9,1.2,5,4,12.7
P1_zayif_acgozlu,9,1.0,181,96,77,2.4,1.4,5.2,0,12.6
P1_zayif_acgozlu,10,1.0,210,105,89,2.3,1.6,5.2,0,12.4
P1_zayif_acgozlu,11,1.0,213,116,101,2.4,1.8,5.2,0,12.3
P1_zayif_acgozlu,12,1.0,215,112,101,2.5,1.8,5,5,12.2
P1_zayif_acgozlu,13,0.03,225,145,174,2.6,3.1,6.1,0,11.6
P1_zayif_acgozlu,14,0.03,246,186,122,2.4,2.2,6.1,0,11.2
P1_zayif_acgozlu,15,0.03,323,151,177,2.3,3.1,6.4,0,10.5
P1_zayif_acgozlu,16,0.03,281,211,149,3.2,2.7,6,0,10.8
P1_zayif_mantikli,1,1.0,219,195,23,2.3,0.4,4,0,12.4
P1_zayif_mantikli,2,1.0,222,180,45,2.3,0.8,4,0,12.6
P1_zayif_mantikli,3,1.0,221,170,55,2.4,1.0,4,0,12.9
P1_zayif_mantikli,4,1.0,40,27,63,2.4,1.2,4,185,13.2
P1_zayif_mantikli,5,1.0,99,15,66,2.3,1.2,4.1,0,13.5
P1_zayif_mantikli,6,1.0,151,41,63,2.4,1.1,4.1,0,13.8
P1_zayif_mantikli,7,1.0,189,87,56,2.5,1.0,4.1,0,14.2
P1_zayif_mantikli,8,1.0,184,31,70,2.9,1.2,5,45,13.0
P1_zayif_mantikli,9,1.0,227,70,67,2.3,1.2,5.2,0,12.8
P1_zayif_mantikli,10,1.0,285,128,91,2.3,1.6,5.2,0,12.6
P1_zayif_mantikli,11,1.0,297,194,95,2.4,1.7,5.2,0,12.5
P1_zayif_mantikli,12,1.0,269,46,103,2.4,1.9,5,60,12.1
P1_zayif_mantikli,13,0.32,267,70,135,2.8,2.4,6.1,0,12.0
P1_zayif_mantikli,14,0.32,354,208,136,2.7,2.4,6.1,0,11.7
P1_zayif_mantikli,15,0.32,395,255,126,2.8,2.2,6.2,0,11.5
P1_zayif_mantikli,16,0.32,313,48,151,2.8,2.7,6,88,11.3
P1_orta_hic,1,1.0,532,495,34,2.9,0.6,4,0,13.0
P1_orta_hic,2,1.0,619,514,93,3.2,1.7,4,0,14.2
P1_orta_hic,3,1.0,710,590,102,3.2,1.8,4,0,15.3
P1_orta_hic,4,1.0,523,370,113,2.9,2.0,4,290,16.2
P1_orta_hic,5,1.0,625,455,109,2.8,1.8,4.1,0,17.1
P1_orta_hic,6,1.0,718,513,97,2.8,1.6,4.1,0,18.1
P1_orta_hic,7,1.0,815,604,101,2.9,1.7,4.1,0,19.1
P1_orta_hic,8,1.0,566,352,108,3.3,1.8,5,348,20.2
P1_orta_hic,9,1.0,684,430,123,2.8,2.1,5.2,0,20.6
P1_orta_hic,10,1.0,834,549,156,3.0,2.6,5.2,0,21.3
P1_orta_hic,11,1.0,1004,684,173,2.8,2.9,5.2,0,21.8
P1_orta_hic,12,1.0,757,400,171,2.8,2.8,5,417,22.5
P1_orta_hic,13,1.0,972,579,222,3.2,3.6,6.2,0,22.9
P1_orta_hic,14,1.0,1194,790,224,3.3,3.6,6.1,0,23.6
P1_orta_hic,15,1.0,1408,961,218,3.3,3.5,6.2,0,24.2
P1_orta_hic,16,1.0,1131,679,223,3.4,3.5,6,501,25.0
P1_orta_acgozlu,1,1.0,235,200,38,3.2,0.7,4,0,13.2
P1_orta_acgozlu,2,1.0,181,100,93,3.2,1.7,4,0,14.3
