P,profile,card,buyDay,cost,gain_total,gain_per_day,payback_days,d_final,d_loss_pp,base_day_income
1,zayif,wide_storage,1,60,58,3.9,15.5,-4,13.0,80
1,zayif,packing_station,1,150,179,11.9,12.6,28,34.0,80
1,zayif,extra_hangar,1,200,234,15.6,12.8,33,15.5,80
1,zayif,quest_tier,1,90,85,5.6,15.9,-4,17.5,80
1,zayif,cheap_rent,9,250,237,33.9,7.4,-7,14.5,80
1,zayif,prestige_broker,9,169,159,22.7,7.4,-7,17.0,80
1,zayif,prestige_master,5,366,418,38.0,9.6,56,57.0,80
1,zayif,fast_hangar,5,120,127,11.5,10.4,9,16.0,80
1,zayif,energetic_crew,1,55,62,4.2,13.2,8,10.0,80
1,zayif,agile_crew,1,110,137,9.2,12.0,37,13.5,80
1,zayif,patient_customers,1,60,72,4.8,12.6,14,16.0,80
1,zayif,gambler_case,5,331,384,34.9,9.5,69,32.5,80
1,zayif,phone_line,1,60,72,4.8,12.5,10,15.0,80
1,zayif,overtime,1,120,129,8.6,14.0,9,22.0,80
1,zayif,leveraged_rent,9,279,322,46.0,6.1,49,7.0,80
1,zayif,high_volatility,5,312,365,33.2,9.4,58,35.0,80
1,zayif,emergency_brake,1,90,99,6.6,13.6,7,-16.5,80
1,zayif,all_in,9,291,383,54.8,5.3,97,15.0,80
1,zayif,bulk_buy,1,30,28,1.9,15.9,-5,9.0,80
1,orta,wide_storage,1,60,88,5.9,10.2,26,0.0,140
1,orta,packing_station,1,150,91,6.1,24.6,-60,0.0,140
1,orta,extra_hangar,1,200,393,26.2,7.6,186,0.0,140
1,orta,quest_tier,1,90,73,4.9,18.5,-28,0.0,140
1,orta,cheap_rent,9,255,194,27.7,9.2,-63,0.0,140
1,orta,prestige_broker,9,170,82,11.8,14.5,-90,0.5,140
1,orta,prestige_master,5,375,156,14.2,26.4,-218,0.0,140
1,orta,fast_hangar,5,120,44,4.0,29.8,-79,0.0,140
1,orta,energetic_crew,1,55,94,6.3,8.8,41,0.0,140
1,orta,agile_crew,1,110,112,7.5,14.7,0,0.0,140
1,orta,patient_customers,1,60,85,5.6,10.6,17,0.0,140
1,orta,gambler_case,5,350,420,38.2,9.2,71,0.5,140
1,orta,phone_line,1,60,113,7.5,8.0,57,0.0,140
1,orta,overtime,1,120,96,6.4,18.8,-23,0.0,140
1,orta,leveraged_rent,9,300,261,37.3,8.0,-42,0.5,140
1,orta,high_volatility,5,320,348,31.6,10.1,20,0.0,140
1,orta,emergency_brake,1,90,89,5.9,15.2,-3,0.0,140
1,orta,all_in,9,320,318,45.5,7.0,-4,0.5,140
1,orta,bulk_buy,1,30,88,5.8,5.1,56,0.0,140
1,iyi,wide_storage,1,60,-55,-3.7,,-107,0.0,216
1,iyi,packing_station,1,150,-55,-3.7,,-197,0.0,216
