variant,cell,loss%,final_mean,final_p10,day1_money,day1_income,income_total,rent_total,upg_total,cards,deaths
A_live,P1_zayif_hic,19.7,218,49,516,20,1288,1350,0,0,"{'bankrupt@16': 48, 'bankrupt@12': 11}"
A_live,P1_zayif_secici,17.0,203,43,429,23,1460,1043,447,3.7,"{'bankrupt@12': 12, 'bankrupt@16': 39}"
A_live,P1_orta_hic,0.0,1131,679,532,34,2268,1556,0,0,{}
A_live,P1_orta_secici,0.0,687,216,445,38,3003,1460,1036,5.9,{}
A_live,P1_iyi_hic,0.0,2474,1852,552,53,3413,1557,0,0,{}
A_live,P1_iyi_secici,0.0,2565,1718,454,46,4993,1375,1322,6.9,{}
A_live,P2_zayif_hic,21.3,465,121,626,33,3150,2928,0,0,"{'bankrupt@16': 20, 'bankrupt@12': 42, 'bankrupt@8': 2}"
A_live,P2_zayif_secici,17.0,539,113,481,32,3540,2277,891,4.3,"{'bankrupt@12': 27, 'bankrupt@16': 24}"
A_live,P2_orta_hic,0.0,3392,2617,686,95,6370,3489,0,0,{}
A_live,P2_orta_secici,0.0,3579,2444,537,89,8719,3147,1979,6.5,{}
A_live,P2_iyi_hic,0.0,6671,5631,746,150,9304,3489,0,0,{}
A_live,P2_iyi_secici,0.0,8809,7308,596,143,13909,3155,2096,6.8,{}
A_live,P3_zayif_hic,45.3,901,199,796,86,4683,4157,0,0,"{'bankrupt@16': 31, 'bankrupt@12': 98, 'bankrupt@8': 7}"
A_live,P3_zayif_secici,44.0,1063,266,796,86,4975,3128,1084,3.9,"{'bankrupt@16': 21, 'bankrupt@12': 57, 'bankrupt@8': 54}"
A_live,P3_orta_hic,0.0,4475,3459,862,150,9982,6120,0,0,{}
A_live,P3_orta_secici,0.0,5247,3571,862,150,13386,5651,2549,6.5,{}
A_live,P3_iyi_hic,0.0,7747,6381,926,210,12860,6120,0,0,{}
A_live,P3_iyi_secici,0.0,11046,9035,926,210,19125,5515,2759,6.8,{}
A_live,P4_zayif_hic,61.0,1420,339,937,83,5713,4818,0,0,"{'bankrupt@12': 136, 'bankrupt@16': 16, 'bankrupt@8': 31}"
A_live,P4_zayif_secici,67.0,1550,493,937,83,5477,3534,905,3.0,"{'bankrupt@8': 118, 'bankrupt@12': 69, 'bankrupt@16': 14}"
A_live,P4_orta_hic,0.0,4575,3126,1095,243,12533,8742,0,0,{}
A_live,P4_orta_secici,0.0,5865,3549,1095,243,16652,8156,2888,6.3,{}
A_live,P4_iyi_hic,0.0,8558,6937,1091,230,16136,8750,0,0,{}
A_live,P4_iyi_secici,0.0,12443,10070,1091,230,23120,7748,3321,6.8,{}
G100+K1,P1_zayif_hic,19.7,218,49,516,20,1288,1350,0,0,"{'bankrupt@16': 48, 'bankrupt@12': 11}"
G100+K1,P1_zayif_secici,3.7,201,34,429,23,1363,1188,238,2.6,{'bankrupt@16': 11}
G100+K1,P1_orta_hic,0.0,1131,679,532,34,2268,1556,0,0,{}
G100+K1,P1_orta_secici,0.0,676,295,445,38,2807,1513,863,5.3,{}
G100+K1,P1_iyi_hic,0.0,2474,1852,552,53,3413,1557,0,0,{}
G100+K1,P1_iyi_secici,0.0,2490,1578,454,46,4838,1396,1286,6.7,{}
G100+K1,P2_zayif_hic,21.3,465,121,626,33,3150,2928,0,0,"{'bankrupt@16': 20, 'bankrupt@12': 42, 'bankrupt@8': 2}"
G100+K1,P2_zayif_secici,29.7,472,141,626,33,3164,2711,227,1.9,"{'bankrupt@12': 61, 'bankrupt@16': 25, 'bankrupt@8': 3}"
G100+K1,P2_orta_hic,0.0,3392,2617,686,95,6370,3489,0,0,{}
G100+K1,P2_orta_secici,0.0,2972,1800,686,95,8141,3384,1994,5.9,{}
G100+K1,P2_iyi_hic,0.0,6671,5631,746,150,9304,3489,0,0,{}
G100+K1,P2_iyi_secici,0.0,8122,6644,746,150,13455,3074,2571,6.9,{}
G100+K1,P3_zayif_hic,45.3,901,199,796,86,4683,4157,0,0,"{'bankrupt@16': 31, 'bankrupt@12': 98, 'bankrupt@8': 7}"
G100+K1,P3_zayif_secici,53.7,948,230,796,86,4481,3769,155,1.1,"{'bankrupt@12': 127, 'bankrupt@16': 21, 'bankrupt@8': 13}"
G100+K1,P3_orta_hic,0.0,4475,3459,862,150,9982,6120,0,0,{}
G100+K1,P3_orta_secici,0.0,3723,1968,862,150,11934,6016,2523,5.4,{}
G100+K1,P3_iyi_hic,0.0,7747,6381,926,210,12860,6120,0,0,{}
G100+K1,P3_iyi_secici,0.0,9130,7148,926,210,17748,5545,3533,6.7,{}
G100+K1,P4_zayif_hic,61.0,1420,339,937,83,5713,4818,0,0,"{'bankrupt@12': 136, 'bankrupt@16': 16, 'bankrupt@8': 31}"
G100+K1,P4_zayif_secici,62.0,1401,344,937,83,5705,4727,104,0.5,"{'bankrupt@12': 138, 'bankrupt@16': 15, 'bankrupt@8': 33}"
G100+K1,P4_orta_hic,0.0,4575,3126,1095,243,12533,8742,0,0,{}
G100+K1,P4_orta_secici,0.0,3531,1707,1095,243,14178,8660,2558,4.8,{}
G100+K1,P4_iyi_hic,0.0,8558,6937,1091,230,16136,8750,0,0,{}
G100+K1,P4_iyi_secici,0.0,9749,7191,1091,230,21172,8241,3854,6.3,{}
