variant,cell,loss%,final_mean,final_p10,day1_money,day1_income,income_total,rent_total,upg_total,cards,deaths
G100x,P1_zayif_hic,19.7,218,49,516,20,1288,1350,0,0,"{'bankrupt@16': 48, 'bankrupt@12': 11}"
G100x,P1_zayif_acgozlu,10.7,190,49,339,23,1318,1041,367,6.4,"{'bankrupt@12': 11, 'bankrupt@16': 21}"
G100x,P1_zayif_mantikli,10.3,183,38,339,23,1325,1043,387,6.3,"{'bankrupt@12': 10, 'bankrupt@16': 21}"
G100x,P1_zayif_secici,3.3,205,44,426,20,1390,1204,242,2.7,{'bankrupt@16': 10}
G100x,P1_orta_hic,0.0,1131,679,532,34,2268,1556,0,0,{}
G100x,P1_orta_acgozlu,0.0,306,108,355,38,2502,1492,1115,14.0,{}
G100x,P1_orta_mantikli,0.0,290,116,355,38,2573,1488,1189,13.8,{}
G100x,P1_orta_secici,0.0,697,313,442,34,2835,1510,890,5.4,{}
G100x,P1_iyi_hic,0.0,2474,1852,552,53,3413,1557,0,0,{}
G100x,P1_iyi_acgozlu,0.0,999,438,364,46,4198,1444,2390,21.7,{}
G100x,P1_iyi_mantikli,0.0,1244,531,343,46,4530,1450,2464,21.8,{}
G100x,P1_iyi_secici,0.0,2572,1768,462,53,4945,1400,1294,6.8,{}
G100x,P2_zayif_hic,21.3,465,121,626,33,3150,2928,0,0,"{'bankrupt@16': 20, 'bankrupt@12': 42, 'bankrupt@8': 2}"
G100x,P2_zayif_acgozlu,1.0,342,86,482,33,3423,2842,469,3.9,"{'bankrupt@12': 1, 'bankrupt@16': 2}"
G100x,P2_zayif_mantikli,2.7,350,107,482,33,3377,2765,492,3.8,"{'bankrupt@16': 7, 'bankrupt@12': 1}"
G100x,P2_zayif_secici,1.3,438,152,482,33,3404,2798,391,2.5,{'bankrupt@16': 4}
G100x,P2_orta_hic,0.0,3392,2617,686,95,6370,3489,0,0,{}
G100x,P2_orta_acgozlu,0.0,1555,735,542,95,7362,3307,2955,18.1,{}
G100x,P2_orta_mantikli,0.0,1817,908,542,95,7736,3319,3054,18.3,{}
G100x,P2_orta_secici,0.0,3253,2115,542,95,8168,3329,1766,6.2,{}
G100x,P2_iyi_hic,0.0,6671,5631,746,150,9304,3489,0,0,{}
G100x,P2_iyi_acgozlu,0.0,7427,5259,602,150,14052,3007,4406,23.8,{}
G100x,P2_iyi_mantikli,0.0,7328,5211,602,150,14052,3025,4466,23.8,{}
G100x,P2_iyi_secici,0.0,8718,7080,602,150,13699,3122,2106,6.8,{}
G100x,P3_zayif_hic,45.3,901,199,796,86,4683,4157,0,0,"{'bankrupt@16': 31, 'bankrupt@12': 98, 'bankrupt@8': 7}"
G100x,P3_zayif_acgozlu,1.7,649,167,607,86,5569,4573,663,3.7,"{'bankrupt@16': 4, 'bankrupt@12': 1}"
G100x,P3_zayif_mantikli,55.7,937,267,796,86,4440,3682,216,1.6,"{'bankrupt@12': 131, 'bankrupt@16': 22, 'bankrupt@8': 14}"
G100x,P3_zayif_secici,53.7,943,223,796,86,4487,3771,165,1.1,"{'bankrupt@12': 127, 'bankrupt@16': 21, 'bankrupt@8': 13}"
G100x,P3_orta_hic,0.0,4475,3459,862,150,9982,6120,0,0,{}
G100x,P3_orta_acgozlu,0.0,2581,1404,673,150,11353,5893,3463,16.4,{}
G100x,P3_orta_mantikli,0.3,3104,1515,862,150,12263,5823,3877,18.1,{'bankrupt@12': 1}
