variant,P,profile,card,d_final,d_loss_pp,loss%,base_loss%,cost,buy_day,buy_frac,d_income,d_prestige_end,d_trucksSpawned,d_trucksFull,d_delivered,d_served,d_spawned,d_quota,d_lost,d_missed,d_packed,d_phone,d_earlyEnd,d_wrongDelivery,d_drops,b_trucksSpawned,b_trucksFull,b_delivered,b_served,b_quota,b_earlyEnd
live_ev,1,zayif,fast_hangar,-13,7.7,27.3,19.7,90,6.8,0.76,2,-0.2,2.5,-0.1,0.0,-0.3,-0.2,-0.3,0.1,-0.1,-0.2,0.0,0.0,-0.1,-0.1,38.4,12.5,23.1,39.3,77.3,13.6
live_ev,1,zayif,overtime,-6,17.3,37.0,19.7,120,1,1.0,-81,0.5,-1.2,-0.7,-1.6,-1.1,-2.7,-4.1,-1.5,-1.3,-1.8,0.2,0.6,-0.2,-0.4,38.4,12.5,23.1,39.3,77.3,13.6
live_ev,1,zayif,prestige_master,-19,13.7,33.3,19.7,128,7.4,0.61,-4,1.7,-0.2,-0.1,-0.3,-0.2,-0.4,-0.4,-0.1,0.0,-0.3,0.1,0.0,0.1,-0.1,38.4,12.5,23.1,39.3,77.3,13.6
live_ev,1,orta,fast_hangar,-84,0.0,0.0,0.0,118,5.4,1.0,53,-0.6,2.9,0.0,0.9,-0.2,0.1,0.0,0.4,-0.1,-0.3,-0.1,0.0,0.2,0.1,41.8,22.5,37.4,48.6,78.2,14.3
live_ev,1,orta,overtime,-92,0.0,0.0,0.0,120,1,1.0,23,0.0,0.7,0.2,0.4,0.1,0.9,0.0,0.7,-0.9,-0.1,0.4,0.9,-0.1,-0.1,41.8,22.5,37.4,48.6,78.2,14.3
live_ev,1,orta,prestige_master,-288,0.0,0.0,0.0,365,5.6,0.99,75,6.8,0.2,0.0,0.1,0.2,-0.1,0.0,-0.1,0.1,0.6,-0.2,-0.1,0.0,-0.2,41.8,22.5,37.4,48.6,78.2,14.3
live_ev,1,iyi,fast_hangar,-51,0.0,0.0,0.0,118,5.0,1.0,66,0.5,2.6,0.0,0.9,0.8,0.1,0.0,-0.6,0.0,0.8,-0.4,0.1,0.1,0.1,48.4,32.9,52.6,58.4,78.2,14.6
live_ev,1,iyi,overtime,-104,0.0,0.0,0.0,120,1,1.0,20,-0.5,0.1,0.0,0.6,-0.4,0.8,0.0,1.2,-0.7,0.3,0.1,0.8,0.0,0.1,48.4,32.9,52.6,58.4,78.2,14.6
live_ev,1,iyi,prestige_master,-177,0.0,0.0,0.0,367,5.1,1.0,180,10.3,0.2,0.4,0.4,0.4,0.1,0.0,-0.2,0.0,0.5,-0.2,0.0,-0.1,-0.1,48.4,32.9,52.6,58.4,78.2,14.6
live_ev,2,zayif,fast_hangar,-40,6.0,27.3,21.3,92,9.4,0.48,-75,0.7,2.4,-0.7,-1.2,0.8,-0.3,-0.2,-0.8,0.1,-0.9,-0.3,-0.1,-0.4,-0.4,52.4,8.4,47.3,85.0,145.7,7.4
