variant,P,profile,card,d_final,d_loss_pp,loss%,base_loss%,cost,buy_day,buy_frac,d_income,d_prestige_end,d_trucksSpawned,d_trucksFull,d_delivered,d_served,d_spawned,d_quota,d_lost,d_missed,d_packed,d_phone,d_earlyEnd,d_wrongDelivery,d_drops,b_trucksSpawned,b_trucksFull,b_delivered,b_served,b_quota,b_earlyEnd
live,1,zayif,fast_hangar,3,8.0,28.5,20.5,83,7.0,0.69,8,-0.2,2.1,-0.1,0.1,-0.4,-0.2,-0.3,0.1,0.0,-0.3,-0.1,0.1,-0.1,-0.2,38.2,12.5,22.9,39.4,75.6,14.5
live,1,zayif,overtime,28,21.2,41.8,20.5,120,1,1.0,-62,0.4,-1.0,-0.8,-1.3,-0.9,-2.4,-3.1,-1.3,-0.8,-1.7,0.1,0.6,-0.1,-0.4,38.2,12.5,22.9,39.4,75.6,14.5
live,1,zayif,prestige_master,-10,11.5,32.0,20.5,109,7.6,0.53,-6,1.4,-0.3,-0.2,-0.3,-0.3,-0.5,-0.5,-0.2,0.0,-0.4,0.0,-0.1,0.1,-0.1,38.2,12.5,22.9,39.4,75.6,14.5
live,1,zayif,null_fast_hangar,0,8.8,29.2,20.5,83,7.0,0.69,-6,-0.0,0.0,0.0,-0.1,-0.2,-0.4,-0.4,-0.2,0.0,-0.3,-0.1,-0.1,-0.1,-0.2,38.2,12.5,22.9,39.4,75.6,14.5
live,1,zayif,null_overtime,31,28.2,48.8,20.5,120,1,1.0,-122,0.0,-2.5,-1.2,-2.2,-2.2,-4.4,-4.5,-2.0,-0.1,-2.9,0.0,-0.6,-0.1,-0.6,38.2,12.5,22.9,39.4,75.6,14.5
live,1,zayif,null_prestige_master,-11,13.0,33.5,20.5,109,7.6,0.53,-18,-0.1,-0.3,-0.2,-0.3,-0.3,-0.5,-0.5,-0.2,0.0,-0.4,0.0,-0.1,0.1,-0.1,38.2,12.5,22.9,39.4,75.6,14.5
live,1,zayif,extra_hangar,28,13.3,33.8,20.5,200,1,1.0,92,-1.1,25.8,0.0,1.8,-3.0,-3.6,-3.6,-0.6,0.0,-2.5,-0.1,-0.6,0.5,-0.4,38.2,12.5,22.9,39.4,75.6,14.5
live,1,zayif,gambler_case,-10,1.8,22.2,20.5,30,9.8,0.09,9,-0.0,-0.1,-0.1,-0.1,0.0,0.0,0.0,0.0,0.0,-0.1,0.0,0.0,0.1,0.0,38.2,12.5,22.9,39.4,75.6,14.5
live,1,orta,fast_hangar,-90,0.0,0.0,0.0,120,5.5,1.0,36,-0.6,3.0,0.0,0.7,-0.6,-0.1,0,0.7,0.1,-0.6,0.0,0.0,0.2,0.0,41.7,22.5,37.4,48.6,77,15.2
live,1,orta,overtime,-58,0.0,0.0,0.0,120,1,1.0,52,0.3,1.0,0.5,0.7,0.4,0.4,0,0.0,-0.4,0.5,-0.2,0.6,-0.1,-0.3,41.7,22.5,37.4,48.6,77,15.2
