P,profile,card,d_final,d_loss_pp,loss%,base_loss%,cost,buy_day,buy_frac,d_income,d_prestige_end,d_trucksSpawned,d_trucksFull,d_delivered,d_served,d_spawned,d_quota,d_lost,d_missed,d_packed,d_phone,d_earlyEnd,d_wrongDelivery,d_drops,b_trucksSpawned,b_trucksFull,b_delivered,b_served,b_quota,b_earlyEnd
1,zayif,fast_hangar,3,11.5,30.5,19.0,85,6.9,0.7,-13,-0.2,1.9,-0.3,-0.2,-0.6,-0.5,-0.5,0.2,0.0,-0.5,0.0,-0.1,0.1,-0.1,38.4,12.7,23.1,39.7,75.7,14.6
1,zayif,overtime,9,22.0,41.0,19.0,120,1,1.0,-92,0.4,-1.5,-1.2,-1.8,-1.2,-2.9,-3.6,-1.3,-0.8,-2.1,0.2,0.4,-0.1,-0.4,38.4,12.7,23.1,39.7,75.7,14.6
1,zayif,prestige_master,-13,11.0,30.0,19.0,113,7.4,0.55,-4,1.5,-0.3,-0.2,-0.3,-0.3,-0.5,-0.5,-0.2,0.0,-0.4,-0.1,-0.2,0.0,0.0,38.4,12.7,23.1,39.7,75.7,14.6
1,zayif,extra_hangar,33,15.5,34.5,19.0,200,1,1.0,75,-1.2,25.6,-0.3,1.5,-3.3,-3.8,-3.8,-0.2,0.0,-2.8,0.0,-0.7,0.4,-0.5,38.4,12.7,23.1,39.7,75.7,14.6
1,zayif,gambler_case,-15,2.0,21.0,19.0,33,10.3,0.1,7,-0.0,-0.1,-0.2,-0.1,0.0,0.0,0.0,0.0,0.0,-0.1,0.0,0.0,0.1,0.0,38.4,12.7,23.1,39.7,75.7,14.6
1,orta,fast_hangar,-105,0.0,0.0,0.0,119,5.6,0.99,27,-0.7,2.8,-0.1,0.5,-0.7,-0.1,0,0.7,0.1,-0.8,-0.1,0.0,0.3,0.1,41.5,22.3,37.1,48.5,77,15.2
1,orta,overtime,-23,0.0,0.0,0.0,120,1,1.0,87,0.5,1.2,0.6,1.2,0.9,0.4,0,-0.6,-0.4,0.9,-0.6,0.6,-0.2,-0.3,41.5,22.3,37.1,48.5,77,15.2
1,orta,prestige_master,-288,0.5,0.5,0.0,367,6.0,0.99,69,6.1,0.2,0.2,0.1,0.0,-0.1,0,0.0,0.1,0.1,-0.5,0.0,0.0,-0.2,41.5,22.3,37.1,48.5,77,15.2
1,orta,extra_hangar,186,0.0,0.0,0.0,200,1,1.0,411,-2.4,27.8,2.2,7.3,-2.2,-0.1,0,1.9,0.1,-0.2,-1.2,-0.1,0.5,-0.1,41.5,22.3,37.1,48.5,77,15.2
1,orta,gambler_case,-10,0.5,0.5,0.0,340,7.9,0.97,369,-0.3,0.2,0.2,0.5,-0.2,-0.2,-0.1,0.1,0.0,0.2,-0.4,0.0,0.1,-0.2,41.5,22.3,37.1,48.5,77,15.2
1,iyi,fast_hangar,-73,0.0,0.0,0.0,120,5.0,1.0,42,0.3,2.4,-0.1,0.6,0.1,0.0,0,-0.2,0.0,0.6,-0.3,-0.1,0.2,0.3,48.9,33.4,53.4,59.0,77,15.4
1,iyi,overtime,-227,0.0,0.0,0.0,120,1,1.0,-86,-1.3,-0.5,-0.7,-0.8,-1.4,0.4,0,1.7,-0.4,-0.8,0.4,0.5,0.2,-0.1,48.9,33.4,53.4,59.0,77,15.4
1,iyi,prestige_master,-251,0.0,0.0,0.0,375,5.1,1.0,120,9.9,-0.1,-0.1,-0.2,-0.2,0.0,0,0.1,0.0,-0.1,-0.1,0.0,0.0,0.1,48.9,33.4,53.4,59.0,77,15.4
1,iyi,extra_hangar,284,0.0,0.0,0.0,200,1.0,1.0,499,-2.9,24.0,2.8,8.7,-3.2,0.0,0,3.1,0.0,-0.1,-0.9,-0.1,0.5,0.2,48.9,33.4,53.4,59.0,77,15.4
1,iyi,gambler_case,237,0.0,0.0,0.0,350,5.5,1.0,613,-0.1,0.0,0.2,0.0,-0.2,0.0,0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,48.9,33.4,53.4,59.0,77,15.4
2,zayif,fast_hangar,-59,4.5,28.5,24.0,83,10.5,0.43,-90,0.5,1.8,-0.8,-1.4,0.6,0.0,0.0,-0.8,0.0,-0.8,-0.1,-0.1,-0.3,-0.1,53.2,8.9,48.5,86.9,145.2,7.7
2,zayif,overtime,62,13.0,37.0,24.0,147,4.6,0.77,-119,-0.7,-0.9,-0.3,-1.8,-3.1,-5.3,-5.7,-1.6,-0.4,-3.5,-0.3,3.9,-0.6,-0.5,53.2,8.9,48.5,86.9,145.2,7.7
2,zayif,prestige_master,-76,0.5,24.5,24.0,87,10.6,0.27,-10,1.0,0.0,-0.1,-0.3,0.1,0.0,0.0,-0.1,0.0,0.0,0.0,0.0,0.1,0.1,53.2,8.9,48.5,86.9,145.2,7.7
2,zayif,extra_hangar,-17,2.5,26.5,24.0,123,6.3,0.39,59,-1.0,11.9,-0.7,1.1,-1.7,-1.4,-1.3,0.4,0.0,-1.2,-0.2,-0.2,0.7,0.3,53.2,8.9,48.5,86.9,145.2,7.7
