variant,cell,loss%,final_mean,own_fast_hangar,own_overtime,own_prestige_master
canli,P1_zayif_hic,19.7,218,0,0,0
canli,P1_zayif_acgozlu,100.0,220,0.33,0.15,0.12
canli,P1_zayif_mantikli,91.7,314,0.27,0.37,0.08
canli,P1_orta_hic,0.0,1131,0,0,0
canli,P1_orta_acgozlu,54.3,272,0.9,0.82,0.82
canli,P1_orta_mantikli,14.3,289,0.83,0.69,0.62
canli,P1_iyi_hic,0.0,2474,0,0,0
canli,P1_iyi_acgozlu,8.7,1687,1.0,0.99,1.0
canli,P1_iyi_mantikli,0.7,1504,0.99,0.93,0.99
canli,P2_zayif_hic,21.3,465,0,0,0
canli,P2_zayif_acgozlu,100.0,537,0.53,0.6,0.43
canli,P2_zayif_mantikli,92.0,629,0.12,0.5,0.07
canli,P2_orta_hic,0.0,3392,0,0,0
canli,P2_orta_acgozlu,15.7,2781,0.99,0.99,0.99
canli,P2_orta_mantikli,5.7,2247,0.92,0.88,0.95
canli,P2_iyi_hic,0.0,6671,0,0,0
canli,P2_iyi_acgozlu,0.0,8905,1.0,1.0,1.0
canli,P2_iyi_mantikli,0.0,8294,1.0,1.0,1.0
canli,P3_zayif_hic,45.3,901,0,0,0
canli,P3_zayif_acgozlu,100.0,886,0.65,0.81,0.54
canli,P3_zayif_mantikli,95.3,1087,0.09,0.35,0.09
canli,P3_orta_hic,0.0,4475,0,0,0
canli,P3_orta_acgozlu,13.0,5677,1.0,0.99,0.99
canli,P3_orta_mantikli,7.0,3425,0.89,0.95,0.92
canli,P3_iyi_hic,0.0,7747,0,0,0
canli,P3_iyi_acgozlu,0.0,12304,1.0,1.0,1.0
canli,P3_iyi_mantikli,0.0,10717,1.0,1.0,1.0
canli,P4_zayif_hic,61.0,1420,0,0,0
canli,P4_zayif_acgozlu,99.3,1341,0.76,0.85,0.64
canli,P4_zayif_mantikli,96.3,1493,0.04,0.11,0.07
canli,P4_orta_hic,0.0,4575,0,0,0
canli,P4_orta_acgozlu,16.7,7150,1.0,0.99,1.0
canli,P4_orta_mantikli,9.3,4097,0.83,0.9,0.9
canli,P4_iyi_hic,0.0,8558,0,0,0
canli,P4_iyi_acgozlu,0.0,14506,1.0,1.0,1.0
canli,P4_iyi_mantikli,0.0,11682,1.0,1.0,1.0
OA_OC,P1_zayif_hic,19.7,218,0,0,0
OA_OC,P1_zayif_acgozlu,10.7,190,0,0.1,0
OA_OC,P1_zayif_mantikli,10.3,183,0.02,0.42,0.0
OA_OC,P1_orta_hic,0.0,1131,0,0,0
OA_OC,P1_orta_acgozlu,0.0,306,0.32,0.66,0.3
OA_OC,P1_orta_mantikli,0.0,290,0.4,0.79,0.28
OA_OC,P1_iyi_hic,0.0,2474,0,0,0
OA_OC,P1_iyi_acgozlu,0.0,999,0.91,0.96,0.92
OA_OC,P1_iyi_mantikli,0.0,1244,0.94,0.95,0.88
OA_OC,P2_zayif_hic,21.3,465,0,0,0
OA_OC,P2_zayif_acgozlu,1.0,342,0.09,0.05,0.01
OA_OC,P2_zayif_mantikli,2.7,350,0.18,0.06,0.01
OA_OC,P2_orta_hic,0.0,3392,0,0,0
OA_OC,P2_orta_acgozlu,0.0,1555,0.52,0.57,0.8
OA_OC,P2_orta_mantikli,0.0,1817,0.67,0.84,0.77
OA_OC,P2_iyi_hic,0.0,6671,0,0,0
OA_OC,P2_iyi_acgozlu,0.0,7427,1.0,1.0,1.0
OA_OC,P2_iyi_mantikli,0.0,7328,1.0,1.0,1.0
OA_OC,P3_zayif_hic,45.3,901,0,0,0
OA_OC,P3_zayif_acgozlu,1.7,649,0.11,0.04,0.01
OA_OC,P3_zayif_mantikli,55.7,937,0.01,0.01,0
OA_OC,P3_orta_hic,0.0,4475,0,0,0
OA_OC,P3_orta_acgozlu,0.0,2581,0.53,0.42,0.62
OA_OC,P3_orta_mantikli,0.3,3104,0.6,0.6,0.71
OA_OC,P3_iyi_hic,0.0,7747,0,0,0
OA_OC,P3_iyi_acgozlu,0.0,8658,0.97,0.97,0.99
OA_OC,P3_iyi_mantikli,0.0,9448,0.99,1.0,0.99
OA_OC,P4_zayif_hic,61.0,1420,0,0,0
OA_OC,P4_zayif_acgozlu,2.7,961,0.25,0.01,0
OA_OC,P4_zayif_mantikli,62.7,1383,0.02,0,0
OA_OC,P4_orta_hic,0.0,4575,0,0,0
OA_OC,P4_orta_acgozlu,0.0,2539,0.5,0.19,0.3
OA_OC,P4_orta_mantikli,0.0,2992,0.42,0.35,0.44
OA_OC,P4_iyi_hic,0.0,8558,0,0,0
OA_OC,P4_iyi_acgozlu,0.0,8163,0.77,0.79,0.97
OA_OC,P4_iyi_mantikli,0.0,9283,0.93,0.91,0.97
OA_OC_OB,P1_zayif_hic,19.7,218,0,0,0
OA_OC_OB,P1_zayif_acgozlu,10.7,197,0,0.1,0
OA_OC_OB,P1_zayif_mantikli,10.7,184,0.04,0.42,0
OA_OC_OB,P1_orta_hic,0.0,1131,0,0,0
OA_OC_OB,P1_orta_acgozlu,0.0,334,0.36,0.67,0.35
OA_OC_OB,P1_orta_mantikli,0.0,325,0.46,0.79,0.37
OA_OC_OB,P1_iyi_hic,0.0,2474,0,0,0
OA_OC_OB,P1_iyi_acgozlu,0.0,1185,0.91,0.96,0.95
OA_OC_OB,P1_iyi_mantikli,0.0,1408,0.94,0.95,0.9
OA_OC_OB,P2_zayif_hic,21.3,465,0,0,0
OA_OC_OB,P2_zayif_acgozlu,1.3,345,0.09,0.05,0.01
OA_OC_OB,P2_zayif_mantikli,2.0,348,0.19,0.06,0.01
