variant,P,profile,card,d_final,d_loss_pp,loss%,base_loss%,cost,buy_day,buy_frac,d_income,d_prestige_end,d_trucksSpawned,d_trucksFull,d_delivered,d_served,d_spawned,d_quota,d_lost,d_missed,d_packed,d_phone,d_earlyEnd,d_wrongDelivery,d_drops,b_trucksSpawned,b_trucksFull,b_delivered,b_served,b_quota,b_earlyEnd
dt0.2_min0,2,zayif,fast_hangar,-41,1.2,29.2,28.0,69,10.3,0.36,-13,-0.2,1.3,-0.2,-0.1,-0.3,-0.1,0.0,0.1,0.0,-0.3,0.1,0.0,0.0,0.0,52.2,8.2,46.5,83.8,141.7,9.2
dt0.2_min0,2,orta,fast_hangar,-18,0.0,0.0,0.0,192,6.1,1.0,176,-1.1,5.3,-1.2,2.4,-1.5,0.0,0,1.4,0.0,-1.0,0.0,-0.1,0.1,-0.1,56.6,22.0,81.7,112.8,151,13.6
dt0.2_min0,2,iyi,fast_hangar,116,0.0,0.0,0.0,192,5.0,1.0,309,-1.0,5.1,-0.4,3.7,-1.0,0.0,0,1.2,0.0,0.2,-0.2,0.0,0.1,0.1,61.2,36.2,110.6,130.2,151,15.5
dt0.2_min0,3,zayif,fast_hangar,-8,0.2,55.3,55.2,29,12.2,0.12,16,-0.1,0.5,0.0,0.2,-0.1,0.0,0.0,0.1,0.0,0.2,0.0,0.0,0.1,0.0,58.5,5.7,50.8,95.9,135.8,8.9
dt0.2_min0,3,orta,fast_hangar,2,0.0,0.0,0.0,252,6.9,1.0,260,-1.9,7.3,-1.7,3.0,-2.0,0.0,0,1.9,0.0,-0.6,-0.6,0.0,0.1,0.4,63.5,20.1,101.1,129.1,160,15.3
dt0.2_min0,3,iyi,fast_hangar,273,0.0,0.0,0.0,252,5.5,1.0,533,-1.9,7.0,-0.9,5.3,-2.4,0,0,2.3,0,-0.5,-0.2,0.0,0.2,0.1,61.8,30.9,123.6,142.6,160,16.0
dt0.2_min0,4,zayif,fast_hangar,-31,-0.2,62.5,62.7,38,14.5,0.13,17,-0.1,0.3,0.0,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,62.1,3.8,54.0,93.2,127.2,10.4
dt0.2_min0,4,orta,fast_hangar,78,0.0,0.0,0.0,300,7.9,1.0,398,-2.2,9.1,-1.4,3.5,-2.2,0,0,2.1,0,-0.1,-0.9,0.0,0.5,-0.1,65.0,14.9,105.6,131.1,160,15.9
dt0.2_min0,4,iyi,fast_hangar,399,0.0,0.0,0.0,300,6.2,1.0,712,-2.2,7.9,-1.6,6.1,-3.0,0,0,3.0,0,-0.6,-0.3,0.0,0.3,0.0,61.2,25.2,128.2,141.9,160,16.0
dt0.2_min0.4,2,zayif,fast_hangar,-41,1.2,29.2,28.0,69,10.3,0.36,-8,-0.2,1.3,-0.2,-0.1,-0.2,0.0,0.0,0.1,0.0,-0.3,0.0,0.0,0.0,0.0,52.2,8.2,46.5,83.8,141.7,9.2
dt0.2_min0.4,2,orta,fast_hangar,-71,0.0,0.0,0.0,192,6.1,1.0,128,-1.1,5.0,-1.3,1.9,-1.6,0.0,0,1.5,0.0,-1.0,0.2,-0.2,0.2,-0.1,56.6,22.0,81.7,112.8,151,13.6
dt0.2_min0.4,2,iyi,fast_hangar,105,0.0,0.0,0.0,192,5.0,1.0,302,-1.0,4.9,-0.2,3.7,-1.1,0.0,0,1.3,0.0,0.2,-0.1,0.0,0.1,0.0,61.2,36.2,110.6,130.2,151,15.5
dt0.2_min0.4,3,zayif,fast_hangar,-5,0.3,55.5,55.2,29,12.2,0.12,16,-0.2,0.4,0.0,0.2,-0.2,0.0,0.0,0.2,0.0,0.1,0.0,0.0,0.1,0.1,58.5,5.7,50.8,95.9,135.8,8.9
dt0.2_min0.4,3,orta,fast_hangar,-55,0.0,0.0,0.0,252,6.9,1.0,205,-1.8,6.7,-1.7,2.5,-2.1,0.0,0,2.0,0.0,-0.9,-0.4,0.0,0.2,0.4,63.5,20.1,101.1,129.1,160,15.3
dt0.2_min0.4,3,iyi,fast_hangar,201,0.0,0.0,0.0,252,5.5,1.0,461,-1.5,6.6,-0.8,4.5,-1.8,0,0,1.8,0,-0.4,-0.2,0.0,0.2,0.1,61.8,30.9,123.6,142.6,160,16.0
dt0.2_min0.4,4,zayif,fast_hangar,-26,0.2,62.8,62.7,38,14.5,0.13,11,-0.1,0.3,0.0,0.1,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.1,0.0,62.1,3.8,54.0,93.2,127.2,10.4
dt0.2_min0.4,4,orta,fast_hangar,24,0.0,0.0,0.0,300,7.9,1.0,336,-2.0,8.4,-1.4,3.0,-2.1,0,0,2.0,0,-0.3,-0.7,0.0,0.3,-0.1,65.0,14.9,105.6,131.1,160,15.9
dt0.2_min0.4,4,iyi,fast_hangar,379,0.0,0.0,0.0,300,6.2,1.0,684,-1.8,7.6,-1.3,5.7,-2.7,0,0,2.8,0,-0.6,-0.2,0.0,0.1,0.0,61.2,25.2,128.2,141.9,160,16.0
