variant,P,profile,card,d_final,d_loss_pp,loss%,base_loss%,cost,buy_day,buy_frac,d_income,d_prestige_end,d_trucksSpawned,d_trucksFull,d_delivered,d_served,d_spawned,d_quota,d_lost,d_missed,d_packed,d_phone,d_earlyEnd,d_wrongDelivery,d_drops,b_trucksSpawned,b_trucksFull,b_delivered,b_served,b_quota,b_earlyEnd
min0.0,3,zayif,fast_hangar,-10,0.1,54.3,54.2,29,12.8,0.12,17,-0.1,0.3,-0.1,0.1,-0.1,-0.1,-0.1,0.1,0.0,0.1,-0.1,-0.1,0.1,-0.1,58.4,5.9,51.3,97.2,137.1,7.3
min0.0,3,orta,fast_hangar,10,0.0,0.0,0.0,252,6.9,1.0,269,-1.6,6.7,-1.3,3.0,-1.7,0.0,0,1.7,0.0,-0.3,-0.5,0.0,0.1,0.2,63.1,20.5,101.9,129.1,160,14.9
min0.0,3,iyi,fast_hangar,314,0.0,0.0,0.0,252,5.5,1.0,569,-1.2,6.4,-0.7,5.5,-1.5,0,0,1.5,0,0.3,-0.2,0.1,0.1,0.0,62.3,31.1,124.0,141.1,160,15.9
min0.0,4,zayif,fast_hangar,-24,0.0,65.4,65.4,33,15.3,0.11,7,-0.0,0.1,0.0,0.1,-0.1,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,60.8,4.1,52.7,91.8,125.9,9.1
min0.0,4,orta,fast_hangar,77,0.0,0.0,0.0,300,8.0,1.0,390,-1.4,8.0,-1.0,3.3,-1.3,0.0,0,1.2,0.0,-0.8,-0.7,0.0,0.3,0.3,64.8,14.8,105.9,129.8,160,15.8
min0.0,4,iyi,fast_hangar,379,0.0,0.0,0.0,300,6.2,1.0,681,-2.0,7.2,-1.1,5.7,-2.5,0,0,2.5,0,-0.7,-0.3,0.0,0.0,0.1,61.9,25.0,129.6,141.0,160,16.0
min0.2,3,zayif,fast_hangar,-13,-0.1,54.1,54.2,29,12.8,0.12,17,-0.1,0.3,-0.1,0.1,-0.1,-0.1,-0.1,0.1,0.0,0.0,-0.1,-0.1,0.0,0.0,58.4,5.9,51.3,97.2,137.1,7.3
min0.2,3,orta,fast_hangar,-63,0.0,0.0,0.0,252,6.9,1.0,196,-1.4,5.8,-1.2,2.2,-1.5,0.0,0,1.5,0.0,-0.6,-0.3,0.0,0.1,0.5,63.1,20.5,101.9,129.1,160,14.9
min0.2,3,iyi,fast_hangar,142,0.0,0.0,0.0,252,5.5,1.0,402,-1.2,5.2,-0.9,3.9,-1.5,0,0,1.5,0,-0.1,0.0,0.0,0.2,-0.1,62.3,31.1,124.0,141.1,160,15.9
min0.2,4,zayif,fast_hangar,-26,0.0,65.4,65.4,33,15.3,0.11,5,-0.0,0.1,0.0,0.1,-0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.8,4.1,52.7,91.8,125.9,9.1
min0.2,4,orta,fast_hangar,-187,0.0,0.0,0.0,300,8.0,1.0,123,-1.2,6.7,-1.2,1.2,-1.2,0.0,0,1.0,0.0,-1.0,-0.6,0.0,0.2,0.1,64.8,14.8,105.9,129.8,160,15.8
min0.2,4,iyi,fast_hangar,328,0.0,0.0,0.0,300,6.2,1.0,631,-1.5,6.1,-0.7,5.2,-1.9,0,0,2.0,0,-0.4,-0.3,0.0,0.0,0.2,61.9,25.0,129.6,141.0,160,16.0
min0.4,3,zayif,fast_hangar,-13,-0.1,54.1,54.2,29,12.8,0.12,17,-0.1,0.3,-0.1,0.1,-0.1,-0.1,-0.1,0.1,0.0,0.0,-0.1,-0.1,0.0,0.0,58.4,5.9,51.3,97.2,137.1,7.3
