variant,cell,loss%,final_mean,own_fast_hangar,own_overtime,own_prestige_master
native_default,P1_zayif_hic,19.7,218,0,0,0
native_default,P1_zayif_acgozlu,7.7,198,0,0.1,0.01
native_default,P1_zayif_mantikli,12.0,195,0.03,0.35,0.01
native_default,P1_orta_hic,0.0,1131,0,0,0
native_default,P1_orta_acgozlu,0.0,348,0.36,0.53,0.44
native_default,P1_orta_mantikli,0.3,339,0.53,0.85,0.39
native_default,P1_iyi_hic,0.0,2474,0,0,0
native_default,P1_iyi_acgozlu,0.0,1294,0.92,0.9,0.97
native_default,P1_iyi_mantikli,0.0,1421,0.93,0.96,0.9
native_default,P2_zayif_hic,21.3,465,0,0,0
native_default,P2_zayif_acgozlu,2.3,385,0.08,0.06,0.01
native_default,P2_zayif_mantikli,2.7,350,0.16,0.06,0.01
native_default,P2_orta_hic,0.0,3392,0,0,0
native_default,P2_orta_acgozlu,0.0,1721,0.54,0.57,0.82
native_default,P2_orta_mantikli,0.0,1974,0.69,0.82,0.76
native_default,P2_iyi_hic,0.0,6671,0,0,0
native_default,P2_iyi_acgozlu,0.0,8106,1.0,0.99,1.0
native_default,P2_iyi_mantikli,0.0,8295,1.0,1.0,1.0
native_default,P3_zayif_hic,45.3,901,0,0,0
native_default,P3_zayif_acgozlu,2.7,633,0.17,0.04,0.01
native_default,P3_zayif_mantikli,55.3,939,0.01,0.01,0
native_default,P3_orta_hic,0.0,4475,0,0,0
native_default,P3_orta_acgozlu,0.0,2888,0.54,0.42,0.64
native_default,P3_orta_mantikli,0.3,3459,0.62,0.6,0.72
native_default,P3_iyi_hic,0.0,7747,0,0,0
native_default,P3_iyi_acgozlu,0.0,9689,0.96,0.97,0.99
native_default,P3_iyi_mantikli,0.0,10789,0.99,0.99,1.0
native_default,P4_zayif_hic,61.0,1420,0,0,0
native_default,P4_zayif_acgozlu,2.3,1038,0.27,0.01,0.0
native_default,P4_zayif_mantikli,62.7,1386,0.02,0,0
native_default,P4_orta_hic,0.0,4575,0,0,0
native_default,P4_orta_acgozlu,0.0,2954,0.54,0.18,0.36
native_default,P4_orta_mantikli,0.0,3340,0.42,0.36,0.54
native_default,P4_iyi_hic,0.0,8558,0,0,0
native_default,P4_iyi_acgozlu,0.0,9103,0.82,0.79,0.98
native_default,P4_iyi_mantikli,0.0,10216,0.93,0.93,0.98
