card,P,profile,runs,bought_frac,buy_day_mean,cost_mean,d_final_money,d_income_gross,gain_per_active_day,payback_days,lose_with,lose_without
tip_jar,1,zayif,1500,1.0,1.0,76,61,184,12.3,6.27,0.094,0.1753
tip_jar,1,orta,1500,1.0,1.0,76,147,231,15.5,4.98,0.0,0.0007
tip_jar,2,zayif,1500,0.94,3.5,123,187,445,35.6,3.47,0.088,0.1893
tip_jar,2,orta,1500,1.0,2.43,122,428,556,41.0,2.98,0.0,0.0
tip_jar,3,zayif,1500,0.689,4.43,166,141,506,43.8,3.8,0.312,0.4267
tip_jar,3,orta,1500,1.0,3.23,161,551,716,56.1,2.88,0.0,0.0
tip_jar,4,zayif,1500,0.475,5.92,199,112,435,43.1,4.62,0.4833,0.5427
tip_jar,4,orta,1500,1.0,3.53,194,738,935,75.1,2.59,0.0,0.0
grace_plus,1,zayif,1500,1.0,1.0,57,8,14,0.9,61.55,0.0273,0.1753
grace_plus,1,orta,1500,1.0,1.0,57,-59,4,0.3,179.22,0.0,0.0007
grace_plus,2,zayif,1500,1.0,1.0,92,37,107,7.2,12.83,0.0327,0.1893
grace_plus,2,orta,1500,1.0,1.0,92,-97,-1,-0.1,,0.0,0.0
grace_plus,3,zayif,1500,1.0,1.0,121,203,591,39.4,3.07,0.082,0.4267
grace_plus,3,orta,1500,1.0,1.0,121,-151,-27,-1.8,,0.0,0.0
grace_plus,4,zayif,1500,1.0,1.0,144,380,1395,93.0,1.55,0.094,0.5427
grace_plus,4,orta,1500,1.0,1.0,144,-167,-25,-1.7,,0.0,0.0
cooler,1,zayif,1500,1.0,1.0,67,-11,2,0.2,441.51,0.2553,0.1753
cooler,1,orta,1500,1.0,1.0,67,4,72,4.8,13.96,0.0,0.0007
cooler,2,zayif,1500,0.953,3.39,108,22,68,5.4,19.89,0.1953,0.1893
cooler,2,orta,1500,1.0,2.38,106,86,188,13.8,7.75,0.0,0.0
cooler,3,zayif,1500,0.728,4.37,145,17,-17,-1.5,,0.448,0.4267
cooler,3,orta,1500,1.0,3.18,141,167,307,24.0,5.89,0.0,0.0
cooler,4,zayif,1500,0.517,5.62,174,12,-40,-3.9,,0.5653,0.5427
cooler,4,orta,1500,1.0,3.46,169,210,373,29.8,5.7,0.0,0.0
morning_shift,1,zayif,1500,1.0,1.0,76,181,400,26.7,2.88,0.0493,0.1753
morning_shift,1,orta,1500,1.0,1.0,76,399,507,33.8,2.28,0.0,0.0007
morning_shift,2,zayif,1500,0.94,3.5,123,114,349,28.0,4.42,0.1233,0.1893
morning_shift,2,orta,1500,1.0,2.43,122,303,450,33.2,3.68,0.0,0.0
morning_shift,3,zayif,1500,0.689,4.43,166,25,230,19.9,8.36,0.3933,0.4267
morning_shift,3,orta,1500,1.0,3.23,161,317,501,39.3,4.12,0.0,0.0
morning_shift,4,zayif,1500,0.475,5.92,199,31,243,24.2,8.24,0.52,0.5427
morning_shift,4,orta,1500,1.0,3.53,194,373,599,48.1,4.05,0.0,0.0
ticket_queue,1,zayif,1500,1.0,1.0,67,-26,-8,-0.6,,0.2673,0.1753
ticket_queue,1,orta,1500,1.0,1.0,67,-13,57,3.8,17.53,0.0,0.0007
ticket_queue,2,zayif,1500,0.953,3.39,108,15,70,5.6,19.28,0.206,0.1893
ticket_queue,2,orta,1500,1.0,2.38,106,217,330,24.3,4.41,0.0,0.0
ticket_queue,3,zayif,1500,0.728,4.37,145,0,-56,-4.9,,0.4607,0.4267
ticket_queue,3,orta,1500,1.0,3.18,141,449,609,47.5,2.98,0.0,0.0
ticket_queue,4,zayif,1500,0.517,5.62,174,47,190,18.4,9.47,0.5313,0.5427
ticket_queue,4,orta,1500,1.0,3.46,169,673,862,68.8,2.47,0.0,0.0
forecast,1,zayif,1500,1.0,1.0,76,5,27,1.8,41.87,0.2027,0.1753
forecast,1,orta,1500,1.0,1.0,76,95,143,9.6,8.03,0.0,0.0007
forecast,2,zayif,1500,0.94,3.5,123,69,129,10.3,11.95,0.1667,0.1893
forecast,2,orta,1500,1.0,2.43,122,230,286,21.1,5.78,0.0,0.0
forecast,3,zayif,1500,0.689,4.43,166,74,153,13.2,12.57,0.384,0.4267
forecast,3,orta,1500,1.0,3.23,161,414,471,36.9,4.38,0.0,0.0
forecast,4,zayif,1500,0.475,5.92,199,62,143,14.2,13.99,0.5247,0.5427
forecast,4,orta,1500,1.0,3.53,194,582,642,51.5,3.78,0.0,0.0
emergency_brake,1,zayif,1500,1.0,1.0,86,57,13,0.9,96.45,0.0127,0.1753
emergency_brake,1,orta,1500,1.0,1.0,86,-88,4,0.3,268.83,0.0,0.0007
emergency_brake,2,zayif,1500,1.0,1.0,138,180,107,7.2,19.28,0.004,0.1893
emergency_brake,2,orta,1500,1.0,1.0,138,-143,-1,-0.1,,0.0,0.0
emergency_brake,3,zayif,1500,1.0,1.0,181,656,616,41.1,4.43,0.0153,0.4267
emergency_brake,3,orta,1500,1.0,1.0,181,-211,-27,-1.8,,0.0,0.0
emergency_brake,4,zayif,1500,1.0,1.0,216,1171,1510,100.7,2.15,0.0133,0.5427
emergency_brake,4,orta,1500,1.0,1.0,216,-238,-25,-1.7,,0.0,0.0
