card,P,profile,runs,bought_frac,buy_day_mean,cost_mean,d_final_money,d_income_gross,gain_per_active_day,payback_days,lose_with,lose_without
tip_jar,1,zayif,1500,1.0,1.0,57,154,303,20.2,2.85,0.0373,0.1753
tip_jar,1,orta,1500,1.0,1.0,57,302,367,24.5,2.35,0.0,0.0007
tip_jar,2,zayif,1500,1.0,1.0,92,404,765,51.0,1.81,0.0193,0.1893
tip_jar,2,orta,1500,1.0,1.0,92,758,853,56.9,1.62,0.0,0.0
tip_jar,3,zayif,1500,1.0,1.0,121,530,1569,104.7,1.16,0.0647,0.4267
tip_jar,3,orta,1500,1.0,1.0,121,1056,1181,78.7,1.54,0.0,0.0
tip_jar,4,zayif,1500,1.0,1.0,144,689,2552,170.2,0.85,0.116,0.5427
tip_jar,4,orta,1500,1.0,1.0,144,1406,1553,103.5,1.39,0.0,0.0
grace_plus,1,zayif,1500,1.0,1.0,105,-3,13,0.9,115.83,0.05,0.1753
grace_plus,1,orta,1500,1.0,1.0,105,-107,4,0.3,328.57,0.0,0.0007
grace_plus,2,zayif,1500,1.0,1.0,169,18,93,6.3,27.03,0.0607,0.1893
grace_plus,2,orta,1500,1.0,1.0,169,-173,-1,-0.1,,0.0,0.0
grace_plus,3,zayif,1500,1.0,1.0,222,172,517,34.5,6.45,0.132,0.4267
grace_plus,3,orta,1500,1.0,1.0,222,-251,-27,-1.8,,0.0,0.0
grace_plus,4,zayif,1500,1.0,1.0,264,335,1247,83.2,3.18,0.1527,0.5427
grace_plus,4,orta,1500,1.0,1.0,264,-281,-25,-1.7,,0.0,0.0
cooler,1,zayif,1500,1.0,1.0,86,-29,-23,-1.6,,0.3127,0.1753
cooler,1,orta,1500,1.0,1.0,86,-52,38,2.6,33.91,0.0,0.0007
cooler,2,zayif,1500,0.921,3.67,138,-14,-9,-0.8,,0.2467,0.1893
cooler,2,orta,1500,1.0,2.53,137,-24,113,8.5,16.2,0.0,0.0
cooler,3,zayif,1500,0.649,4.53,187,-10,-102,-8.9,,0.4787,0.4267
cooler,3,orta,1500,1.0,3.27,182,34,217,17.0,10.68,0.0,0.0
cooler,4,zayif,1500,0.451,6.06,224,-31,-161,-16.2,,0.5967,0.5427
cooler,4,orta,1500,1.0,3.59,219,72,282,22.7,9.65,0.0,0.0
morning_shift,1,zayif,1500,1.0,1.0,115,151,390,26.1,4.43,0.0753,0.1753
morning_shift,1,orta,1500,1.0,1.0,115,360,507,33.8,3.41,0.0,0.0007
morning_shift,2,zayif,1500,0.857,4.02,186,59,272,22.7,8.19,0.1633,0.1893
morning_shift,2,orta,1500,1.0,2.76,182,219,427,32.3,5.65,0.0,0.0
morning_shift,3,zayif,1500,0.536,4.89,250,-4,149,13.5,18.6,0.4253,0.4267
morning_shift,3,orta,1500,1.0,3.41,243,257,520,41.3,5.9,0.0,0.0
morning_shift,4,zayif,1500,0.351,6.68,299,0,124,13.3,22.46,0.5453,0.5427
morning_shift,4,orta,1500,1.0,3.77,294,246,568,46.4,6.34,0.0,0.0
ticket_queue,1,zayif,1500,1.0,1.0,67,-26,-8,-0.6,,0.2673,0.1753
ticket_queue,1,orta,1500,1.0,1.0,67,-13,57,3.8,17.53,0.0,0.0007
ticket_queue,2,zayif,1500,0.953,3.39,108,15,70,5.6,19.28,0.206,0.1893
ticket_queue,2,orta,1500,1.0,2.38,106,217,330,24.3,4.41,0.0,0.0
ticket_queue,3,zayif,1500,0.728,4.37,145,0,-56,-4.9,,0.4607,0.4267
ticket_queue,3,orta,1500,1.0,3.18,141,449,609,47.5,2.98,0.0,0.0
ticket_queue,4,zayif,1500,0.517,5.62,174,47,190,18.4,9.47,0.5313,0.5427
ticket_queue,4,orta,1500,1.0,3.46,169,673,862,68.8,2.47,0.0,0.0
forecast,1,zayif,1500,1.0,1.0,96,-3,16,1.1,86.79,0.2293,0.1753
forecast,1,orta,1500,1.0,1.0,96,75,143,9.6,10.03,0.0,0.0007
forecast,2,zayif,1500,0.899,3.79,154,45,94,7.7,19.96,0.1847,0.1893
forecast,2,orta,1500,1.0,2.61,152,201,287,21.4,7.09,0.0,0.0
forecast,3,zayif,1500,0.615,4.68,208,53,114,10.1,20.61,0.4067,0.4267
forecast,3,orta,1500,1.0,3.31,202,387,487,38.4,5.28,0.0,0.0
forecast,4,zayif,1500,0.423,6.24,249,34,76,7.8,31.79,0.54,0.5427
forecast,4,orta,1500,1.0,3.63,244,539,648,52.5,4.66,0.0,0.0
emergency_brake,1,zayif,1500,1.0,1.0,86,57,13,0.9,96.45,0.0127,0.1753
emergency_brake,1,orta,1500,1.0,1.0,86,-88,4,0.3,268.83,0.0,0.0007
emergency_brake,2,zayif,1500,1.0,1.0,138,180,107,7.2,19.28,0.004,0.1893
emergency_brake,2,orta,1500,1.0,1.0,138,-143,-1,-0.1,,0.0,0.0
emergency_brake,3,zayif,1500,1.0,1.0,181,656,616,41.1,4.43,0.0153,0.4267
emergency_brake,3,orta,1500,1.0,1.0,181,-211,-27,-1.8,,0.0,0.0
emergency_brake,4,zayif,1500,1.0,1.0,216,1171,1510,100.7,2.15,0.0133,0.5427
emergency_brake,4,orta,1500,1.0,1.0,216,-238,-25,-1.7,,0.0,0.0
