card,P,profile,runs,bought_frac,buy_day_mean,cost_mean,d_final_money,d_income_gross,gain_per_active_day,payback_days,lose_with,lose_without
cooler,1,zayif,1500,1.0,1.0,38,6,19,1.3,29.79,0.1953,0.1753
cooler,1,orta,1500,1.0,1.0,38,40,80,5.3,7.2,0.0,0.0007
cooler,2,zayif,1500,0.982,2.88,61,48,114,8.8,7.03,0.1613,0.1893
cooler,2,orta,1500,1.0,2.19,61,139,198,14.4,4.27,0.0,0.0
cooler,3,zayif,1500,0.832,4.13,82,46,33,2.8,29.71,0.412,0.4267
cooler,3,orta,1500,1.0,3.07,80,257,336,26.1,3.1,0.0,0.0
cooler,4,zayif,1500,0.629,5.13,99,53,101,9.4,10.62,0.5267,0.5427
cooler,4,orta,1500,1.0,3.31,96,331,428,33.8,2.86,0.0,0.0
forecast,1,zayif,1500,1.0,1.0,57,15,36,2.4,23.68,0.1773,0.1753
forecast,1,orta,1500,1.0,1.0,57,114,143,9.6,6.02,0.0,0.0007
forecast,2,zayif,1500,0.964,3.24,92,90,162,12.7,7.24,0.144,0.1893
forecast,2,orta,1500,1.0,2.31,91,263,293,21.5,4.28,0.0,0.0
forecast,3,zayif,1500,0.769,4.34,124,98,192,16.5,7.54,0.3607,0.4267
forecast,3,orta,1500,1.0,3.14,121,469,483,37.6,3.22,0.0,0.0
forecast,4,zayif,1500,0.556,5.48,149,97,244,23.2,6.43,0.502,0.5427
forecast,4,orta,1500,1.0,3.4,145,636,650,51.6,2.82,0.0,0.0
