{'card': 'tip_jar', 'P': 1, 'profile': 'zayif', 'runs': 1500, 'bought_frac': 1.0, 'buy_day_mean': 1.0, 'cost_mean': 76, 'd_final_money': 61, 'd_income_gross': 184, 'gain_per_active_day': 12.3, 'payback_days': 6.27, 'lose_with': 0.094, 'lose_without': 0.1753}
{'card': 'tip_jar', 'P': 1, 'profile': 'orta', 'runs': 1500, 'bought_frac': 1.0, 'buy_day_mean': 1.0, 'cost_mean': 76, 'd_final_money': 147, 'd_income_gross': 231, 'gain_per_active_day': 15.5, 'payback_days': 4.98, 'lose_with': 0.0, 'lose_without': 0.0007}
{'card': 'tip_jar', 'P': 2, 'profile': 'zayif', 'runs': 1500, 'bought_frac': 0.94, 'buy_day_mean': 3.5, 'cost_mean': 123, 'd_final_money': 187, 'd_income_gross': 445, 'gain_per_active_day': 35.6, 'payback_days': 3.47, 'lose_with': 0.088, 'lose_without': 0.1893}
{'card': 'tip_jar', 'P': 2, 'profile': 'orta', 'runs': 1500, 'bought_frac': 1.0, 'buy_day_mean': 2.43, 'cost_mean': 122, 'd_final_money': 428, 'd_income_gross': 556, 'gain_per_active_day': 41.0, 'payback_days': 2.98, 'lose_with': 0.0, 'lose_without': 0.0}
{'card': 'tip_jar', 'P': 3, 'profile': 'zayif', 'runs': 1500, 'bought_frac': 0.689, 'buy_day_mean': 4.43, 'cost_mean': 166, 'd_final_money': 141, 'd_income_gross': 506, 'gain_per_active_day': 43.8, 'payback_days': 3.8, 'lose_with': 0.312, 'lose_without': 0.4267}
{'card': 'tip_jar', 'P': 3, 'profile': 'orta', 'runs': 1500, 'bought_frac': 1.0, 'buy_day_mean': 3.23, 'cost_mean': 161, 'd_final_money': 551, 'd_income_gross': 716, 'gain_per_active_day': 56.1, 'payback_days': 2.88, 'lose_with': 0.0, 'lose_without': 0.0}
{'card': 'tip_jar', 'P': 4, 'profile': 'zayif', 'runs': 1500, 'bought_frac': 0.475, 'buy_day_mean': 5.92, 'cost_mean': 199, 'd_final_money': 112, 'd_income_gross': 435, 'gain_per_active_day': 43.1, 'payback_days': 4.62, 'lose_with': 0.4833, 'lose_without': 0.5427}
{'card': 'tip_jar', 'P': 4, 'profile': 'orta', 'runs': 1500, 'bought_frac': 1.0, 'buy_day_mean': 3.53, 'cost_mean': 194, 'd_final_money': 738, 'd_income_gross': 935, 'gain_per_active_day': 75.1, 'payback_days': 2.59, 'lose_with': 0.0, 'lose_without': 0.0}
{'card': 'grace_plus', 'P': 1, 'profile': 'zayif', 'runs': 1500, 'bought_frac': 1.0, 'buy_day_mean': 1.0, 'cost_mean': 57, 'd_final_money': 8, 'd_income_gross': 14, 'gain_per_active_day': 0.9, 'payback_days': 61.55, 'lose_with': 0.0273, 'lose_without': 0.1753}
{'card': 'grace_plus', 'P': 1, 'profile': 'orta', 'runs': 1500, 'bought_frac': 1.0, 'buy_day_mean': 1.0, 'cost_mean': 57, 'd_final_money': -59, 'd_income_gross': 4, 'gain_per_active_day': 0.3, 'payback_days': 179.22, 'lose_with': 0.0, 'lose_without': 0.0007}
{'card': 'grace_plus', 'P': 2, 'profile': 'zayif', 'runs': 1500, 'bought_frac': 1.0, 'buy_day_mean': 1.0, 'cost_mean': 92, 'd_final_money': 37, 'd_income_gross': 107, 'gain_per_active_day': 7.2, 'payback_days': 12.83, 'lose_with': 0.0327, 'lose_without': 0.1893}
