{'card': 'cooler', 'P': 1, 'profile': 'zayif', 'runs': 1500, 'bought_frac': 1.0, 'buy_day_mean': 1.0, 'cost_mean': 38, 'd_final_money': 6, 'd_income_gross': 19, 'gain_per_active_day': 1.3, 'payback_days': 29.79, 'lose_with': 0.1953, 'lose_without': 0.1753}
{'card': 'cooler', 'P': 1, 'profile': 'orta', 'runs': 1500, 'bought_frac': 1.0, 'buy_day_mean': 1.0, 'cost_mean': 38, 'd_final_money': 40, 'd_income_gross': 80, 'gain_per_active_day': 5.3, 'payback_days': 7.2, 'lose_with': 0.0, 'lose_without': 0.0007}
{'card': 'cooler', 'P': 2, 'profile': 'zayif', 'runs': 1500, 'bought_frac': 0.982, 'buy_day_mean': 2.88, 'cost_mean': 61, 'd_final_money': 48, 'd_income_gross': 114, 'gain_per_active_day': 8.8, 'payback_days': 7.03, 'lose_with': 0.1613, 'lose_without': 0.1893}
{'card': 'cooler', 'P': 2, 'profile': 'orta', 'runs': 1500, 'bought_frac': 1.0, 'buy_day_mean': 2.19, 'cost_mean': 61, 'd_final_money': 139, 'd_income_gross': 198, 'gain_per_active_day': 14.4, 'payback_days': 4.27, 'lose_with': 0.0, 'lose_without': 0.0}
{'card': 'cooler', 'P': 3, 'profile': 'zayif', 'runs': 1500, 'bought_frac': 0.832, 'buy_day_mean': 4.13, 'cost_mean': 82, 'd_final_money': 46, 'd_income_gross': 33, 'gain_per_active_day': 2.8, 'payback_days': 29.71, 'lose_with': 0.412, 'lose_without': 0.4267}
{'card': 'cooler', 'P': 3, 'profile': 'orta', 'runs': 1500, 'bought_frac': 1.0, 'buy_day_mean': 3.07, 'cost_mean': 80, 'd_final_money': 257, 'd_income_gross': 336, 'gain_per_active_day': 26.1, 'payback_days': 3.1, 'lose_with': 0.0, 'lose_without': 0.0}
{'card': 'cooler', 'P': 4, 'profile': 'zayif', 'runs': 1500, 'bought_frac': 0.629, 'buy_day_mean': 5.13, 'cost_mean': 99, 'd_final_money': 53, 'd_income_gross': 101, 'gain_per_active_day': 9.4, 'payback_days': 10.62, 'lose_with': 0.5267, 'lose_without': 0.5427}
{'card': 'cooler', 'P': 4, 'profile': 'orta', 'runs': 1500, 'bought_frac': 1.0, 'buy_day_mean': 3.31, 'cost_mean': 96, 'd_final_money': 331, 'd_income_gross': 428, 'gain_per_active_day': 33.8, 'payback_days': 2.86, 'lose_with': 0.0, 'lose_without': 0.0}
{'card': 'forecast', 'P': 1, 'profile': 'zayif', 'runs': 1500, 'bought_frac': 1.0, 'buy_day_mean': 1.0, 'cost_mean': 57, 'd_final_money': 15, 'd_income_gross': 36, 'gain_per_active_day': 2.4, 'payback_days': 23.68, 'lose_with': 0.1773, 'lose_without': 0.1753}
{'card': 'forecast', 'P': 1, 'profile': 'orta', 'runs': 1500, 'bought_frac': 1.0, 'buy_day_mean': 1.0, 'cost_mean': 57, 'd_final_money': 114, 'd_income_gross': 143, 'gain_per_active_day': 9.6, 'payback_days': 6.02, 'lose_with': 0.0, 'lose_without': 0.0007}
{'card': 'forecast', 'P': 2, 'profile': 'zayif', 'runs': 1500, 'bought_frac': 0.964, 'buy_day_mean': 3.24, 'cost_mean': 92, 'd_final_money': 90, 'd_income_gross': 162, 'gain_per_active_day': 12.7, 'payback_days': 7.24, 'lose_with': 0.144, 'lose_without': 0.1893}
{'card': 'forecast', 'P': 2, 'profile': 'orta', 'runs': 1500, 'bought_frac': 1.0, 'buy_day_mean': 2.31, 'cost_mean': 91, 'd_final_money': 263, 'd_income_gross': 293, 'gain_per_active_day': 21.5, 'payback_days': 4.28, 'lose_with': 0.0, 'lose_without': 0.0}
{'card': 'forecast', 'P': 3, 'profile': 'zayif', 'runs': 1500, 'bought_frac': 0.769, 'buy_day_mean': 4.34, 'cost_mean': 124, 'd_final_money': 98, 'd_income_gross': 192, 'gain_per_active_day': 16.5, 'payback_days': 7.54, 'lose_with': 0.3607, 'lose_without': 0.4267}
{'card': 'forecast', 'P': 3, 'profile': 'orta', 'runs': 1500, 'bought_frac': 1.0, 'buy_day_mean': 3.14, 'cost_mean': 121, 'd_final_money': 469, 'd_income_gross': 483, 'gain_per_active_day': 37.6, 'payback_days': 3.22, 'lose_with': 0.0, 'lose_without': 0.0}
{'card': 'forecast', 'P': 4, 'profile': 'zayif', 'runs': 1500, 'bought_frac': 0.556, 'buy_day_mean': 5.48, 'cost_mean': 149, 'd_final_money': 97, 'd_income_gross': 244, 'gain_per_active_day': 23.2, 'payback_days': 6.43, 'lose_with': 0.502, 'lose_without': 0.5427}
{'card': 'forecast', 'P': 4, 'profile': 'orta', 'runs': 1500, 'bought_frac': 1.0, 'buy_day_mean': 3.4, 'cost_mean': 145, 'd_final_money': 636, 'd_income_gross': 650, 'gain_per_active_day': 51.6, 'payback_days': 2.82, 'lose_with': 0.0, 'lose_without': 0.0}
