event,catalog,P,profile,dayRange,eventDays,net_income_day,base_income_day,d_income_pct,lost_day,d_lost,delivered_day,served_day,spawn_fill,penalty_day,run_lose,run_lose_base
(yok),old,2,zayif,1-15,23055,171.6,171.6,0.0,3.1,0.0,3.0,5.51,0.996,27.9,0.226,0.226
BUSY DAY,old,2,zayif,1-15,23151,168.4,171.6,-1.9,3.63,0.53,3.09,5.38,0.785,28.6,0.243,0.226
DELIVERY BONUS,old,2,zayif,1-15,23700,207.9,171.6,21.1,3.14,0.04,3.05,5.52,0.996,28.4,0.0775,0.226
ANGRY CUSTOMERS,old,2,zayif,1-15,22992,166.5,171.6,-3.0,4.28,1.19,3.06,4.82,0.955,28.4,0.2775,0.226
RELAXED DAY,old,2,zayif,1-15,23310,176.2,171.6,2.6,2.73,-0.36,3.02,5.83,0.995,27.9,0.167,0.226
SLOW LOGISTICS,old,2,zayif,1-15,22650,153.9,171.6,-10.3,3.08,-0.02,2.95,5.49,0.996,27.4,0.345,0.226
EXPRESS CARGO,old,2,zayif,1-15,23394,185.1,171.6,7.8,3.12,0.02,3.03,5.52,0.996,28.1,0.154,0.226
HEAVY BOXES,old,2,zayif,1-15,21999,142.9,171.6,-16.8,3.68,0.58,2.6,4.85,0.995,23.9,0.4815,0.226
GOLDEN BOX DAY,old,2,zayif,1-15,23766,205.2,171.6,19.5,3.23,0.13,3.17,5.74,0.907,29.4,0.054,0.226
OPPORTUNITY DAY,old,2,zayif,1-15,23055,171.6,171.6,0.0,3.1,0.0,3.0,5.51,0.996,27.9,0.226,0.226
FATIGUE PROBLEM,old,2,zayif,1-15,21204,127.4,171.6,-25.7,2.82,-0.28,2.31,4.38,1.0,21.4,0.679,0.226
VIP SERVICE,old,2,zayif,1-15,23508,191.6,171.6,11.7,3.13,0.03,3.03,5.52,0.996,28.2,0.1225,0.226
SURPRISE AUDIT,old,2,zayif,1-15,21245,121.9,171.6,-29.0,2.97,-0.13,2.86,5.46,0.995,53.4,0.6755,0.226
RAINY DAY,old,2,zayif,1-15,21846,139.2,171.6,-18.9,2.4,-0.69,2.46,4.56,1.0,22.5,0.522,0.226
MARKETING DAY,old,2,zayif,1-15,21063,112.2,171.6,-34.6,3.13,0.03,2.89,5.58,0.886,27.1,0.741,0.226
CUSTOMER SUPPORT,old,2,zayif,1-15,23274,174.2,171.6,1.5,3.08,-0.02,3.04,5.55,0.996,28.3,0.191,0.226
FESTIVAL DAY,old,2,zayif,1-15,24000,306.1,171.6,78.4,3.16,0.06,3.06,5.53,0.996,28.6,0.0,0.226
DELIVERY BONUS,new,2,zayif,1-15,23700,207.9,171.6,21.1,3.14,0.04,3.05,5.52,0.996,28.4,0.0775,0.226
EXPRESS CARGO,new,2,zayif,1-15,23457,188.6,171.6,9.9,3.16,0.06,3.04,5.47,0.996,28.3,0.127,0.226
RELAXED DAY,new,2,zayif,1-15,23709,199.7,171.6,16.4,2.56,-0.54,3.04,5.99,0.994,13.6,0.057,0.226
OPPORTUNITY DAY,new,2,zayif,1-15,23055,171.6,171.6,0.0,3.1,0.0,3.0,5.51,0.996,27.9,0.226,0.226
CUSTOMER SUPPORT,new,2,zayif,1-15,23322,177.5,171.6,3.4,3.04,-0.05,3.08,5.59,0.996,28.5,0.1755,0.226
MONOCHROME DAY,new,2,zayif,1-15,23949,213.3,171.6,24.3,3.3,0.21,3.36,5.59,0.996,11.3,0.0145,0.226
QUEST DAY,new,2,zayif,1-15,23325,175.1,171.6,2.0,3.11,0.02,3.02,5.52,0.996,28.1,0.1545,0.226
GOLDEN BOX DAY,new,2,zayif,1-15,23697,216.1,171.6,25.9,3.15,0.05,3.05,5.51,0.996,28.3,0.0575,0.226
VIP SERVICE,new,2,zayif,1-7,12000,136.3,113.6,20.0,3.07,1.17,2.67,4.25,0.994,25.4,0.115,0.226
FESTIVAL DAY,new,2,zayif,1-15,24000,306.1,171.6,78.4,3.16,0.06,3.06,5.53,0.996,28.6,0.0,0.226
RUSH BONUS,new,2,zayif,1-15,23775,208.2,171.6,21.3,3.14,0.05,3.05,5.53,0.996,28.4,0.0625,0.226
RAINY DAY,new,2,zayif,1-15,21846,139.2,171.6,-18.9,2.4,-0.69,2.46,4.56,1.0,22.5,0.522,0.226
HEAVY BOXES,new,2,zayif,1-15,21999,142.9,171.6,-16.8,3.68,0.58,2.6,4.85,0.995,23.9,0.4815,0.226
FATIGUE PROBLEM,new,2,zayif,1-15,22434,150.8,171.6,-12.1,3.48,0.38,2.71,5.09,0.996,25.1,0.409,0.226
SLOW LOGISTICS,new,2,zayif,1-15,22521,148.8,171.6,-13.3,3.07,-0.03,2.92,5.49,0.996,27.7,0.384,0.226
MIXED SHIPMENT,new,2,zayif,5-11,11970,192.9,166.2,16.1,3.46,0.19,3.41,5.28,0.993,32.0,0.151,0.226
SURPRISE AUDIT,new,2,zayif,1-15,21245,121.9,171.6,-29.0,2.97,-0.13,2.86,5.46,0.995,53.4,0.6755,0.226
IMPATIENT DRIVERS,new,2,zayif,1-15,22650,134.5,171.6,-21.6,2.84,-0.26,2.36,5.72,0.996,22.6,0.4155,0.226
RETURN WAVE,new,2,zayif,5-15,14211,114.1,202.6,-43.7,5.28,1.62,2.06,4.03,0.997,19.2,0.891,0.226
BUSY DAY,new,2,zayif,1-15,23181,168.3,171.6,-1.9,5.45,2.35,3.09,6.17,0.99,28.4,0.229,0.226
ANGRY CUSTOMERS,new,2,zayif,1-15,22887,163.3,171.6,-4.8,4.78,1.68,3.03,4.85,0.995,28.1,0.318,0.226
MARKETING DAY,new,2,zayif,1-15,20499,107.0,171.6,-37.6,4.06,0.97,2.8,5.84,0.992,26.2,0.8005,0.226
SUPPLY STRIKE,new,2,zayif,1-15,19713,102.2,171.6,-40.5,1.85,-1.24,2.06,4.01,1.0,19.4,0.87,0.226
(yok),old,2,orta,1-15,24000,354.8,354.8,0.0,2.04,0.0,4.98,6.93,0.999,21.7,0.0,0.0
BUSY DAY,old,2,orta,1-15,24000,358.5,354.8,1.0,2.68,0.64,5.1,7.29,0.837,22.7,0.0,0.0
DELIVERY BONUS,old,2,orta,1-15,24000,409.6,354.8,15.4,2.04,0.0,4.98,6.93,0.999,21.7,0.0,0.0
ANGRY CUSTOMERS,old,2,orta,1-15,24000,344.9,354.8,-2.8,3.31,1.27,4.94,6.51,0.989,21.3,0.0,0.0
RELAXED DAY,old,2,orta,1-15,24000,369.0,354.8,4.0,1.51,-0.53,5.08,7.42,0.999,22.3,0.0,0.0
SLOW LOGISTICS,old,2,orta,1-15,24000,328.3,354.8,-7.5,2.05,0.01,4.95,6.92,0.999,21.5,0.0,0.0
EXPRESS CARGO,old,2,orta,1-15,24000,374.7,354.8,5.6,2.04,0.0,4.98,6.93,0.999,21.7,0.0,0.0
HEAVY BOXES,old,2,orta,1-15,24000,316.8,354.8,-10.7,2.38,0.34,4.54,6.6,0.999,20.0,0.0,0.0
GOLDEN BOX DAY,old,2,orta,1-15,24000,422.6,354.8,19.1,2.11,0.07,5.25,7.62,0.946,22.9,0.0,0.0
OPPORTUNITY DAY,old,2,orta,1-15,24000,354.8,354.8,0.0,2.04,0.0,4.98,6.93,0.999,21.7,0.0,0.0
FATIGUE PROBLEM,old,2,orta,1-15,24000,277.2,354.8,-21.9,1.9,-0.14,4.04,5.65,1.0,17.4,0.0,0.0
VIP SERVICE,old,2,orta,1-15,24000,384.7,354.8,8.4,2.04,0.0,4.98,6.93,0.999,21.7,0.0,0.0
SURPRISE AUDIT,old,2,orta,1-15,24000,314.5,354.8,-11.3,2.04,0.0,4.98,6.93,0.999,43.4,0.0,0.0
RAINY DAY,old,2,orta,1-15,24000,290.0,354.8,-18.3,1.65,-0.39,4.19,5.65,1.0,18.0,0.0,0.0
MARKETING DAY,old,2,orta,1-15,24000,283.7,354.8,-20.0,2.27,0.23,5.17,7.52,0.933,22.4,0.0,0.0
CUSTOMER SUPPORT,old,2,orta,1-15,24000,372.2,354.8,4.9,1.85,-0.19,5.15,7.12,0.999,22.4,0.0,0.0
FESTIVAL DAY,old,2,orta,1-15,24000,485.0,354.8,36.7,2.06,0.02,4.97,6.92,0.999,21.7,0.0,0.0
DELIVERY BONUS,new,2,orta,1-15,24000,409.6,354.8,15.4,2.04,0.0,4.98,6.93,0.999,21.7,0.0,0.0
EXPRESS CARGO,new,2,orta,1-15,24000,376.8,354.8,6.2,2.05,0.01,4.94,6.93,0.999,21.3,0.0,0.0
RELAXED DAY,new,2,orta,1-15,24000,394.0,354.8,11.1,1.24,-0.8,5.13,7.67,0.998,10.7,0.0,0.0
OPPORTUNITY DAY,new,2,orta,1-15,24000,354.8,354.8,0.0,2.04,0.0,4.98,6.93,0.999,21.7,0.0,0.0
CUSTOMER SUPPORT,new,2,orta,1-15,24000,388.5,354.8,9.5,1.72,-0.32,5.31,7.26,0.999,23.4,0.0,0.0
MONOCHROME DAY,new,2,orta,1-15,24000,400.4,354.8,12.9,2.22,0.18,5.48,6.87,0.999,9.1,0.0,0.0
