variant,P,profile,strategy,runs,win,lose,bk_d4,bk_d8,bk_d12,bk_d16,final_p10,final_med,final_p90,income_mean,eb_buy,eb_used,lose_without_eb,n_without_eb,own_tip_jar,own_grace_plus,own_cooler,own_morning_shift,own_ticket_queue,own_forecast,tip_mean,morning_mean,grace_plus_used,forecast_swaps,event_days_mean,pos_cal_mean,offers
base,1,zayif,hic,5000,0.796,0.204,0,0,235,785,0,87,326,1261,0.0,0.0,0.204,5000,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,5.77,3.42,random
base,1,zayif,acgozlu,5000,0.8102,0.1898,0,69,424,456,0,101,336,1292,0.932,0.651,0.2055,1747,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,5.64,3.42,random
base,1,zayif,mantikli,5000,0.7426,0.2574,0,157,599,531,0,84,323,1290,0.831,0.576,0.3398,2119,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,5.5,3.42,random
base,1,zayif,acgozlu_noeb,5000,0.3532,0.6468,0,373,2078,783,0,0,141,1095,0.0,0.0,0.6468,5000,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,4.73,3.42,random
base,1,orta,hic,5000,1.0,0.0,0,0,0,0,657,1113,1601,2268,0.0,0.0,0.0,5000,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,5.87,3.42,random
base,1,orta,acgozlu,5000,0.9986,0.0014,0,3,3,1,143,320,540,2597,0.992,0.018,0.0014,4911,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,5.86,3.42,random
base,1,orta,mantikli,5000,0.996,0.004,0,8,9,3,128,301,527,2688,0.973,0.018,0.0039,4912,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,5.85,3.42,random
base,1,orta,acgozlu_noeb,5000,0.9872,0.0128,0,24,36,4,146,334,549,2650,0.0,0.0,0.0128,5000,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,5.83,3.42,random
base,1,iyi,hic,5000,1.0,0.0,0,0,0,0,1837,2471,3133,3419,0.0,0.0,0.0,5000,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,5.87,3.42,random
base,1,iyi,acgozlu,5000,1.0,0.0,0,0,0,0,467,1144,2288,4486,0.999,0.0,0.0,4999,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,5.87,3.42,random
base,1,iyi,mantikli,5000,1.0,0.0,0,0,0,0,600,1390,2466,4735,0.998,0.001,0.0,4997,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,5.87,3.42,random
base,1,iyi,acgozlu_noeb,5000,1.0,0.0,0,0,0,0,537,1315,2481,4621,0.0,0.0,0.0,5000,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,5.87,3.42,random
base,2,zayif,hic,5000,0.7862,0.2138,0,14,629,426,0,225,691,3184,0.0,0.0,0.2138,5000,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,5.6,3.42,random
base,2,zayif,acgozlu,5000,0.9384,0.0616,0,15,198,95,45,290,667,3313,0.928,0.412,0.0836,2942,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,5.77,3.42,random
base,2,zayif,mantikli,5000,0.8918,0.1082,0,32,345,164,0,257,575,3291,0.839,0.36,0.1452,3202,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,5.7,3.42,random
base,2,zayif,acgozlu_noeb,5000,0.64,0.36,0,73,1294,433,0,148,415,3040,0.0,0.0,0.36,5000,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,5.29,3.42,random
base,2,orta,hic,5000,1.0,0.0,0,0,0,0,2465,3278,4089,6250,0.0,0.0,0.0,5000,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,5.87,3.42,random
base,2,orta,acgozlu,5000,1.0,0.0,0,0,0,0,772,1495,2841,7623,0.993,0.0,0.0,4999,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,5.87,3.42,random
base,2,orta,mantikli,5000,1.0,0.0,0,0,0,0,811,1688,3096,7868,0.986,0.0,0.0,4999,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,5.87,3.42,random
base,2,orta,acgozlu_noeb,5000,1.0,0.0,0,0,0,0,821,1628,3209,7908,0.0,0.0,0.0,5000,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,5.87,3.42,random
base,2,iyi,hic,5000,1.0,0.0,0,0,0,0,5556,6584,7745,9236,0.0,0.0,0.0,5000,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,5.87,3.42,random
base,2,iyi,acgozlu,5000,1.0,0.0,0,0,0,0,5827,8316,10855,14866,1.0,0.0,0.0,5000,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,5.87,3.42,random
base,2,iyi,mantikli,5000,1.0,0.0,0,0,0,0,6076,8437,10885,15068,1.0,0.0,0.0,5000,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,5.87,3.42,random
base,2,iyi,acgozlu_noeb,5000,1.0,0.0,0,0,0,0,6445,8902,11369,15293,0.0,0.0,0.0,5000,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,5.87,3.42,random
base,3,zayif,hic,5000,0.5028,0.4972,0,164,1796,526,0,5,688,4539,0.0,0.0,0.4972,5000,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,5.01,3.42,random
base,3,zayif,acgozlu,5000,0.9002,0.0998,0,40,349,110,0,505,1177,5289,0.91,0.609,0.2008,1957,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,5.69,3.42,random
base,3,zayif,mantikli,5000,0.718,0.282,0,123,1071,216,0,347,952,4954,0.669,0.393,0.4417,3036,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,5.34,3.42,random
base,3,zayif,acgozlu_noeb,5000,0.4236,0.5764,0,200,2249,433,0,0,550,4374,0.0,0.0,0.5764,5000,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,4.8,3.42,random
base,3,orta,hic,5000,1.0,0.0,0,0,0,0,3246,4390,5570,9902,0.0,0.0,0.0,5000,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,5.87,3.42,random
base,3,orta,acgozlu,5000,1.0,0.0,0,0,0,0,1400,2540,4413,11727,0.99,0.0,0.0,5000,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,5.87,3.42,random
base,3,orta,mantikli,5000,1.0,0.0,0,0,0,0,1457,2854,4867,12172,0.967,0.0,0.0,5000,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,5.87,3.42,random
base,3,orta,acgozlu_noeb,5000,1.0,0.0,0,0,0,0,1489,2795,4879,12126,0.0,0.0,0.0,5000,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,5.87,3.42,random
base,3,iyi,hic,5000,1.0,0.0,0,0,0,0,6442,7785,9158,12903,0.0,0.0,0.0,5000,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,5.87,3.42,random
base,3,iyi,acgozlu,5000,1.0,0.0,0,0,0,0,6739,10040,13184,20015,1.0,0.0,0.0,5000,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,5.87,3.42,random
base,3,iyi,mantikli,5000,1.0,0.0,0,0,0,0,7298,10451,13409,20482,0.999,0.0,0.0,5000,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,5.87,3.42,random
base,3,iyi,acgozlu_noeb,5000,1.0,0.0,0,0,0,0,7595,10830,13825,20585,0.0,0.0,0.0,5000,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,5.87,3.42,random
base,4,zayif,hic,5000,0.3662,0.6338,0,584,2283,302,0,0,1016,5628,0.0,0.0,0.6338,5000,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,4.48,3.42,random
base,4,zayif,acgozlu,5000,0.8772,0.1228,0,121,375,118,0,790,1513,7399,0.905,0.666,0.287,1669,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,5.62,3.42,random
base,4,zayif,mantikli,5000,0.6234,0.3766,0,427,1297,159,0,431,1241,6500,0.577,0.362,0.568,3192,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,5.01,3.42,random
base,4,zayif,acgozlu_noeb,5000,0.3456,0.6544,0,597,2400,275,0,0,826,5579,0.0,0.0,0.6544,5000,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,4.43,3.42,random
base,4,orta,hic,5000,0.9994,0.0006,0,0,3,0,3126,4515,5937,12468,0.0,0.0,0.0006,5000,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,5.86,3.42,random
base,4,orta,acgozlu,5000,1.0,0.0,0,0,0,0,1437,2554,4531,14014,0.986,0.0,0.0,4999,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,5.87,3.42,random
base,4,orta,mantikli,5000,1.0,0.0,0,0,0,0,1491,2863,5138,14582,0.948,0.0,0.0,4999,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,5.87,3.42,random
base,4,orta,acgozlu_noeb,5000,0.9998,0.0002,0,0,1,0,1517,2839,5086,14470,0.0,0.0,0.0002,5000,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,5.86,3.42,random
base,4,iyi,hic,5000,1.0,0.0,0,0,0,0,6992,8589,10149,16140,0.0,0.0,0.0,5000,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,5.87,3.42,random
base,4,iyi,acgozlu,5000,1.0,0.0,0,0,0,0,5963,9441,13211,22481,0.997,0.0,0.0,5000,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,5.87,3.42,random
base,4,iyi,mantikli,5000,1.0,0.0,0,0,0,0,6519,9996,13681,23127,0.996,0.0,0.0,5000,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,5.87,3.42,random
base,4,iyi,acgozlu_noeb,5000,1.0,0.0,0,0,0,0,6534,10159,13984,23036,0.0,0.0,0.0,5000,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,5.87,3.42,random
