variant,P,profile,strategy,runs,win,lose,bk_d4,bk_d8,bk_d12,bk_d16,final_p10,final_med,final_p90,income_mean,eb_buy,eb_used,lose_without_eb,n_without_eb,own_tip_jar,own_grace_plus,own_cooler,own_morning_shift,own_ticket_queue,own_forecast,tip_mean,morning_mean,grace_plus_used,forecast_swaps,event_days_mean,pos_cal_mean
base,1,zayif,hic,5000,0.796,0.204,0,0,235,785,0,87,326,1261,0.0,0.0,0.204,5000,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,5.77,3.42
base,1,zayif,acgozlu,5000,0.9108,0.0892,0,0,88,358,4,124,380,1333,1.0,0.667,0.0,1665,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,5.83,3.42
base,1,zayif,mantikli,5000,0.897,0.103,0,0,120,395,0,109,360,1363,1.0,0.672,0.0,1642,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,5.82,3.42
base,1,zayif,acgozlu_noeb,5000,0.4514,0.5486,0,231,1789,723,0,0,162,1188,0.0,0.0,0.5486,5000,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,4.96,3.42
base,1,orta,hic,5000,1.0,0.0,0,0,0,0,657,1113,1601,2268,0.0,0.0,0.0,5000,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,5.87,3.42
base,1,orta,acgozlu,5000,0.9998,0.0002,0,0,1,0,140,316,544,2610,1.0,0.013,0.0,4933,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,5.86,3.42
base,1,orta,mantikli,5000,0.9998,0.0002,0,0,1,0,126,298,581,2735,1.0,0.013,0.0,4933,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,5.86,3.42
base,1,orta,acgozlu_noeb,5000,0.989,0.011,0,17,34,4,158,347,582,2714,0.0,0.0,0.011,5000,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,5.84,3.42
base,1,iyi,hic,5000,1.0,0.0,0,0,0,0,1837,2471,3133,3419,0.0,0.0,0.0,5000,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,5.87,3.42
base,1,iyi,acgozlu,5000,1.0,0.0,0,0,0,0,501,1083,2086,4442,1.0,0.0,0.0,5000,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,5.87,3.42
base,1,iyi,mantikli,5000,1.0,0.0,0,0,0,0,589,1269,2283,4687,1.0,0.0,0.0,4999,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,5.87,3.42
base,1,iyi,acgozlu_noeb,5000,1.0,0.0,0,0,0,0,500,1132,2365,4547,0.0,0.0,0.0,5000,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,5.87,3.42
base,2,zayif,hic,5000,0.7862,0.2138,0,14,629,426,0,225,691,3184,0.0,0.0,0.2138,5000,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,5.6,3.42
base,2,zayif,acgozlu,5000,0.9876,0.0124,0,0,16,46,101,313,621,3396,1.0,0.434,0.0,2830,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,5.86,3.42
base,2,zayif,mantikli,5000,0.9862,0.0138,0,0,17,52,90,282,621,3384,1.0,0.451,0.0,2747,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,5.86,3.42
base,2,zayif,acgozlu_noeb,5000,0.6784,0.3216,0,86,1168,354,0,175,441,3122,0.0,0.0,0.3216,5000,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,5.33,3.42
base,2,orta,hic,5000,1.0,0.0,0,0,0,0,2465,3278,4089,6250,0.0,0.0,0.0,5000,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,5.87,3.42
base,2,orta,acgozlu,5000,1.0,0.0,0,0,0,0,831,1542,2749,7499,1.0,0.0,0.0,5000,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,5.87,3.42
base,2,orta,mantikli,5000,1.0,0.0,0,0,0,0,1012,1937,3231,8063,1.0,0.0,0.0,4998,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,5.87,3.42
base,2,orta,acgozlu_noeb,5000,1.0,0.0,0,0,0,0,914,1734,3117,7948,0.0,0.0,0.0,5000,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,5.87,3.42
base,2,iyi,hic,5000,1.0,0.0,0,0,0,0,5556,6584,7745,9236,0.0,0.0,0.0,5000,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,5.87,3.42
base,2,iyi,acgozlu,5000,1.0,0.0,0,0,0,0,5655,7999,10247,14598,1.0,0.0,0.0,5000,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,5.87,3.42
base,2,iyi,mantikli,5000,1.0,0.0,0,0,0,0,5939,8202,10544,14915,1.0,0.0,0.0,5000,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,5.87,3.42
base,2,iyi,acgozlu_noeb,5000,1.0,0.0,0,0,0,0,6484,8978,11410,15410,0.0,0.0,0.0,5000,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,5.87,3.42
base,3,zayif,hic,5000,0.5028,0.4972,0,164,1796,526,0,5,688,4539,0.0,0.0,0.4972,5000,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,5.01,3.42
base,3,zayif,acgozlu,5000,0.9762,0.0238,0,0,31,88,164,544,1079,5505,1.0,0.68,0.0,1599,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,5.85,3.42
base,3,zayif,mantikli,5000,0.4324,0.5676,0,210,2188,440,0,0,575,4441,0.042,0.006,0.5711,4969,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,4.82,3.42
base,3,zayif,acgozlu_noeb,5000,0.4446,0.5554,0,197,2193,387,0,0,596,4446,0.0,0.0,0.5554,5000,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,4.82,3.42
base,3,orta,hic,5000,1.0,0.0,0,0,0,0,3246,4390,5570,9902,0.0,0.0,0.0,5000,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,5.87,3.42
base,3,orta,acgozlu,5000,1.0,0.0,0,0,0,0,1529,2689,4356,11622,1.0,0.0,0.0,4999,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,5.87,3.42
base,3,orta,mantikli,5000,1.0,0.0,0,0,0,0,1781,3282,5093,12562,0.942,0.0,0.0,5000,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,5.87,3.42
base,3,orta,acgozlu_noeb,5000,1.0,0.0,0,0,0,0,1626,2916,4829,12044,0.0,0.0,0.0,5000,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,5.87,3.42
base,3,iyi,hic,5000,1.0,0.0,0,0,0,0,6442,7785,9158,12903,0.0,0.0,0.0,5000,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,5.87,3.42
base,3,iyi,acgozlu,5000,1.0,0.0,0,0,0,0,6548,9718,12765,19848,1.0,0.0,0.0,5000,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,5.87,3.42
base,3,iyi,mantikli,5000,1.0,0.0,0,0,0,0,7767,10737,13668,20950,0.999,0.0,0.0,5000,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,5.87,3.42
base,3,iyi,acgozlu_noeb,5000,1.0,0.0,0,0,0,0,7642,10679,13552,20659,0.0,0.0,0.0,5000,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,5.87,3.42
base,4,zayif,hic,5000,0.3662,0.6338,0,584,2283,302,0,0,1016,5628,0.0,0.0,0.6338,5000,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,4.48,3.42
base,4,zayif,acgozlu,5000,0.9706,0.0294,0,0,48,99,310,863,1583,7804,1.0,0.785,0.0,1077,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,5.85,3.42
base,4,zayif,mantikli,5000,0.344,0.656,0,600,2407,273,0,0,809,5578,0.015,0.002,0.6576,4988,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,4.42,3.42
base,4,zayif,acgozlu_noeb,5000,0.3478,0.6522,0,599,2391,271,0,0,851,5596,0.0,0.0,0.6522,5000,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,4.43,3.42
base,4,orta,hic,5000,0.9994,0.0006,0,0,3,0,3126,4515,5937,12468,0.0,0.0,0.0006,5000,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,5.86,3.42
base,4,orta,acgozlu,5000,1.0,0.0,0,0,0,0,1551,2777,4486,13918,1.0,0.001,0.0,4995,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,5.87,3.42
base,4,orta,mantikli,5000,1.0,0.0,0,0,0,0,1662,3101,5293,14673,0.855,0.0,0.0,4998,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,5.87,3.42
base,4,orta,acgozlu_noeb,5000,1.0,0.0,0,0,0,0,1677,3009,4940,14323,0.0,0.0,0.0,5000,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,5.87,3.42
base,4,iyi,hic,5000,1.0,0.0,0,0,0,0,6992,8589,10149,16140,0.0,0.0,0.0,5000,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,5.87,3.42
base,4,iyi,acgozlu,5000,1.0,0.0,0,0,0,0,5563,8821,12344,21904,1.0,0.0,0.0,5000,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,5.87,3.42
base,4,iyi,mantikli,5000,1.0,0.0,0,0,0,0,6668,9868,13328,23270,0.996,0.0,0.0,5000,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,5.87,3.42
base,4,iyi,acgozlu_noeb,5000,1.0,0.0,0,0,0,0,6344,9814,13484,22891,0.0,0.0,0.0,5000,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,5.87,3.42
