variant,P,profile,strategy,runs,win,lose,bk_d4,bk_d8,bk_d12,bk_d16,final_p10,final_med,final_p90,income_mean,eb_buy,eb_used,lose_without_eb,n_without_eb,own_tip_jar,own_grace_plus,own_cooler,own_morning_shift,own_ticket_queue,own_forecast,tip_mean,morning_mean,grace_plus_used,forecast_swaps,event_days_mean,pos_cal_mean,offers
ev,1,zayif,hic,5000,0.8178,0.1822,0,0,176,735,0,89,341,1268,0.0,0.0,0.1822,5000,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,11.89,6.99,random
ev,1,zayif,acgozlu,5000,0.826,0.174,0,55,332,483,0,108,390,1322,0.943,0.638,0.1764,1808,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,11.73,6.99,random
ev,1,zayif,mantikli,5000,0.7708,0.2292,0,108,504,534,0,87,366,1329,0.852,0.564,0.289,2180,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,11.57,6.99,random
ev,1,zayif,acgozlu_noeb,5000,0.3834,0.6166,0,294,1883,906,0,0,148,1153,0.0,0.0,0.6166,5000,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,10.52,6.99,random
ev,1,orta,hic,5000,0.9998,0.0002,0,0,0,1,691,1134,1627,2281,0.0,0.0,0.0002,5000,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,12.0,6.99,random
ev,1,orta,acgozlu,5000,0.9992,0.0008,0,2,1,1,144,323,542,2654,0.996,0.012,0.0004,4940,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,12.0,6.99,random
ev,1,orta,mantikli,5000,0.998,0.002,0,5,5,0,127,306,545,2752,0.981,0.014,0.002,4931,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,11.99,6.99,random
ev,1,orta,acgozlu_noeb,5000,0.9926,0.0074,0,13,16,8,150,344,575,2746,0.0,0.0,0.0074,5000,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,11.97,6.99,random
ev,1,iyi,hic,5000,1.0,0.0,0,0,0,0,1861,2511,3194,3426,0.0,0.0,0.0,5000,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,12.0,6.99,random
ev,1,iyi,acgozlu,5000,1.0,0.0,0,0,0,0,504,1277,2554,4639,1.0,0.0,0.0,4999,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,12.0,6.99,random
ev,1,iyi,mantikli,5000,0.9998,0.0002,0,0,1,0,612,1530,2691,4880,0.999,0.001,0.0,4997,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,12.0,6.99,random
ev,1,iyi,acgozlu_noeb,5000,1.0,0.0,0,0,0,0,591,1499,2810,4799,0.0,0.0,0.0,5000,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,12.0,6.99,random
