variant,P,profile,strategy,runs,win,lose,bk_d4,bk_d8,bk_d12,bk_d16,final_p10,final_med,final_p90,income_mean,eb_buy,eb_used,lose_without_eb,n_without_eb,own_tip_jar,own_grace_plus,own_cooler,own_morning_shift,own_ticket_queue,own_forecast,tip_mean,morning_mean,grace_plus_used,forecast_swaps,event_days_mean,pos_cal_mean,offers
kart,1,zayif,hic,5000,0.796,0.204,0,0,235,785,0,87,326,1261,0.0,0.0,0.204,5000,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,5.77,3.42,random
kart,1,zayif,acgozlu,5000,0.8536,0.1464,0,27,244,461,0,109,258,1414,0.483,0.27,0.1439,3648,0.349,0.492,0.562,0.336,0.43,0.137,54,4.0,0.403,0.05,5.75,3.47,random
kart,1,zayif,mantikli,5000,0.8168,0.1832,0,69,371,476,0,98,233,1419,0.451,0.243,0.1854,3786,0.375,0.477,0.487,0.343,0.383,0.107,57,4.0,0.381,0.04,5.66,3.45,random
kart,1,zayif,acgozlu_noeb,5000,0.774,0.226,0,85,488,557,0,92,205,1399,0.0,0.0,0.226,5000,0.367,0.87,0.595,0.353,0.45,0.122,59,4.5,0.664,0.06,5.61,3.47,random
kart,1,orta,hic,5000,1.0,0.0,0,0,0,0,657,1113,1601,2268,0.0,0.0,0.0,5000,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,5.87,3.42,random
kart,1,orta,acgozlu,5000,0.999,0.001,0,2,3,0,191,415,771,2874,0.501,0.004,0.001,4982,0.788,0.496,0.868,0.755,0.827,0.666,145,7.1,0.047,0.42,5.86,3.84,random
kart,1,orta,mantikli,5000,0.9992,0.0008,0,2,2,0,185,414,849,2979,0.499,0.005,0.0008,4974,0.796,0.495,0.83,0.753,0.779,0.608,153,7.6,0.055,0.35,5.86,3.76,random
kart,1,orta,acgozlu_noeb,5000,0.9994,0.0006,0,1,1,1,191,423,782,2916,0.0,0.0,0.0006,5000,0.814,0.958,0.895,0.785,0.855,0.698,155,7.6,0.086,0.45,5.86,3.87,random
kart,1,iyi,hic,5000,1.0,0.0,0,0,0,0,1837,2471,3133,3419,0.0,0.0,0.0,5000,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,5.87,3.42,random
kart,1,iyi,acgozlu,5000,1.0,0.0,0,0,0,0,873,1957,3382,5312,0.504,0.0,0.0,5000,0.961,0.496,0.963,0.955,0.959,0.926,273,10.5,0.003,0.73,5.87,4.15,random
kart,1,iyi,mantikli,5000,1.0,0.0,0,0,0,0,1030,2130,3505,5479,0.515,0.0,0.0,5000,0.958,0.484,0.954,0.946,0.94,0.901,278,11.1,0.006,0.65,5.87,4.07,random
kart,1,iyi,acgozlu_noeb,5000,1.0,0.0,0,0,0,0,940,2016,3524,5445,0.0,0.0,0.0,5000,0.978,0.956,0.98,0.967,0.974,0.943,291,11.2,0.005,0.77,5.87,4.19,random
