variant,P,profile,strategy,runs,win,lose,bk_d4,bk_d8,bk_d12,bk_d16,final_p10,final_med,final_p90,income_mean,eb_buy,eb_used,lose_without_eb,n_without_eb,own_tip_jar,own_grace_plus,own_cooler,own_morning_shift,own_ticket_queue,own_forecast,tip_mean,morning_mean,grace_plus_used,forecast_swaps,event_days_mean,pos_cal_mean,offers
paket,1,zayif,hic,5000,0.8178,0.1822,0,0,176,735,0,89,341,1268,0.0,0.0,0.1822,5000,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,11.89,6.99,random
paket,1,zayif,acgozlu,5000,0.8824,0.1176,0,15,194,379,0,116,271,1460,0.489,0.252,0.1142,3739,0.383,0.491,0.599,0.366,0.459,0.143,61,4.5,0.381,0.1,11.87,7.09,random
paket,1,zayif,mantikli,5000,0.852,0.148,0,52,292,396,0,104,248,1467,0.46,0.225,0.1533,3875,0.418,0.472,0.515,0.384,0.414,0.123,66,4.6,0.367,0.08,11.76,7.07,random
paket,1,zayif,acgozlu_noeb,5000,0.8204,0.1796,0,58,360,480,0,103,207,1466,0.0,0.0,0.1796,5000,0.407,0.878,0.62,0.39,0.491,0.147,66,5.0,0.64,0.12,11.71,7.11,random
paket,1,orta,hic,5000,0.9998,0.0002,0,0,0,1,691,1134,1627,2281,0.0,0.0,0.0002,5000,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,12.0,6.99,random
paket,1,orta,acgozlu,5000,0.9996,0.0004,0,1,1,0,212,457,907,3075,0.502,0.003,0.0004,4984,0.828,0.497,0.888,0.794,0.864,0.729,163,8.0,0.036,0.88,12.0,7.86,random
paket,1,orta,mantikli,5000,0.9988,0.0012,0,3,3,0,192,466,1015,3176,0.501,0.003,0.0012,4986,0.842,0.493,0.861,0.795,0.811,0.659,170,8.5,0.044,0.71,11.99,7.7,random
paket,1,orta,acgozlu_noeb,5000,0.9994,0.0006,0,2,1,0,217,467,934,3129,0.0,0.0,0.0006,5000,0.853,0.957,0.911,0.829,0.887,0.758,173,8.6,0.066,0.92,12.0,7.9,random
paket,1,iyi,hic,5000,1.0,0.0,0,0,0,0,1861,2511,3194,3426,0.0,0.0,0.0,5000,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,12.0,6.99,random
paket,1,iyi,acgozlu,5000,1.0,0.0,0,0,0,0,1136,2396,3978,5814,0.498,0.0,0.0,5000,0.977,0.501,0.984,0.97,0.974,0.954,301,11.8,0.002,1.46,12.0,8.45,random
paket,1,iyi,mantikli,5000,1.0,0.0,0,0,0,0,1323,2626,4150,6018,0.508,0.0,0.0,5000,0.979,0.491,0.972,0.965,0.967,0.931,305,12.5,0.003,1.32,12.0,8.3,random
paket,1,iyi,acgozlu_noeb,5000,1.0,0.0,0,0,0,0,1159,2499,4202,5949,0.0,0.0,0.0,5000,0.986,0.951,0.988,0.978,0.985,0.967,318,12.6,0.003,1.51,12.0,8.49,random
paket,2,zayif,hic,5000,0.8076,0.1924,0,16,455,491,0,214,653,3196,0.0,0.0,0.1924,5000,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,11.71,6.99,random
paket,2,zayif,acgozlu,5000,0.9594,0.0406,0,11,76,116,55,278,533,3397,0.482,0.183,0.0428,4086,0.155,0.498,0.348,0.154,0.209,0.126,42,1.0,0.36,0.08,11.94,7.07,random
paket,2,zayif,mantikli,5000,0.9384,0.0616,0,21,150,137,43,268,516,3400,0.467,0.169,0.0669,4157,0.257,0.472,0.318,0.232,0.231,0.111,83,1.7,0.321,0.08,11.88,7.07,random
paket,2,zayif,acgozlu_noeb,5000,0.9112,0.0888,0,21,207,216,15,262,455,3393,0.0,0.0,0.0888,5000,0.166,0.876,0.383,0.167,0.226,0.114,53,1.3,0.594,0.08,11.85,7.07,random
paket,2,orta,hic,5000,1.0,0.0,0,0,0,0,2524,3330,4132,6268,0.0,0.0,0.0,5000,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,12.0,6.99,random
paket,2,orta,acgozlu,5000,1.0,0.0,0,0,0,0,1239,2441,4059,8499,0.501,0.0,0.0,5000,0.862,0.497,0.901,0.858,0.869,0.815,375,6.4,0.003,1.0,12.0,7.98,random
paket,2,orta,mantikli,5000,0.9998,0.0002,0,1,0,0,1301,2566,4285,8668,0.502,0.0,0.0002,5000,0.876,0.493,0.884,0.861,0.853,0.784,414,7.1,0.005,0.88,12.0,7.87,random
paket,2,orta,acgozlu_noeb,5000,1.0,0.0,0,0,0,0,1344,2548,4110,8693,0.0,0.0,0.0,5000,0.902,0.94,0.931,0.902,0.905,0.857,414,7.1,0.007,1.08,12.0,8.07,random
paket,2,iyi,hic,5000,1.0,0.0,0,0,0,0,5609,6697,7829,9293,0.0,0.0,0.0,5000,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,12.0,6.99,random
paket,2,iyi,acgozlu,5000,1.0,0.0,0,0,0,0,7183,9798,12579,16411,0.5,0.0,0.0,5000,0.992,0.5,0.989,0.992,0.991,0.98,693,11.2,0.0,1.6,12.0,8.58,random
paket,2,iyi,mantikli,5000,1.0,0.0,0,0,0,0,7434,10034,12767,16645,0.496,0.0,0.0,5000,0.992,0.504,0.991,0.99,0.99,0.979,704,12.0,0.0,1.53,12.0,8.51,random
paket,2,iyi,acgozlu_noeb,5000,1.0,0.0,0,0,0,0,7479,10264,13063,16831,0.0,0.0,0.0,5000,0.998,0.942,0.998,0.999,0.998,0.994,737,12.1,0.0,1.69,12.0,8.68,random
paket,3,zayif,hic,5000,0.5532,0.4468,0,116,1457,661,0,81,626,4734,0.0,0.0,0.4468,5000,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,10.99,6.99,random
paket,3,zayif,acgozlu,5000,0.9228,0.0772,0,10,195,181,47,457,948,5426,0.487,0.287,0.0974,3563,0.115,0.484,0.209,0.113,0.14,0.104,33,0.4,0.43,0.04,11.87,7.03,random
paket,3,zayif,mantikli,5000,0.8226,0.1774,0,65,609,213,0,384,813,5237,0.38,0.206,0.2175,3972,0.164,0.444,0.191,0.142,0.148,0.074,62,0.6,0.357,0.03,11.56,7.02,random
paket,3,zayif,acgozlu_noeb,5000,0.843,0.157,0,37,454,294,0,365,640,5326,0.0,0.0,0.157,5000,0.085,0.856,0.216,0.09,0.116,0.061,35,0.5,0.718,0.03,11.68,7.02,random
paket,3,orta,hic,5000,1.0,0.0,0,0,0,0,3272,4386,5548,9849,0.0,0.0,0.0,5000,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,12.0,6.99,random
paket,3,orta,acgozlu,5000,1.0,0.0,0,0,0,0,2039,3678,5919,12729,0.5,0.0,0.0,5000,0.782,0.497,0.83,0.791,0.798,0.733,402,4.8,0.004,0.83,12.0,7.82,random
paket,3,orta,mantikli,5000,1.0,0.0,0,0,0,0,2195,3966,6251,13132,0.49,0.0,0.0,5000,0.805,0.497,0.81,0.801,0.779,0.725,448,5.4,0.004,0.76,12.0,7.75,random
paket,3,orta,acgozlu_noeb,5000,1.0,0.0,0,0,0,0,2126,3753,6044,12952,0.0,0.0,0.0,5000,0.821,0.931,0.862,0.837,0.831,0.778,445,5.3,0.004,0.88,12.0,7.87,random
paket,3,iyi,hic,5000,1.0,0.0,0,0,0,0,6470,7850,9281,12914,0.0,0.0,0.0,5000,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,12.0,6.99,random
paket,3,iyi,acgozlu,5000,1.0,0.0,0,0,0,0,8145,11264,14663,21249,0.509,0.0,0.0,5000,0.967,0.491,0.969,0.973,0.97,0.948,754,8.9,0.0,1.42,12.0,8.4,random
paket,3,iyi,mantikli,5000,1.0,0.0,0,0,0,0,8536,11711,14994,21658,0.507,0.0,0.0,5000,0.972,0.49,0.97,0.969,0.965,0.944,782,9.3,0.0,1.35,12.0,8.33,random
paket,3,iyi,acgozlu_noeb,5000,1.0,0.0,0,0,0,0,8343,11712,15021,21769,0.0,0.0,0.0,5000,0.986,0.933,0.984,0.989,0.985,0.973,823,9.8,0.0,1.47,12.0,8.45,random
paket,4,zayif,hic,5000,0.4574,0.5426,0,310,1995,408,0,0,1007,6170,0.0,0.0,0.5426,5000,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,10.43,6.99,random
paket,4,zayif,acgozlu,5000,0.9096,0.0904,0,32,259,161,29,702,1391,7608,0.481,0.321,0.1192,3397,0.111,0.489,0.174,0.119,0.129,0.117,23,0.2,0.452,0.04,11.81,7.03,random
