variant,P,profile,strategy,runs,win,lose,bk_d4,bk_d8,bk_d12,bk_d16,final_p10,final_med,final_p90,income_mean,eb_buy,eb_used,lose_without_eb,n_without_eb,own_tip_jar,own_grace_plus,own_cooler,own_morning_shift,own_ticket_queue,own_forecast,tip_mean,morning_mean,grace_plus_used,forecast_swaps,event_days_mean,pos_cal_mean,offers
paket,1,zayif,hic,5000,0.8178,0.1822,0,0,176,735,0,89,341,1268,0.0,0.0,0.1822,5000,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,11.89,6.99,fixed
paket,1,zayif,acgozlu,5000,0.746,0.254,0,180,659,431,0,103,306,1330,0.754,0.471,0.3245,2647,0.262,0.035,0.192,0.128,0.171,0.031,44,1.2,0.015,0.05,11.39,7.03,fixed
paket,1,zayif,mantikli,5000,0.6796,0.3204,0,267,864,471,0,78,255,1344,0.531,0.278,0.3728,3608,0.439,0.027,0.344,0.242,0.278,0.083,74,2.8,0.007,0.16,11.16,7.14,fixed
paket,1,zayif,acgozlu_noeb,5000,0.739,0.261,0,64,664,577,0,90,213,1340,0.0,0.0,0.261,5000,0.663,0.692,0.08,0.207,0.462,0.079,113,2.3,0.504,0.14,11.52,7.12,fixed
paket,1,orta,hic,5000,0.9998,0.0002,0,0,0,1,691,1134,1627,2281,0.0,0.0,0.0002,5000,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,12.0,6.99,fixed
paket,1,orta,acgozlu,5000,0.9978,0.0022,0,5,5,1,184,400,731,2903,0.946,0.011,0.0022,4947,0.71,0.04,0.613,0.692,0.853,0.713,152,3.6,0.002,0.73,11.99,7.72,fixed
paket,1,orta,mantikli,5000,0.9964,0.0036,0,11,6,1,195,466,994,3166,0.885,0.008,0.0036,4961,0.834,0.073,0.682,0.739,0.837,0.703,198,5.2,0.002,0.73,11.98,7.71,fixed
paket,1,orta,acgozlu_noeb,5000,0.9996,0.0004,0,0,2,0,206,456,906,2969,0.0,0.0,0.0004,5000,0.911,0.943,0.757,0.76,0.913,0.824,227,4.8,0.058,0.85,12.0,7.84,fixed
paket,1,iyi,hic,5000,1.0,0.0,0,0,0,0,1861,2511,3194,3426,0.0,0.0,0.0,5000,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,12.0,6.99,fixed
paket,1,iyi,acgozlu,5000,1.0,0.0,0,0,0,0,959,2103,3625,5573,0.952,0.0,0.0,4999,0.961,0.047,0.922,0.875,0.963,0.891,294,6.5,0.0,1.13,12.0,8.12,fixed
paket,1,iyi,mantikli,5000,1.0,0.0,0,0,0,0,1421,2477,3846,5942,0.917,0.0,0.0,5000,0.988,0.082,0.928,0.91,0.908,0.885,352,8.2,0.0,1.04,12.0,8.03,fixed
paket,1,iyi,acgozlu_noeb,5000,0.9998,0.0002,0,0,1,0,1037,2204,3853,5554,0.0,0.0,0.0002,5000,0.953,0.967,0.938,0.938,0.95,0.926,303,8.2,0.005,1.27,12.0,8.25,fixed
paket,2,zayif,hic,5000,0.8076,0.1924,0,16,455,491,0,214,653,3196,0.0,0.0,0.1924,5000,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,11.71,6.99,fixed
paket,2,zayif,acgozlu,5000,0.9556,0.0444,0,0,90,132,60,286,475,3475,0.0,0.0,0.0444,5000,0.133,1.0,0.571,0.058,0.207,0.104,55,0.6,0.725,0.15,11.95,7.13,fixed
paket,2,zayif,mantikli,5000,0.96,0.04,0,0,84,116,63,286,458,3527,0.0,0.0,0.04,5000,0.264,1.0,0.414,0.302,0.273,0.213,112,3.5,0.662,0.31,11.95,7.3,fixed
paket,2,zayif,acgozlu_noeb,5000,0.9554,0.0446,0,0,91,132,63,280,467,3491,0.0,0.0,0.0446,5000,0.003,0.999,0.493,0.068,0.506,0.063,0,0.7,0.76,0.12,11.95,7.11,fixed
paket,2,orta,hic,5000,1.0,0.0,0,0,0,0,2524,3330,4132,6268,0.0,0.0,0.0,5000,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,12.0,6.99,fixed
paket,2,orta,acgozlu,5000,1.0,0.0,0,0,0,0,1647,2952,4784,9052,0.0,0.0,0.0,5000,0.894,1.0,0.992,0.811,0.947,0.941,466,5.1,0.004,1.75,12.0,8.73,fixed
paket,2,orta,mantikli,5000,1.0,0.0,0,0,0,0,2031,3422,5066,9683,0.007,0.0,0.0,5000,0.846,0.993,0.969,0.895,0.923,0.894,368,8.7,0.004,1.43,12.0,8.41,fixed
paket,2,orta,acgozlu_noeb,5000,1.0,0.0,0,0,0,0,1510,2812,4419,9074,0.0,0.0,0.0,5000,0.777,0.999,0.879,0.941,0.989,0.856,217,8.9,0.007,1.16,12.0,8.15,fixed
paket,2,iyi,hic,5000,1.0,0.0,0,0,0,0,5609,6697,7829,9293,0.0,0.0,0.0,5000,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,12.0,6.99,fixed
paket,2,iyi,acgozlu,5000,1.0,0.0,0,0,0,0,8337,10670,13201,17109,0.028,0.0,0.0,5000,0.992,0.972,1.0,0.994,0.995,0.981,797,12.7,0.0,1.78,12.0,8.77,fixed
