variant,P,profile,strategy,runs,win,lose,bk_d4,bk_d8,bk_d12,bk_d16,final_p10,final_med,final_p90,income_mean,eb_buy,eb_used,lose_without_eb,n_without_eb,own_tip_jar,own_grace_plus,own_cooler,own_morning_shift,own_ticket_queue,own_forecast,tip_mean,morning_mean,grace_plus_used,forecast_swaps,event_days_mean,pos_cal_mean,offers
paket_hard,1,zayif,hic,2000,0.7905,0.2095,0,0,73,346,0,80,296,1232,0.0,0.0,0.2095,2000,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,11.89,7.01,random
paket_hard,1,zayif,acgozlu,2000,0.879,0.121,0,5,88,149,0,112,292,1444,0.498,0.261,0.115,1478,0.387,0.477,0.587,0.371,0.457,0.139,63,4.6,0.366,0.1,11.85,7.11,random
paket_hard,1,zayif,mantikli,2000,0.846,0.154,0,19,111,178,0,100,254,1456,0.474,0.235,0.1609,1529,0.427,0.466,0.504,0.379,0.423,0.11,67,4.7,0.352,0.09,11.78,7.1,random
paket_hard,1,zayif,acgozlu_noeb,2000,0.7955,0.2045,0,29,147,233,0,92,208,1443,0.0,0.0,0.2045,2000,0.406,0.876,0.606,0.386,0.489,0.13,65,5.0,0.643,0.11,11.69,7.12,random
paket_hard,1,orta,hic,2000,1.0,0.0,0,0,0,0,650,1098,1569,2245,0.0,0.0,0.0,2000,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,12.0,7.01,random
paket_hard,1,orta,acgozlu,2000,0.9995,0.0005,0,1,0,0,191,446,891,3047,0.519,0.001,0.0005,1999,0.834,0.478,0.897,0.802,0.859,0.71,166,8.0,0.034,0.86,12.0,7.87,random
paket_hard,1,orta,mantikli,2000,0.998,0.002,0,2,2,0,187,448,1006,3157,0.511,0.003,0.002,1995,0.843,0.48,0.849,0.795,0.798,0.657,170,8.7,0.044,0.71,11.99,7.72,random
paket_hard,1,orta,acgozlu_noeb,2000,0.9985,0.0015,0,2,1,0,207,467,946,3108,0.0,0.0,0.0015,2000,0.849,0.958,0.913,0.828,0.889,0.751,174,8.6,0.06,0.94,11.99,7.95,random
paket_hard,1,iyi,hic,2000,1.0,0.0,0,0,0,0,1782,2429,3128,3355,0.0,0.0,0.0,2000,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,12.0,7.01,random
paket_hard,1,iyi,acgozlu,2000,1.0,0.0,0,0,0,0,1122,2382,3988,5805,0.503,0.0,0.0,2000,0.976,0.496,0.984,0.972,0.975,0.951,301,12.1,0.001,1.47,12.0,8.48,random
paket_hard,1,iyi,mantikli,2000,1.0,0.0,0,0,0,0,1240,2579,4129,5977,0.511,0.0,0.0,2000,0.978,0.488,0.973,0.965,0.965,0.933,303,12.6,0.004,1.33,12.0,8.34,random
paket_hard,1,iyi,acgozlu_noeb,2000,1.0,0.0,0,0,0,0,1114,2444,4130,5893,0.0,0.0,0.0,2000,0.991,0.947,0.991,0.986,0.989,0.966,316,12.7,0.004,1.5,12.0,8.51,random
paket_hard,2,zayif,hic,2000,0.765,0.235,0,9,194,267,0,183,560,3104,0.0,0.0,0.235,2000,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,11.68,7.01,random
paket_hard,2,zayif,acgozlu,2000,0.954,0.046,0,5,28,59,49,265,543,3325,0.492,0.212,0.0514,1576,0.143,0.486,0.327,0.137,0.204,0.114,38,0.9,0.37,0.07,11.94,7.08,random
paket_hard,2,zayif,mantikli,2000,0.9305,0.0695,0,8,64,67,27,256,498,3328,0.477,0.19,0.0759,1620,0.246,0.457,0.314,0.227,0.226,0.103,81,1.7,0.318,0.08,11.88,7.09,random
paket_hard,2,zayif,acgozlu_noeb,2000,0.874,0.126,0,13,107,132,0,243,429,3298,0.0,0.0,0.126,2000,0.165,0.875,0.377,0.163,0.209,0.091,54,1.3,0.622,0.07,11.8,7.08,random
paket_hard,2,orta,hic,2000,1.0,0.0,0,0,0,0,2343,3119,3901,6054,0.0,0.0,0.0,2000,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,12.0,7.01,random
paket_hard,2,orta,acgozlu,2000,1.0,0.0,0,0,0,0,1195,2330,3959,8354,0.514,0.0,0.0,2000,0.86,0.483,0.902,0.864,0.862,0.788,374,6.3,0.002,0.97,12.0,7.98,random
paket_hard,2,orta,mantikli,2000,1.0,0.0,0,0,0,0,1205,2491,4242,8543,0.513,0.0,0.0,2000,0.867,0.481,0.885,0.856,0.837,0.767,412,7.0,0.004,0.87,12.0,7.88,random
paket_hard,2,orta,acgozlu_noeb,2000,1.0,0.0,0,0,0,0,1285,2454,4049,8572,0.0,0.0,0.0,2000,0.895,0.943,0.92,0.907,0.896,0.853,418,6.9,0.007,1.06,12.0,8.07,random
paket_hard,2,iyi,hic,2000,1.0,0.0,0,0,0,0,5383,6477,7583,9058,0.0,0.0,0.0,2000,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,12.0,7.01,random
paket_hard,2,iyi,acgozlu,2000,1.0,0.0,0,0,0,0,6963,9708,12540,16308,0.519,0.0,0.0,2000,0.991,0.481,0.987,0.993,0.993,0.979,683,11.1,0.0,1.59,12.0,8.6,random
paket_hard,2,iyi,mantikli,2000,1.0,0.0,0,0,0,0,7233,9828,12692,16497,0.514,0.0,0.0,2000,0.989,0.485,0.987,0.991,0.992,0.983,702,11.9,0.0,1.52,12.0,8.53,random
paket_hard,2,iyi,acgozlu_noeb,2000,1.0,0.0,0,0,0,0,7499,10116,12975,16736,0.0,0.0,0.0,2000,0.999,0.94,0.999,1.0,0.999,0.996,740,12.3,0.0,1.69,12.0,8.7,random
paket_hard,3,zayif,hic,2000,0.434,0.566,0,43,663,426,0,0,479,4482,0.0,0.0,0.566,2000,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,10.88,7.01,random
paket_hard,3,zayif,acgozlu,2000,0.8805,0.1195,0,7,92,140,0,424,1099,5186,0.498,0.344,0.1662,1312,0.106,0.469,0.2,0.102,0.134,0.09,29,0.3,0.425,0.04,11.84,7.04,random
paket_hard,3,zayif,mantikli,2000,0.765,0.235,0,31,279,160,0,343,856,4980,0.387,0.248,0.3027,1503,0.164,0.413,0.19,0.131,0.145,0.057,62,0.6,0.356,0.02,11.49,7.03,random
paket_hard,3,zayif,acgozlu_noeb,2000,0.774,0.226,0,19,225,208,0,299,589,5065,0.0,0.0,0.226,2000,0.073,0.851,0.182,0.083,0.106,0.041,34,0.4,0.746,0.03,11.61,7.04,random
paket_hard,3,orta,hic,2000,1.0,0.0,0,0,0,0,2925,4119,5322,9566,0.0,0.0,0.0,2000,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,12.0,7.01,random
paket_hard,3,orta,acgozlu,2000,1.0,0.0,0,0,0,0,1872,3515,5679,12542,0.514,0.0,0.0,2000,0.776,0.482,0.831,0.78,0.794,0.716,390,4.6,0.002,0.81,12.0,7.82,random
paket_hard,3,orta,mantikli,2000,1.0,0.0,0,0,0,0,2072,3825,6013,12903,0.503,0.0,0.0,2000,0.808,0.482,0.805,0.787,0.784,0.704,442,5.2,0.004,0.74,12.0,7.75,random
paket_hard,3,orta,acgozlu_noeb,2000,1.0,0.0,0,0,0,0,1996,3711,5890,12806,0.0,0.0,0.0,2000,0.82,0.931,0.843,0.823,0.815,0.763,431,5.2,0.005,0.86,12.0,7.87,random
paket_hard,3,iyi,hic,2000,1.0,0.0,0,0,0,0,6093,7531,8933,12568,0.0,0.0,0.0,2000,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,12.0,7.01,random
paket_hard,3,iyi,acgozlu,2000,1.0,0.0,0,0,0,0,7898,11129,14450,21074,0.522,0.0,0.0,2000,0.962,0.477,0.973,0.971,0.968,0.946,742,8.9,0.0,1.41,12.0,8.42,random
paket_hard,3,iyi,mantikli,2000,1.0,0.0,0,0,0,0,8587,11647,14834,21594,0.517,0.0,0.0,2000,0.976,0.481,0.97,0.97,0.964,0.944,781,9.4,0.0,1.36,12.0,8.37,random
paket_hard,3,iyi,acgozlu_noeb,2000,1.0,0.0,0,0,0,0,8149,11376,15142,21553,0.0,0.0,0.0,2000,0.988,0.926,0.985,0.989,0.984,0.973,816,9.6,0.0,1.47,12.0,8.48,random
paket_hard,4,zayif,hic,2000,0.3385,0.6615,0,132,924,267,0,0,718,5729,0.0,0.0,0.6615,2000,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,10.22,7.01,random
paket_hard,4,zayif,acgozlu,2000,0.877,0.123,0,15,108,123,0,654,1389,7320,0.499,0.366,0.1602,1267,0.086,0.469,0.159,0.101,0.118,0.098,20,0.2,0.44,0.04,11.79,7.04,random
paket_hard,4,zayif,mantikli,2000,0.715,0.285,0,59,376,135,0,505,1194,6832,0.367,0.244,0.3571,1512,0.103,0.39,0.132,0.092,0.109,0.064,40,0.3,0.329,0.03,11.26,7.04,random
paket_hard,4,zayif,acgozlu_noeb,2000,0.7335,0.2665,0,41,300,192,0,408,905,6959,0.0,0.0,0.2665,2000,0.049,0.835,0.118,0.042,0.073,0.035,21,0.2,0.749,0.01,11.43,7.02,random
paket_hard,4,orta,hic,2000,1.0,0.0,0,0,0,0,2747,4152,5568,12063,0.0,0.0,0.0,2000,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,12.0,7.01,random
paket_hard,4,orta,acgozlu,2000,1.0,0.0,0,0,0,0,1865,3500,6071,14899,0.508,0.0,0.0,2000,0.681,0.488,0.732,0.676,0.699,0.62,393,3.3,0.017,0.63,12.0,7.64,random
paket_hard,4,orta,mantikli,2000,1.0,0.0,0,0,0,0,1916,3709,6564,15249,0.494,0.0,0.0,2000,0.711,0.49,0.695,0.69,0.693,0.572,445,3.8,0.009,0.53,12.0,7.54,random
paket_hard,4,orta,acgozlu_noeb,2000,1.0,0.0,0,0,0,0,1908,3656,6183,15047,0.0,0.0,0.0,2000,0.708,0.926,0.756,0.698,0.725,0.654,438,3.5,0.024,0.64,12.0,7.65,random
paket_hard,4,iyi,hic,2000,1.0,0.0,0,0,0,0,6564,8137,9801,15661,0.0,0.0,0.0,2000,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,12.0,7.01,random
paket_hard,4,iyi,acgozlu,2000,1.0,0.0,0,0,0,0,7232,10908,14841,23598,0.517,0.0,0.0,2000,0.921,0.479,0.926,0.92,0.913,0.891,784,6.9,0.0,1.17,12.0,8.18,random
paket_hard,4,iyi,mantikli,2000,1.0,0.0,0,0,0,0,7728,11389,15348,24139,0.5,0.0,0.0,2000,0.936,0.493,0.926,0.918,0.914,0.88,831,7.5,0.0,1.1,12.0,8.11,random
paket_hard,4,iyi,acgozlu_noeb,2000,1.0,0.0,0,0,0,0,7272,11109,15160,24012,0.0,0.0,0.0,2000,0.955,0.92,0.951,0.955,0.947,0.926,845,7.6,0.0,1.24,12.0,8.24,random
