variant,P,profile,strategy,runs,win,lose,bk_d4,bk_d8,bk_d12,bk_d16,final_p10,final_med,final_p90,income_mean,eb_buy,eb_used,lose_without_eb,n_without_eb,own_tip_jar,own_grace_plus,own_cooler,own_morning_shift,own_ticket_queue,own_forecast,tip_mean,morning_mean,grace_plus_used,forecast_swaps,event_days_mean,pos_cal_mean,offers
paket_noexcl,1,zayif,hic,2000,0.8195,0.1805,0,0,72,289,0,89,340,1266,0.0,0.0,0.1805,2000,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,11.89,7.01,random
paket_noexcl,1,zayif,acgozlu,2000,0.9435,0.0565,0,4,52,57,18,122,317,1452,0.872,0.222,0.0553,1556,0.355,0.874,0.559,0.348,0.421,0.124,58,4.3,0.664,0.09,11.91,7.1,random
paket_noexcl,1,zayif,mantikli,2000,0.8865,0.1135,0,19,101,107,0,112,275,1463,0.75,0.203,0.1211,1594,0.398,0.778,0.482,0.366,0.384,0.116,63,4.4,0.576,0.07,11.79,7.08,random
paket_noexcl,1,zayif,acgozlu_noeb,2000,0.82,0.18,0,25,147,188,0,103,207,1470,0.0,0.0,0.18,2000,0.402,0.878,0.619,0.389,0.495,0.151,65,5.0,0.637,0.12,11.7,7.13,random
paket_noexcl,1,orta,hic,2000,0.9995,0.0005,0,0,0,1,699,1147,1644,2289,0.0,0.0,0.0005,2000,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,12.0,7.01,random
paket_noexcl,1,orta,acgozlu,2000,0.9995,0.0005,0,1,0,0,193,429,839,3003,0.968,0.001,0.0005,1999,0.829,0.949,0.871,0.771,0.846,0.696,157,7.6,0.097,0.81,12.0,7.82,random
paket_noexcl,1,orta,mantikli,2000,0.998,0.002,0,3,1,0,187,433,928,3123,0.935,0.001,0.002,1999,0.826,0.911,0.833,0.792,0.791,0.637,163,8.4,0.1,0.66,11.99,7.67,random
paket_noexcl,1,orta,acgozlu_noeb,2000,0.9985,0.0015,0,2,1,0,219,469,977,3139,0.0,0.0,0.0015,2000,0.848,0.96,0.914,0.829,0.897,0.764,175,8.7,0.064,0.94,11.99,7.95,random
paket_noexcl,1,iyi,hic,2000,1.0,0.0,0,0,0,0,1883,2514,3195,3428,0.0,0.0,0.0,2000,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,12.0,7.01,random
paket_noexcl,1,iyi,acgozlu,2000,1.0,0.0,0,0,0,0,1073,2202,3923,5731,0.99,0.0,0.0,2000,0.981,0.945,0.98,0.967,0.98,0.956,298,11.7,0.005,1.41,12.0,8.42,random
paket_noexcl,1,iyi,mantikli,2000,1.0,0.0,0,0,0,0,1206,2428,4054,5909,0.99,0.0,0.0,2000,0.982,0.934,0.975,0.963,0.963,0.946,302,12.3,0.004,1.31,12.0,8.32,random
paket_noexcl,1,iyi,acgozlu_noeb,2000,1.0,0.0,0,0,0,0,1138,2502,4148,5931,0.0,0.0,0.0,2000,0.989,0.947,0.99,0.981,0.99,0.966,318,12.7,0.004,1.5,12.0,8.51,random
paket_noexcl,2,zayif,hic,2000,0.805,0.195,0,5,184,201,0,217,651,3196,0.0,0.0,0.195,2000,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,11.71,7.01,random
paket_noexcl,2,zayif,acgozlu,2000,0.979,0.021,0,6,23,13,66,273,516,3382,0.869,0.119,0.0227,1761,0.112,0.869,0.286,0.113,0.188,0.108,29,0.7,0.643,0.06,11.95,7.07,random
paket_noexcl,2,zayif,mantikli,2000,0.956,0.044,0,7,47,34,48,262,484,3402,0.769,0.134,0.0479,1732,0.221,0.752,0.287,0.2,0.213,0.104,70,1.5,0.485,0.07,11.91,7.08,random
paket_noexcl,2,zayif,acgozlu_noeb,2000,0.9145,0.0855,0,9,73,89,19,261,446,3401,0.0,0.0,0.0855,2000,0.174,0.882,0.393,0.168,0.22,0.118,56,1.3,0.6,0.08,11.86,7.09,random
paket_noexcl,2,orta,hic,2000,1.0,0.0,0,0,0,0,2555,3345,4168,6290,0.0,0.0,0.0,2000,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,12.0,7.01,random
