variant,P,profile,strategy,runs,win,lose,bk_d4,bk_d8,bk_d12,bk_d16,final_p10,final_med,final_p90,income_mean,eb_buy,eb_used,lose_without_eb,n_without_eb,own_tip_jar,own_grace_plus,own_cooler,own_morning_shift,own_ticket_queue,own_forecast,tip_mean,morning_mean,grace_plus_used,forecast_swaps,event_days_mean,pos_cal_mean,offers
paket_soft,1,zayif,hic,2000,0.832,0.168,0,0,61,275,0,95,368,1292,0.0,0.0,0.168,2000,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,11.91,7.01,random
paket_soft,1,zayif,acgozlu,2000,0.8945,0.1055,0,5,78,128,0,116,264,1480,0.496,0.238,0.0972,1523,0.401,0.485,0.6,0.376,0.469,0.162,64,4.7,0.358,0.11,11.87,7.12,random
paket_soft,1,zayif,mantikli,2000,0.8615,0.1385,0,19,105,153,0,102,253,1494,0.47,0.227,0.1397,1546,0.432,0.466,0.51,0.391,0.424,0.131,68,4.7,0.339,0.1,11.79,7.11,random
paket_soft,1,zayif,acgozlu_noeb,2000,0.8295,0.1705,0,28,144,169,0,104,214,1480,0.0,0.0,0.1705,2000,0.408,0.881,0.622,0.395,0.501,0.146,66,5.0,0.625,0.12,11.7,7.13,random
paket_soft,1,orta,hic,2000,1.0,0.0,0,0,0,0,745,1194,1691,2329,0.0,0.0,0.0,2000,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,12.0,7.01,random
paket_soft,1,orta,acgozlu,2000,0.9995,0.0005,0,1,0,0,224,464,935,3100,0.516,0.002,0.0005,1996,0.849,0.482,0.893,0.794,0.871,0.723,169,8.1,0.035,0.88,12.0,7.89,random
paket_soft,1,orta,mantikli,2000,0.9985,0.0015,0,2,1,0,211,468,1048,3204,0.515,0.003,0.0015,1995,0.854,0.479,0.876,0.803,0.818,0.676,173,8.7,0.038,0.73,11.99,7.74,random
paket_soft,1,orta,acgozlu_noeb,2000,0.999,0.001,0,2,0,0,222,475,957,3163,0.0,0.0,0.001,2000,0.857,0.96,0.924,0.837,0.897,0.765,176,8.8,0.067,0.94,11.99,7.95,random
paket_soft,1,iyi,hic,2000,1.0,0.0,0,0,0,0,1939,2580,3263,3497,0.0,0.0,0.0,2000,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,12.0,7.01,random
paket_soft,1,iyi,acgozlu,2000,1.0,0.0,0,0,0,0,1220,2448,4040,5888,0.504,0.0,0.0,2000,0.974,0.495,0.987,0.972,0.978,0.957,303,12.1,0.001,1.49,12.0,8.5,random
paket_soft,1,iyi,mantikli,2000,1.0,0.0,0,0,0,0,1340,2655,4126,6040,0.509,0.0,0.0,2000,0.978,0.489,0.979,0.968,0.968,0.934,305,12.6,0.005,1.36,12.0,8.37,random
paket_soft,1,iyi,acgozlu_noeb,2000,1.0,0.0,0,0,0,0,1168,2523,4214,5965,0.0,0.0,0.0,2000,0.991,0.945,0.988,0.978,0.988,0.967,318,12.7,0.004,1.51,12.0,8.52,random
paket_soft,2,zayif,hic,2000,0.848,0.152,0,6,169,129,0,266,764,3291,0.0,0.0,0.152,2000,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,11.73,7.01,random
paket_soft,2,zayif,acgozlu,2000,0.9695,0.0305,0,5,30,26,75,292,547,3472,0.492,0.168,0.0306,1665,0.167,0.487,0.357,0.16,0.231,0.128,40,0.9,0.34,0.08,11.94,7.09,random
paket_soft,2,zayif,mantikli,2000,0.957,0.043,0,6,47,33,69,280,536,3492,0.485,0.156,0.045,1688,0.276,0.464,0.339,0.231,0.248,0.123,83,1.7,0.295,0.08,11.91,7.09,random
paket_soft,2,zayif,acgozlu_noeb,2000,0.9245,0.0755,0,12,70,69,30,276,472,3470,0.0,0.0,0.0755,2000,0.18,0.878,0.403,0.185,0.234,0.136,57,1.3,0.574,0.09,11.86,7.1,random
