group,day,ratio_lo,ratio_hi,n_alive,lost_after,p_lose,ci95_lo,ci95_hi
ALL,3,0.25,0.5,1271,153,0.12038,0.10362,0.13942
ALL,3,0.5,0.75,63014,16987,0.26958,0.26612,0.27305
ALL,3,0.75,1.0,334986,105018,0.3135,0.31193,0.31507
ALL,3,1.0,1.25,759343,94391,0.12431,0.12357,0.12505
ALL,3,1.25,1.5,833177,15988,0.01919,0.0189,0.01949
ALL,3,1.5,2.0,600390,11146,0.01856,0.01823,0.01891
ALL,3,2.0,3.0,258587,7264,0.02809,0.02746,0.02874
ALL,3,3.0,inf,29232,0,0.0,0.0,0.00013
ALL,5,0,0.25,219819,60312,0.27437,0.27251,0.27624
ALL,5,0.25,0.5,617484,143704,0.23273,0.23167,0.23378
ALL,5,0.5,0.75,600491,31105,0.0518,0.05124,0.05236
ALL,5,0.75,1.0,535772,7467,0.01394,0.01363,0.01425
ALL,5,1.0,1.25,373402,5383,0.01442,0.01404,0.0148
ALL,5,1.25,1.5,216097,2400,0.01111,0.01067,0.01156
ALL,5,1.5,2.0,180476,574,0.00318,0.00293,0.00345
ALL,5,2.0,3.0,132062,2,2e-05,0.0,6e-05
ALL,5,3.0,inf,4397,0,0.0,0.0,0.00087
ALL,8,0,0.25,1187050,202661,0.17073,0.17005,0.1714
ALL,8,0.25,0.5,662847,11611,0.01752,0.0172,0.01784
ALL,8,0.5,0.75,373955,8221,0.02198,0.02152,0.02246
ALL,8,0.75,1.0,199927,1720,0.0086,0.00821,0.00902
ALL,8,1.0,1.25,124686,19,0.00015,0.0001,0.00024
ALL,8,1.25,1.5,87649,1,1e-05,0.0,6e-05
ALL,8,1.5,2.0,113278,0,0.0,0.0,3e-05
ALL,8,2.0,3.0,101755,0,0.0,0.0,4e-05
ALL,8,3.0,inf,2139,0,0.0,0.0,0.00179
ALL,12,0,0.25,593679,50297,0.08472,0.08402,0.08543
ALL,12,0.25,0.5,438773,5142,0.01172,0.0114,0.01204
ALL,12,0.5,0.75,456424,2878,0.00631,0.00608,0.00654
ALL,12,0.75,1.0,294755,631,0.00214,0.00198,0.00231
ALL,12,1.0,1.25,189046,0,0.0,0.0,2e-05
ALL,12,1.25,1.5,156009,0,0.0,0.0,2e-05
ALL,12,1.5,2.0,232083,0,0.0,0.0,2e-05
ALL,12,2.0,3.0,211891,0,0.0,0.0,2e-05
ALL,12,3.0,inf,115341,0,0.0,0.0,3e-05
P1,3,0.25,0.5,1,1,1.0,0.20654,1.0
P1,3,0.5,0.75,984,335,0.34045,0.31151,0.37062
P1,3,0.75,1.0,23814,3743,0.15718,0.15261,0.16185
P1,3,1.0,1.25,167471,8206,0.049,0.04798,0.05004
