group,day,ratio_lo,ratio_hi,n_alive,lost_after,p_lose,ci95_lo,ci95_hi
ALL,3,0.25,0.5,201,19,0.09453,0.06135,0.14291
ALL,3,0.5,0.75,7902,2131,0.26968,0.26001,0.27957
ALL,3,0.75,1.0,41975,12879,0.30683,0.30243,0.31125
ALL,3,1.0,1.25,94660,11297,0.11934,0.11729,0.12142
ALL,3,1.25,1.5,104324,1920,0.0184,0.01761,0.01924
ALL,3,1.5,2.0,74845,1345,0.01797,0.01704,0.01895
ALL,3,2.0,3.0,32481,849,0.02614,0.02446,0.02793
ALL,3,3.0,inf,3612,0,0.0,0.0,0.00106
ALL,5,0,0.25,26918,7207,0.26774,0.26248,0.27306
ALL,5,0.25,0.5,76593,17498,0.22845,0.22549,0.23144
ALL,5,0.5,0.75,74847,3875,0.05177,0.05021,0.05338
ALL,5,0.75,1.0,66911,887,0.01326,0.01242,0.01415
ALL,5,1.0,1.25,47211,621,0.01315,0.01216,0.01422
ALL,5,1.25,1.5,27569,276,0.01001,0.0089,0.01126
ALL,5,1.5,2.0,22766,76,0.00334,0.00267,0.00418
ALL,5,2.0,3.0,16604,0,0.0,0.0,0.00023
ALL,5,3.0,inf,581,0,0.0,0.0,0.00657
ALL,8,0,0.25,145456,24601,0.16913,0.16721,0.17107
ALL,8,0.25,0.5,83121,1380,0.0166,0.01576,0.01749
ALL,8,0.5,0.75,47104,998,0.02119,0.01993,0.02253
ALL,8,0.75,1.0,25510,215,0.00843,0.00738,0.00963
ALL,8,1.0,1.25,16087,5,0.00031,0.00013,0.00073
ALL,8,1.25,1.5,11259,0,0.0,0.0,0.00034
ALL,8,1.5,2.0,14388,0,0.0,0.0,0.00027
ALL,8,2.0,3.0,13477,0,0.0,0.0,0.00028
ALL,8,3.0,inf,357,0,0.0,0.0,0.01065
ALL,12,0,0.25,74928,6349,0.08473,0.08276,0.08675
ALL,12,0.25,0.5,54177,624,0.01152,0.01065,0.01245
ALL,12,0.5,0.75,55814,409,0.00733,0.00665,0.00807
ALL,12,0.75,1.0,36665,72,0.00196,0.00156,0.00247
ALL,12,1.0,1.25,23483,0,0.0,0.0,0.00016
ALL,12,1.25,1.5,19733,0,0.0,0.0,0.00019
