group,day,ratio_lo,ratio_hi,n_alive,lost_after,p_lose,ci95_lo,ci95_hi
ALL,3,0.25,0.5,39,0,0.0,0.0,0.08967
ALL,3,0.5,0.75,2969,302,0.10172,0.09135,0.11311
ALL,3,0.75,1.0,26976,2340,0.08674,0.08344,0.09016
ALL,3,1.0,1.25,90461,2872,0.03175,0.03063,0.03291
ALL,3,1.25,1.5,111743,485,0.00434,0.00397,0.00474
ALL,3,1.5,2.0,84961,242,0.00285,0.00251,0.00323
ALL,3,2.0,3.0,35848,218,0.00608,0.00533,0.00694
ALL,3,3.0,inf,7003,0,0.0,0.0,0.00055
ALL,5,0,0.25,14889,1180,0.07925,0.07502,0.0837
ALL,5,0.25,0.5,59096,3869,0.06547,0.0635,0.06749
ALL,5,0.5,0.75,75037,1034,0.01378,0.01297,0.01464
ALL,5,0.75,1.0,71291,162,0.00227,0.00195,0.00265
ALL,5,1.0,1.25,51898,120,0.00231,0.00193,0.00276
ALL,5,1.25,1.5,33709,66,0.00196,0.00154,0.00249
ALL,5,1.5,2.0,31019,28,0.0009,0.00062,0.0013
ALL,5,2.0,3.0,19756,0,0.0,0.0,0.00019
ALL,5,3.0,inf,3305,0,0.0,0.0,0.00116
ALL,8,0,0.25,128759,5202,0.0404,0.03934,0.04149
ALL,8,0.25,0.5,89412,240,0.00268,0.00237,0.00305
ALL,8,0.5,0.75,49383,155,0.00314,0.00268,0.00367
ALL,8,0.75,1.0,27608,49,0.00177,0.00134,0.00235
ALL,8,1.0,1.25,17404,2,0.00011,3e-05,0.00042
ALL,8,1.25,1.5,12553,0,0.0,0.0,0.00031
ALL,8,1.5,2.0,14417,0,0.0,0.0,0.00027
ALL,8,2.0,3.0,16876,0,0.0,0.0,0.00023
ALL,8,3.0,inf,2777,0,0.0,0.0,0.00138
ALL,12,0,0.25,68872,618,0.00897,0.0083,0.00971
ALL,12,0.25,0.5,59352,111,0.00187,0.00155,0.00225
ALL,12,0.5,0.75,48626,72,0.00148,0.00118,0.00186
ALL,12,0.75,1.0,37122,31,0.00084,0.00059,0.00119
ALL,12,1.0,1.25,26461,0,0.0,0.0,0.00015
ALL,12,1.25,1.5,20729,0,0.0,0.0,0.00019
ALL,12,1.5,2.0,30945,0,0.0,0.0,0.00012
ALL,12,2.0,3.0,33013,0,0.0,0.0,0.00012
ALL,12,3.0,inf,29253,0,0.0,0.0,0.00013
P1,3,0.5,0.75,103,8,0.07767,0.03988,0.14583
P1,3,0.75,1.0,2435,77,0.03162,0.02538,0.03934
P1,3,1.0,1.25,18340,199,0.01085,0.00945,0.01246
P1,3,1.25,1.5,19825,136,0.00686,0.0058,0.00811
P1,3,1.5,2.0,20518,217,0.01058,0.00927,0.01207
P1,3,2.0,3.0,21782,218,0.01001,0.00877,0.01142
P1,3,3.0,inf,6997,0,0.0,0.0,0.00055
P1,5,0,0.25,5567,141,0.02533,0.02152,0.02979
P1,5,0.25,0.5,11347,217,0.01912,0.01676,0.02181
P1,5,0.5,0.75,13644,153,0.01121,0.00958,0.01312
P1,5,0.75,1.0,12781,132,0.01033,0.00872,0.01223
P1,5,1.0,1.25,12177,118,0.00969,0.0081,0.01159
P1,5,1.25,1.5,9576,66,0.00689,0.00542,0.00876
P1,5,1.5,2.0,10864,28,0.00258,0.00178,0.00372
P1,5,2.0,3.0,10762,0,0.0,0.0,0.00036
P1,5,3.0,inf,3282,0,0.0,0.0,0.00117
P1,8,0,0.25,28927,450,0.01556,0.01419,0.01705
P1,8,0.25,0.5,20193,210,0.0104,0.00909,0.01189
P1,8,0.5,0.75,12377,149,0.01204,0.01026,0.01412
P1,8,0.75,1.0,6632,44,0.00663,0.00495,0.00889
P1,8,1.0,1.25,3964,2,0.0005,0.00014,0.00184
P1,8,1.25,1.5,3020,0,0.0,0.0,0.00127
P1,8,1.5,2.0,4756,0,0.0,0.0,0.00081
P1,8,2.0,3.0,7843,0,0.0,0.0,0.00049
P1,8,3.0,inf,2288,0,0.0,0.0,0.00168
P1,12,0,0.25,17334,391,0.02256,0.02045,0.02488
P1,12,0.25,0.5,15965,104,0.00651,0.00538,0.00789
P1,12,0.5,0.75,14397,71,0.00493,0.00391,0.00622
