group,day,ratio_lo,ratio_hi,n_alive,lost_after,p_lose,ci95_lo,ci95_hi
ALL,3,0.25,0.5,739,374,0.50609,0.4701,0.54201
ALL,3,0.5,0.75,19297,12470,0.64621,0.63944,0.65293
ALL,3,0.75,1.0,57853,31888,0.55119,0.54713,0.55524
ALL,3,1.0,1.25,96725,15159,0.15672,0.15445,0.15903
ALL,3,1.25,1.5,93164,4526,0.04858,0.04722,0.04998
ALL,3,1.5,2.0,63160,3621,0.05733,0.05554,0.05917
ALL,3,2.0,3.0,27769,1712,0.06165,0.05888,0.06454
ALL,3,3.0,inf,1293,0,0.0,0.0,0.00296
ALL,5,0,0.25,45296,23766,0.52468,0.52008,0.52928
ALL,5,0.25,0.5,91916,35334,0.38442,0.38128,0.38757
ALL,5,0.5,0.75,73067,6292,0.08611,0.0841,0.08817
ALL,5,0.75,1.0,60083,2105,0.03503,0.03359,0.03654
ALL,5,1.0,1.25,38979,1574,0.04038,0.03847,0.04238
ALL,5,1.25,1.5,21338,582,0.02728,0.02517,0.02955
ALL,5,1.5,2.0,20832,97,0.00466,0.00382,0.00568
ALL,5,2.0,3.0,8407,0,0.0,0.0,0.00046
ALL,5,3.0,inf,82,0,0.0,0.0,0.04475
ALL,8,0,0.25,154593,42253,0.27332,0.2711,0.27554
ALL,8,0.25,0.5,80427,6169,0.0767,0.07488,0.07856
ALL,8,0.5,0.75,48069,6885,0.14323,0.14013,0.14639
ALL,8,0.75,1.0,21771,1072,0.04924,0.04644,0.05219
ALL,8,1.0,1.25,13440,3,0.00022,8e-05,0.00066
ALL,8,1.25,1.5,9855,0,0.0,0.0,0.00039
ALL,8,1.5,2.0,13367,0,0.0,0.0,0.00029
ALL,8,2.0,3.0,5087,0,0.0,0.0,0.00075
ALL,8,3.0,inf,23,0,0.0,0.0,0.14312
ALL,12,0,0.25,73580,16500,0.22425,0.22125,0.22727
ALL,12,0.25,0.5,66786,2869,0.04296,0.04145,0.04452
ALL,12,0.5,0.75,55534,1225,0.02206,0.02087,0.02331
ALL,12,0.75,1.0,31957,99,0.0031,0.00255,0.00377
ALL,12,1.0,1.25,21756,0,0.0,0.0,0.00018
ALL,12,1.25,1.5,16192,0,0.0,0.0,0.00024
ALL,12,1.5,2.0,21125,0,0.0,0.0,0.00018
ALL,12,2.0,3.0,20264,0,0.0,0.0,0.00019
ALL,12,3.0,inf,3749,0,0.0,0.0,0.00102
P1,3,0.5,0.75,162,92,0.5679,0.49092,0.64174
P1,3,0.75,1.0,3285,996,0.3032,0.28772,0.31914
P1,3,1.0,1.25,22323,2562,0.11477,0.11065,0.11902
P1,3,1.25,1.5,19838,1307,0.06588,0.06251,0.06942
P1,3,1.5,2.0,20815,3435,0.16503,0.16004,0.17013
P1,3,2.0,3.0,22284,1712,0.07683,0.0734,0.0804
P1,3,3.0,inf,1293,0,0.0,0.0,0.00296
P1,5,0,0.25,10692,2206,0.20632,0.19876,0.2141
P1,5,0.25,0.5,16859,2419,0.14348,0.13827,0.14886
P1,5,0.5,0.75,15421,1551,0.10058,0.09593,0.10542
P1,5,0.75,1.0,12689,1685,0.13279,0.127,0.13881
P1,5,1.0,1.25,10427,1564,0.15,0.14327,0.15698
P1,5,1.25,1.5,7412,582,0.07852,0.07261,0.08487
P1,5,1.5,2.0,9897,97,0.0098,0.00804,0.01194
P1,5,2.0,3.0,6521,0,0.0,0.0,0.00059
P1,5,3.0,inf,82,0,0.0,0.0,0.04475
P1,8,0,0.25,40337,6635,0.16449,0.1609,0.16814
P1,8,0.25,0.5,19180,2069,0.10787,0.10356,0.11234
P1,8,0.5,0.75,10691,1218,0.11393,0.10804,0.12009
P1,8,0.75,1.0,5294,179,0.03381,0.02927,0.03903
P1,8,1.0,1.25,3613,3,0.00083,0.00028,0.00244
P1,8,1.25,1.5,3086,0,0.0,0.0,0.00124
P1,8,1.5,2.0,5120,0,0.0,0.0,0.00075
P1,8,2.0,3.0,2656,0,0.0,0.0,0.00144
P1,8,3.0,inf,23,0,0.0,0.0,0.14312
P1,12,0,0.25,24981,5344,0.21392,0.20888,0.21905
P1,12,0.25,0.5,19720,1693,0.08585,0.08202,0.08984
P1,12,0.5,0.75,17079,869,0.05088,0.04769,0.05428
P1,12,0.75,1.0,8879,93,0.01047,0.00856,0.01281
P1,12,1.0,1.25,4559,0,0.0,0.0,0.00084
P1,12,1.25,1.5,2672,0,0.0,0.0,0.00144
P1,12,1.5,2.0,3553,0,0.0,0.0,0.00108
P1,12,2.0,3.0,5543,0,0.0,0.0,0.00069
P1,12,3.0,inf,909,0,0.0,0.0,0.00421
P2,3,0.25,0.5,12,9,0.75,0.46769,0.91106
P2,3,0.5,0.75,1481,886,0.59824,0.57305,0.62293
P2,3,0.75,1.0,11241,3739,0.33262,0.32397,0.34139
P2,3,1.0,1.25,26273,5467,0.20808,0.20322,0.21304
P2,3,1.25,1.5,25208,3128,0.12409,0.12007,0.12821
P2,3,1.5,2.0,20456,186,0.00909,0.00788,0.01049
P2,3,2.0,3.0,5329,0,0.0,0.0,0.00072
P2,5,0,0.25,9775,3199,0.32726,0.31803,0.33663
P2,5,0.25,0.5,21086,6784,0.32173,0.31546,0.32807
P2,5,0.5,0.75,18351,3014,0.16424,0.15895,0.16967
P2,5,0.75,1.0,15051,408,0.02711,0.02463,0.02983
P2,5,1.0,1.25,11217,10,0.00089,0.00048,0.00164
P2,5,1.25,1.5,5215,0,0.0,0.0,0.00074
P2,5,1.5,2.0,7423,0,0.0,0.0,0.00052
P2,5,2.0,3.0,1882,0,0.0,0.0,0.00204
P2,8,0,0.25,37087,9571,0.25807,0.25364,0.26255
P2,8,0.25,0.5,18403,1270,0.06901,0.06544,0.07276
P2,8,0.5,0.75,13561,1853,0.13664,0.13096,0.14253
P2,8,0.75,1.0,7491,466,0.06221,0.05696,0.06791
P2,8,1.0,1.25,3028,0,0.0,0.0,0.00127
P2,8,1.25,1.5,2021,0,0.0,0.0,0.0019
P2,8,1.5,2.0,5756,0,0.0,0.0,0.00067
P2,8,2.0,3.0,2398,0,0.0,0.0,0.0016
P2,12,0,0.25,14845,5218,0.3515,0.34386,0.35922
P2,12,0.25,0.5,15134,960,0.06343,0.05966,0.06743
P2,12,0.5,0.75,15846,334,0.02108,0.01895,0.02343
P2,12,0.75,1.0,8661,6,0.00069,0.00032,0.00151
P2,12,1.0,1.25,6977,0,0.0,0.0,0.00055
P2,12,1.25,1.5,4799,0,0.0,0.0,0.0008
P2,12,1.5,2.0,5046,0,0.0,0.0,0.00076
P2,12,2.0,3.0,9016,0,0.0,0.0,0.00043
P2,12,3.0,inf,2779,0,0.0,0.0,0.00138
P3,3,0.25,0.5,178,108,0.60674,0.53345,0.67552
P3,3,0.5,0.75,5686,3612,0.63524,0.62265,0.64766
P3,3,0.75,1.0,20509,13524,0.65942,0.6529,0.66587
P3,3,1.0,1.25,23710,5681,0.2396,0.23421,0.24508
P3,3,1.25,1.5,25653,73,0.00285,0.00226,0.00358
P3,3,1.5,2.0,14108,0,0.0,0.0,0.00027
P3,3,2.0,3.0,156,0,0.0,0.0,0.02403
P3,5,0,0.25,11490,8495,0.73934,0.73123,0.74728
P3,5,0.25,0.5,24554,13383,0.54504,0.53881,0.55126
P3,5,0.5,0.75,18713,1110,0.05932,0.05602,0.06279
P3,5,0.75,1.0,16963,10,0.00059,0.00032,0.00108
