group,day,ratio_lo,ratio_hi,n_alive,lost_after,p_lose,ci95_lo,ci95_hi
ALL,3,0,0.25,6,1,0.16667,0.03005,0.56351
ALL,3,0.25,0.5,318,59,0.18553,0.14665,0.23192
ALL,3,0.5,0.75,12442,3530,0.28372,0.27586,0.2917
ALL,3,0.75,1.0,75419,22377,0.2967,0.29345,0.29997
ALL,3,1.0,1.25,201825,24650,0.12214,0.12071,0.12357
ALL,3,1.25,1.5,206581,4880,0.02362,0.02298,0.02429
ALL,3,1.5,2.0,146606,2647,0.01806,0.01739,0.01875
ALL,3,2.0,3.0,67208,1718,0.02556,0.0244,0.02678
ALL,3,3.0,inf,9595,0,0.0,0.0,0.0004
ALL,5,0,0.25,56469,14673,0.25984,0.25624,0.26348
ALL,5,0.25,0.5,152327,33353,0.21896,0.21689,0.22104
ALL,5,0.5,0.75,147353,8021,0.05443,0.05329,0.0556
ALL,5,0.75,1.0,129621,1931,0.0149,0.01425,0.01557
ALL,5,1.0,1.25,91885,1184,0.01289,0.01218,0.01364
ALL,5,1.25,1.5,56776,541,0.00953,0.00876,0.01036
ALL,5,1.5,2.0,49030,158,0.00322,0.00276,0.00376
ALL,5,2.0,3.0,34962,1,3e-05,1e-05,0.00016
ALL,5,3.0,inf,1577,0,0.0,0.0,0.00243
ALL,8,0,0.25,295685,48696,0.16469,0.16336,0.16603
ALL,8,0.25,0.5,164390,2756,0.01677,0.01616,0.0174
ALL,8,0.5,0.75,94810,2073,0.02186,0.02095,0.02282
ALL,8,0.75,1.0,49192,403,0.00819,0.00743,0.00903
ALL,8,1.0,1.25,30954,4,0.00013,5e-05,0.00033
ALL,8,1.25,1.5,22339,1,4e-05,1e-05,0.00025
ALL,8,1.5,2.0,29210,0,0.0,0.0,0.00013
ALL,8,2.0,3.0,26710,0,0.0,0.0,0.00014
ALL,8,3.0,inf,781,0,0.0,0.0,0.00489
ALL,12,0,0.25,147928,12848,0.08685,0.08543,0.0883
ALL,12,0.25,0.5,106245,1303,0.01226,0.01162,0.01294
ALL,12,0.5,0.75,111258,750,0.00674,0.00628,0.00724
ALL,12,0.75,1.0,72225,192,0.00266,0.00231,0.00306
ALL,12,1.0,1.25,46082,0,0.0,0.0,8e-05
ALL,12,1.25,1.5,38773,0,0.0,0.0,0.0001
ALL,12,1.5,2.0,60464,0,0.0,0.0,6e-05
ALL,12,2.0,3.0,58294,0,0.0,0.0,7e-05
ALL,12,3.0,inf,33962,0,0.0,0.0,0.00011
P1,3,0,0.25,4,1,0.25,0.04559,0.69936
P1,3,0.25,0.5,21,9,0.42857,0.2447,0.63454
P1,3,0.5,0.75,413,131,0.31719,0.27417,0.36358
P1,3,0.75,1.0,6508,961,0.14766,0.13925,0.15649
P1,3,1.0,1.25,44311,2154,0.04861,0.04665,0.05065
P1,3,1.25,1.5,38333,934,0.02437,0.02287,0.02596
P1,3,1.5,2.0,37526,2176,0.05799,0.05567,0.0604
P1,3,2.0,3.0,43297,1718,0.03968,0.03788,0.04156
P1,3,3.0,inf,9587,0,0.0,0.0,0.0004
P1,5,0,0.25,17102,1872,0.10946,0.10487,0.11423
P1,5,0.25,0.5,29111,1924,0.06609,0.06329,0.069
P1,5,0.5,0.75,29480,1184,0.04016,0.03798,0.04246
P1,5,0.75,1.0,25640,1263,0.04926,0.04668,0.05198
P1,5,1.0,1.25,21929,1142,0.05208,0.04921,0.0551
P1,5,1.25,1.5,15246,540,0.03542,0.0326,0.03847
P1,5,1.5,2.0,17922,158,0.00882,0.00755,0.01029
P1,5,2.0,3.0,21996,1,5e-05,1e-05,0.00026
P1,5,3.0,inf,1574,0,0.0,0.0,0.00243
P1,8,0,0.25,71493,4820,0.06742,0.0656,0.06928
P1,8,0.25,0.5,38240,1813,0.04741,0.04533,0.04959
P1,8,0.5,0.75,22474,1195,0.05317,0.05031,0.05618
P1,8,0.75,1.0,10302,251,0.02436,0.02156,0.02752
P1,8,1.0,1.25,6196,4,0.00065,0.00025,0.00166
P1,8,1.25,1.5,5905,1,0.00017,3e-05,0.00096
P1,8,1.5,2.0,11970,0,0.0,0.0,0.00032
P1,8,2.0,3.0,12788,0,0.0,0.0,0.0003
