group,day,ratio_lo,ratio_hi,n_alive,lost_after,p_lose,ci95_lo,ci95_hi
ALL,3,0,0.25,3,0,0.0,0.0,0.56151
ALL,3,0.25,0.5,157,22,0.14013,0.09439,0.20305
ALL,3,0.5,0.75,6162,1719,0.27897,0.26791,0.2903
ALL,3,0.75,1.0,37712,11433,0.30317,0.29855,0.30782
ALL,3,1.0,1.25,100805,12749,0.12647,0.12443,0.12854
ALL,3,1.25,1.5,103617,2658,0.02565,0.02471,0.02663
ALL,3,1.5,2.0,73076,1348,0.01845,0.0175,0.01945
ALL,3,2.0,3.0,33751,877,0.02598,0.02434,0.02774
ALL,3,3.0,inf,4717,0,0.0,0.0,0.00081
ALL,5,0,0.25,28777,7565,0.26288,0.25783,0.268
ALL,5,0.25,0.5,76193,17107,0.22452,0.22157,0.2275
ALL,5,0.5,0.75,73989,4225,0.0571,0.05545,0.0588
ALL,5,0.75,1.0,64591,944,0.01462,0.01372,0.01557
ALL,5,1.0,1.25,45510,587,0.0129,0.0119,0.01398
ALL,5,1.25,1.5,28395,295,0.01039,0.00927,0.01164
ALL,5,1.5,2.0,24385,83,0.0034,0.00275,0.00422
ALL,5,2.0,3.0,17381,0,0.0,0.0,0.00022
ALL,5,3.0,inf,779,0,0.0,0.0,0.00491
ALL,8,0,0.25,148106,25100,0.16947,0.16757,0.17139
ALL,8,0.25,0.5,82632,1543,0.01867,0.01777,0.01962
ALL,8,0.5,0.75,47238,997,0.02111,0.01985,0.02244
ALL,8,0.75,1.0,24546,213,0.00868,0.00759,0.00992
ALL,8,1.0,1.25,15394,0,0.0,0.0,0.00025
ALL,8,1.25,1.5,11142,0,0.0,0.0,0.00034
ALL,8,1.5,2.0,14412,0,0.0,0.0,0.00027
ALL,8,2.0,3.0,13208,0,0.0,0.0,0.00029
ALL,8,3.0,inf,369,0,0.0,0.0,0.0103
ALL,12,0,0.25,73529,6654,0.09049,0.08844,0.09259
ALL,12,0.25,0.5,53246,623,0.0117,0.01082,0.01265
ALL,12,0.5,0.75,56099,399,0.00711,0.00645,0.00784
ALL,12,0.75,1.0,36152,101,0.00279,0.0023,0.00339
ALL,12,1.0,1.25,23226,0,0.0,0.0,0.00017
ALL,12,1.25,1.5,19704,0,0.0,0.0,0.00019
ALL,12,1.5,2.0,30129,0,0.0,0.0,0.00013
ALL,12,2.0,3.0,28732,0,0.0,0.0,0.00013
ALL,12,3.0,inf,16154,0,0.0,0.0,0.00024
P1,3,0,0.25,3,0,0.0,0.0,0.56151
P1,3,0.25,0.5,9,4,0.44444,0.18878,0.73335
P1,3,0.5,0.75,231,74,0.32035,0.26353,0.38304
P1,3,0.75,1.0,3212,504,0.15691,0.14474,0.1699
P1,3,1.0,1.25,22260,1067,0.04793,0.0452,0.05082
P1,3,1.25,1.5,19039,515,0.02705,0.02484,0.02945
P1,3,1.5,2.0,18681,1101,0.05894,0.05565,0.06241
P1,3,2.0,3.0,21853,877,0.04013,0.03761,0.04282
P1,3,3.0,inf,4712,0,0.0,0.0,0.00081
P1,5,0,0.25,8780,963,0.10968,0.10331,0.11639
P1,5,0.25,0.5,14536,1034,0.07113,0.06707,0.07543
P1,5,0.5,0.75,14760,587,0.03977,0.03673,0.04304
P1,5,0.75,1.0,12593,622,0.04939,0.04574,0.05332
P1,5,1.0,1.25,10903,558,0.05118,0.0472,0.05548
P1,5,1.25,1.5,7672,295,0.03845,0.03437,0.04299
P1,5,1.5,2.0,8989,83,0.00923,0.00746,0.01143
P1,5,2.0,3.0,10990,0,0.0,0.0,0.00035
P1,5,3.0,inf,777,0,0.0,0.0,0.00492
P1,8,0,0.25,35711,2423,0.06785,0.06529,0.07051
P1,8,0.25,0.5,19225,999,0.05196,0.04891,0.05519
P1,8,0.5,0.75,11247,577,0.0513,0.04738,0.05554
P1,8,0.75,1.0,5086,142,0.02792,0.02374,0.03282
P1,8,1.0,1.25,3109,0,0.0,0.0,0.00123
P1,8,1.25,1.5,2969,0,0.0,0.0,0.00129
P1,8,1.5,2.0,6015,0,0.0,0.0,0.00064
P1,8,2.0,3.0,6325,0,0.0,0.0,0.00061
P1,8,3.0,inf,312,0,0.0,0.0,0.01216
P1,12,0,0.25,21454,2127,0.09914,0.09521,0.10321
P1,12,0.25,0.5,17373,532,0.03062,0.02816,0.03329
P1,12,0.5,0.75,15997,353,0.02207,0.0199,0.02446
P1,12,0.75,1.0,9379,88,0.00938,0.00762,0.01154
P1,12,1.0,1.25,5310,0,0.0,0.0,0.00072
P1,12,1.25,1.5,3616,0,0.0,0.0,0.00106
P1,12,1.5,2.0,4774,0,0.0,0.0,0.0008
P1,12,2.0,3.0,6512,0,0.0,0.0,0.00059
P1,12,3.0,inf,4543,0,0.0,0.0,0.00084
P2,3,0.25,0.5,24,1,0.04167,0.00739,0.20242
P2,3,0.5,0.75,601,67,0.11148,0.08875,0.13915
P2,3,0.75,1.0,5910,334,0.05651,0.05091,0.06269
P2,3,1.0,1.25,22620,1006,0.04447,0.04186,0.04724
P2,3,1.25,1.5,25711,910,0.03539,0.0332,0.03772
P2,3,1.5,2.0,24402,232,0.00951,0.00836,0.0108
P2,3,2.0,3.0,10727,0,0.0,0.0,0.00036
P2,3,3.0,inf,5,0,0.0,0.0,0.43449
P2,5,0,0.25,4968,312,0.0628,0.05639,0.06989
P2,5,0.25,0.5,16233,1056,0.06505,0.06136,0.06895
P2,5,0.5,0.75,17499,902,0.05155,0.04837,0.05492
P2,5,0.75,1.0,13902,252,0.01813,0.01604,0.02048
P2,5,1.0,1.25,11885,28,0.00236,0.00163,0.0034
P2,5,1.25,1.5,10156,0,0.0,0.0,0.00038
P2,5,1.5,2.0,9092,0,0.0,0.0,0.00042
P2,5,2.0,3.0,6263,0,0.0,0.0,0.00061
P2,5,3.0,inf,2,0,0.0,0.0,0.65763
P2,8,0,0.25,31029,2070,0.06671,0.06399,0.06954
P2,8,0.25,0.5,20210,244,0.01207,0.01066,0.01367
P2,8,0.5,0.75,12774,147,0.01151,0.0098,0.01351
P2,8,0.75,1.0,7388,38,0.00514,0.00375,0.00705
P2,8,1.0,1.25,4606,0,0.0,0.0,0.00083
