variant,P,profile,strategy,events,day,alive,lostAfter,corr_money_final,auc_ratio_loss,ratio_med
base,1,iyi,acgozlu,on,3,40000,0,0.0762,nan,1.528
base,1,iyi,acgozlu,on,5,40000,0,0.1464,nan,1.0
base,1,iyi,acgozlu,on,8,40000,0,0.1763,nan,0.421
base,1,iyi,acgozlu,on,12,40000,0,0.3549,nan,0.795
base,1,iyi,acgozlu,off,3,40000,0,0.0736,nan,1.528
base,1,iyi,acgozlu,off,5,40000,0,0.1332,nan,0.96
base,1,iyi,acgozlu,off,8,40000,0,0.1624,nan,0.407
base,1,iyi,acgozlu,off,12,40000,0,0.3362,nan,0.776
base,1,iyi,hic,on,3,40000,0,0.1037,nan,2.803
base,1,iyi,hic,on,5,40000,0,0.2132,nan,2.391
base,1,iyi,hic,on,8,40000,0,0.38,nan,2.134
base,1,iyi,hic,on,12,40000,0,0.7108,nan,2.918
base,1,iyi,hic,off,3,40000,0,0.1267,nan,2.81
base,1,iyi,hic,off,5,40000,0,0.2171,nan,2.359
base,1,iyi,hic,off,8,40000,0,0.3643,nan,2.053
base,1,iyi,hic,off,12,40000,0,0.7097,nan,2.858
base,1,iyi,mantikli,on,3,40000,0,0.0869,nan,1.424
base,1,iyi,mantikli,on,5,40000,0,0.1973,nan,0.948
base,1,iyi,mantikli,on,8,40000,0,0.1975,nan,0.354
base,1,iyi,mantikli,on,12,40000,0,0.3936,nan,0.784
base,1,iyi,mantikli,off,3,40000,0,0.0838,nan,1.424
base,1,iyi,mantikli,off,5,40000,0,0.1826,nan,0.899
base,1,iyi,mantikli,off,8,40000,0,0.1848,nan,0.342
base,1,iyi,mantikli,off,12,40000,0,0.3742,nan,0.768
base,1,orta,acgozlu,on,3,40000,2,0.1,0.285,1.397
base,1,orta,acgozlu,on,5,40000,2,0.1063,0.9032,0.713
base,1,orta,acgozlu,on,8,40000,2,0.0822,0.4117,0.275
base,1,orta,acgozlu,on,12,40000,2,0.1877,0.6058,0.397
base,1,orta,acgozlu,off,3,40000,0,0.1016,nan,1.397
base,1,orta,acgozlu,off,5,40000,0,0.0997,nan,0.684
base,1,orta,acgozlu,off,8,40000,0,0.0877,nan,0.258
base,1,orta,acgozlu,off,12,40000,0,0.1848,nan,0.391
base,1,orta,hic,on,3,40000,2,0.2152,0.6672,2.431
base,1,orta,hic,on,5,40000,2,0.3507,0.9315,1.799
base,1,orta,hic,on,8,40000,2,0.517,0.9927,1.354
base,1,orta,hic,on,12,39999,1,0.7674,0.9967,1.485
base,1,orta,hic,off,3,40000,5,0.2143,0.9728,2.431
base,1,orta,hic,off,5,40000,5,0.3459,0.9834,1.767
base,1,orta,hic,off,8,40000,5,0.5059,0.9981,1.287
base,1,orta,hic,off,12,39996,1,0.7656,0.9941,1.431
base,1,orta,mantikli,on,3,40000,8,0.106,0.4153,1.321
base,1,orta,mantikli,on,5,40000,8,0.1522,0.7509,0.684
base,1,orta,mantikli,on,8,40000,8,0.0964,0.4099,0.246
base,1,orta,mantikli,on,12,39999,7,0.2247,0.5729,0.379
base,1,orta,mantikli,off,3,40000,11,0.1214,0.625,1.321
base,1,orta,mantikli,off,5,40000,11,0.1379,0.7292,0.649
base,1,orta,mantikli,off,8,40000,11,0.0809,0.289,0.232
base,1,orta,mantikli,off,12,39994,5,0.2236,0.2839,0.371
base,1,zayif,acgozlu,on,3,40000,3745,0.0624,0.6147,1.217
base,1,zayif,acgozlu,on,5,40000,3745,0.0746,0.6284,0.374
base,1,zayif,acgozlu,on,8,40000,3745,-0.1587,0.3693,0.124
base,1,zayif,acgozlu,on,12,39184,2929,-0.1822,0.4726,0.251
base,1,zayif,acgozlu,off,3,40000,4047,0.0684,0.6175,1.207
base,1,zayif,acgozlu,off,5,40000,4047,0.077,0.6127,0.353
base,1,zayif,acgozlu,off,8,40000,4047,-0.1656,0.363,0.117
base,1,zayif,acgozlu,off,12,39052,3099,-0.1913,0.4914,0.295
base,1,zayif,hic,on,3,40000,8287,0.1992,0.654,2.052
base,1,zayif,hic,on,5,40000,8287,0.314,0.7353,1.193
base,1,zayif,hic,on,8,40000,8287,0.4577,0.8124,0.502
base,1,zayif,hic,on,12,38039,6326,0.6558,0.7654,0.178
base,1,zayif,hic,off,3,40000,9207,0.1913,0.6477,2.052
base,1,zayif,hic,off,5,40000,9207,0.3079,0.7345,1.164
base,1,zayif,hic,off,8,40000,9207,0.4437,0.8048,0.447
base,1,zayif,hic,off,12,37535,6742,0.6396,0.7523,0.164
base,1,zayif,mantikli,on,3,40000,4305,0.0555,0.6102,1.172
base,1,zayif,mantikli,on,5,40000,4305,0.0766,0.6036,0.345
base,1,zayif,mantikli,on,8,40000,4305,-0.1669,0.3412,0.124
base,1,zayif,mantikli,on,12,38956,3261,-0.2313,0.4674,0.246
base,1,zayif,mantikli,off,3,40000,4550,0.0694,0.621,1.172
base,1,zayif,mantikli,off,5,40000,4550,0.0679,0.5892,0.316
base,1,zayif,mantikli,off,8,40000,4550,-0.1783,0.331,0.117
base,1,zayif,mantikli,off,12,38794,3344,-0.2386,0.4947,0.277
base,2,iyi,acgozlu,on,3,40000,0,0.0355,nan,1.594
base,2,iyi,acgozlu,on,5,40000,0,0.2893,nan,1.142
base,2,iyi,acgozlu,on,8,40000,0,0.2652,nan,0.703
base,2,iyi,acgozlu,on,12,40000,0,0.612,nan,1.768
base,2,iyi,acgozlu,off,3,40000,0,0.0326,nan,1.594
base,2,iyi,acgozlu,off,5,40000,0,0.2779,nan,1.105
base,2,iyi,acgozlu,off,8,40000,0,0.2905,nan,0.67
base,2,iyi,acgozlu,off,12,40000,0,0.5743,nan,1.676
base,2,iyi,hic,on,3,40000,0,0.0947,nan,2.186
base,2,iyi,hic,on,5,40000,0,0.1875,nan,2.054
base,2,iyi,hic,on,8,40000,0,0.3787,nan,2.156
base,2,iyi,hic,on,12,40000,0,0.6969,nan,3.318
base,2,iyi,hic,off,3,40000,0,0.0999,nan,2.186
base,2,iyi,hic,off,5,40000,0,0.1811,nan,2.022
base,2,iyi,hic,off,8,40000,0,0.3816,nan,2.084
base,2,iyi,hic,off,12,40000,0,0.7027,nan,3.279
base,2,iyi,mantikli,on,3,40000,0,-0.0162,nan,1.432
base,2,iyi,mantikli,on,5,40000,0,0.3335,nan,1.181
base,2,iyi,mantikli,on,8,40000,0,0.1773,nan,0.612
base,2,iyi,mantikli,on,12,40000,0,0.6243,nan,1.942
base,2,iyi,mantikli,off,3,40000,0,-0.007,nan,1.432
base,2,iyi,mantikli,off,5,40000,0,0.3276,nan,1.142
base,2,iyi,mantikli,off,8,40000,0,0.1981,nan,0.594
base,2,iyi,mantikli,off,12,40000,0,0.6005,nan,1.832
base,2,orta,acgozlu,on,3,40000,0,0.1946,nan,1.354
base,2,orta,acgozlu,on,5,40000,0,0.1634,nan,0.724
base,2,orta,acgozlu,on,8,40000,0,0.1812,nan,0.337
base,2,orta,acgozlu,on,12,40000,0,0.3578,nan,0.61
base,2,orta,acgozlu,off,3,40000,0,0.1768,nan,1.355
base,2,orta,acgozlu,off,5,40000,0,0.1321,nan,0.692
base,2,orta,acgozlu,off,8,40000,0,0.1682,nan,0.324
base,2,orta,acgozlu,off,12,40000,0,0.3351,nan,0.607
base,2,orta,hic,on,3,40000,0,0.192,nan,1.751
base,2,orta,hic,on,5,40000,0,0.3132,nan,1.347
base,2,orta,hic,on,8,40000,0,0.4848,nan,1.144
base,2,orta,hic,on,12,40000,0,0.7638,nan,1.622
base,2,orta,hic,off,3,40000,0,0.1955,nan,1.754
base,2,orta,hic,off,5,40000,0,0.3092,nan,1.319
base,2,orta,hic,off,8,40000,0,0.4821,nan,1.083
base,2,orta,hic,off,12,40000,0,0.7653,nan,1.599
base,2,orta,mantikli,on,3,40000,0,0.1491,nan,1.32
base,2,orta,mantikli,on,5,40000,0,0.1907,nan,0.701
base,2,orta,mantikli,on,8,40000,0,0.1856,nan,0.314
base,2,orta,mantikli,on,12,40000,0,0.3635,nan,0.606
base,2,orta,mantikli,off,3,40000,0,0.1434,nan,1.32
base,2,orta,mantikli,off,5,40000,0,0.1944,nan,0.668
base,2,orta,mantikli,off,8,40000,0,0.1707,nan,0.299
base,2,orta,mantikli,off,12,40000,0,0.3587,nan,0.598
base,2,zayif,acgozlu,on,3,40000,506,0.0079,0.7562,1.055
base,2,zayif,acgozlu,on,5,40000,506,-0.0264,0.651,0.395
base,2,zayif,acgozlu,on,8,40000,506,-0.1124,0.1271,0.137
base,2,zayif,acgozlu,on,12,39868,374,0.0181,0.5626,0.164
base,2,zayif,acgozlu,off,3,40000,494,0.0231,0.7541,1.06
base,2,zayif,acgozlu,off,5,40000,494,-0.0312,0.6407,0.369
base,2,zayif,acgozlu,off,8,40000,494,-0.1032,0.1105,0.132
base,2,zayif,acgozlu,off,12,39849,343,0.0331,0.5893,0.175
base,2,zayif,hic,on,3,40000,8216,0.194,0.6589,1.305
base,2,zayif,hic,on,5,40000,8216,0.31,0.7498,0.663
base,2,zayif,hic,on,8,39828,8044,0.4178,0.7391,0.202
base,2,zayif,hic,on,12,34966,3182,0.5958,0.6814,0.155
base,2,zayif,hic,off,3,40000,8534,0.1944,0.6627,1.305
base,2,zayif,hic,off,5,40000,8534,0.3095,0.7512,0.641
base,2,zayif,hic,off,8,39782,8316,0.3919,0.7008,0.163
base,2,zayif,hic,off,12,34372,2906,0.5818,0.6785,0.153
base,2,zayif,mantikli,on,3,40000,619,0.0119,0.7368,1.052
base,2,zayif,mantikli,on,5,40000,619,-0.0061,0.6423,0.387
base,2,zayif,mantikli,on,8,40000,619,-0.1223,0.1546,0.136
base,2,zayif,mantikli,on,12,39851,470,-0.078,0.5354,0.162
base,2,zayif,mantikli,off,3,40000,596,0.0153,0.7185,1.052
base,2,zayif,mantikli,off,5,40000,596,-0.0134,0.6214,0.362
base,2,zayif,mantikli,off,8,40000,596,-0.1131,0.148,0.132
base,2,zayif,mantikli,off,12,39854,450,-0.0651,0.5501,0.168
base,3,iyi,acgozlu,on,3,40000,0,0.1576,nan,1.441
base,3,iyi,acgozlu,on,5,40000,0,0.2811,nan,0.932
base,3,iyi,acgozlu,on,8,40000,0,0.4084,nan,0.503
base,3,iyi,acgozlu,on,12,40000,0,0.5717,nan,1.211
base,3,iyi,acgozlu,off,3,40000,0,0.1797,nan,1.44
base,3,iyi,acgozlu,off,5,40000,0,0.2716,nan,0.898
base,3,iyi,acgozlu,off,8,40000,0,0.406,nan,0.465
base,3,iyi,acgozlu,off,12,40000,0,0.541,nan,1.132
base,3,iyi,hic,on,3,40000,0,0.0603,nan,1.738
base,3,iyi,hic,on,5,40000,0,0.1652,nan,1.526
base,3,iyi,hic,on,8,40000,0,0.3932,nan,1.445
base,3,iyi,hic,on,12,40000,0,0.7066,nan,2.184
base,3,iyi,hic,off,3,40000,0,0.0729,nan,1.738
base,3,iyi,hic,off,5,40000,0,0.1668,nan,1.496
base,3,iyi,hic,off,8,40000,0,0.3966,nan,1.381
base,3,iyi,hic,off,12,40000,0,0.6988,nan,2.132
base,3,iyi,mantikli,on,3,40000,0,-0.0081,nan,1.444
base,3,iyi,mantikli,on,5,40000,0,0.3651,nan,1.048
base,3,iyi,mantikli,on,8,40000,0,0.2228,nan,0.463
base,3,iyi,mantikli,on,12,40000,0,0.6215,nan,1.417
base,3,iyi,mantikli,off,3,40000,0,-0.008,nan,1.446
base,3,iyi,mantikli,off,5,40000,0,0.3523,nan,1.018
base,3,iyi,mantikli,off,8,40000,0,0.2586,nan,0.448
base,3,iyi,mantikli,off,12,40000,0,0.5864,nan,1.316
base,3,orta,acgozlu,on,3,40000,0,0.1425,nan,1.241
base,3,orta,acgozlu,on,5,40000,0,0.2015,nan,0.659
base,3,orta,acgozlu,on,8,40000,0,0.2037,nan,0.27
base,3,orta,acgozlu,on,12,40000,0,0.3886,nan,0.49
base,3,orta,acgozlu,off,3,40000,0,0.1169,nan,1.243
base,3,orta,acgozlu,off,5,40000,0,0.1836,nan,0.635
base,3,orta,acgozlu,off,8,40000,0,0.182,nan,0.261
base,3,orta,acgozlu,off,12,40000,0,0.364,nan,0.481
base,3,orta,hic,on,3,40000,0,0.1634,nan,1.446
