variant,P,profile,strategy,events,day,alive,lostAfter,corr_money_final,auc_ratio_loss,ratio_med
livecal,1,iyi,acgozlu,on,3,10000,0,0.0562,nan,1.528
livecal,1,iyi,acgozlu,on,5,10000,0,0.1307,nan,0.986
livecal,1,iyi,acgozlu,on,8,10000,0,0.1815,nan,0.419
livecal,1,iyi,acgozlu,on,12,10000,0,0.35,nan,0.791
livecal,1,iyi,hic,on,3,10000,0,0.1241,nan,2.795
livecal,1,iyi,hic,on,5,10000,0,0.2277,nan,2.374
livecal,1,iyi,hic,on,8,10000,0,0.3781,nan,2.124
livecal,1,iyi,hic,on,12,10000,0,0.708,nan,2.924
livecal,1,iyi,mantikli,on,3,10000,0,0.0762,nan,1.424
livecal,1,iyi,mantikli,on,5,10000,0,0.1771,nan,0.937
livecal,1,iyi,mantikli,on,8,10000,0,0.1723,nan,0.354
livecal,1,iyi,mantikli,on,12,10000,0,0.3885,nan,0.796
livecal,1,orta,acgozlu,on,3,10000,1,0.1151,0.9948,1.397
livecal,1,orta,acgozlu,on,5,10000,1,0.1021,0.909,0.701
livecal,1,orta,acgozlu,on,8,10000,1,0.0942,0.5848,0.275
livecal,1,orta,acgozlu,on,12,9999,0,0.1782,nan,0.393
livecal,1,orta,hic,on,3,10000,0,0.2133,nan,2.431
livecal,1,orta,hic,on,5,10000,0,0.3466,nan,1.79
livecal,1,orta,hic,on,8,10000,0,0.5234,nan,1.349
livecal,1,orta,hic,on,12,10000,0,0.7728,nan,1.483
livecal,1,orta,mantikli,on,3,10000,5,0.1268,0.9361,1.321
livecal,1,orta,mantikli,on,5,10000,5,0.1627,0.819,0.675
livecal,1,orta,mantikli,on,8,10000,5,0.1091,0.1409,0.244
livecal,1,orta,mantikli,on,12,9998,3,0.2329,0.8261,0.379
livecal,1,zayif,acgozlu,on,3,10000,929,0.0782,0.6101,1.224
livecal,1,zayif,acgozlu,on,5,10000,929,0.0748,0.6185,0.364
livecal,1,zayif,acgozlu,on,8,10000,929,-0.1522,0.3811,0.124
livecal,1,zayif,acgozlu,on,12,9816,745,-0.1996,0.4469,0.253
livecal,1,zayif,hic,on,3,10000,2055,0.2001,0.6536,2.052
livecal,1,zayif,hic,on,5,10000,2055,0.3105,0.733,1.178
livecal,1,zayif,hic,on,8,10000,2055,0.4458,0.8142,0.495
livecal,1,zayif,hic,on,12,9481,1536,0.6511,0.7676,0.186
livecal,1,zayif,mantikli,on,3,10000,1046,0.0585,0.6321,1.172
livecal,1,zayif,mantikli,on,5,10000,1046,0.0684,0.6005,0.33
livecal,1,zayif,mantikli,on,8,10000,1046,-0.178,0.3301,0.124
livecal,1,zayif,mantikli,on,12,9764,810,-0.2355,0.4623,0.248
livecal,2,iyi,acgozlu,on,3,10000,0,0.0455,nan,1.589
livecal,2,iyi,acgozlu,on,5,10000,0,0.2752,nan,1.129
livecal,2,iyi,acgozlu,on,8,10000,0,0.2578,nan,0.704
livecal,2,iyi,acgozlu,on,12,10000,0,0.6096,nan,1.788
livecal,2,iyi,hic,on,3,10000,0,0.1114,nan,2.186
livecal,2,iyi,hic,on,5,10000,0,0.1751,nan,2.041
livecal,2,iyi,hic,on,8,10000,0,0.3888,nan,2.152
livecal,2,iyi,hic,on,12,10000,0,0.7089,nan,3.318
livecal,2,iyi,mantikli,on,3,10000,0,-0.0226,nan,1.432
livecal,2,iyi,mantikli,on,5,10000,0,0.3181,nan,1.168
livecal,2,iyi,mantikli,on,8,10000,0,0.1794,nan,0.616
livecal,2,iyi,mantikli,on,12,10000,0,0.6242,nan,1.937
livecal,2,orta,acgozlu,on,3,10000,0,0.1983,nan,1.351
livecal,2,orta,acgozlu,on,5,10000,0,0.1656,nan,0.712
livecal,2,orta,acgozlu,on,8,10000,0,0.1806,nan,0.334
livecal,2,orta,acgozlu,on,12,10000,0,0.3544,nan,0.608
livecal,2,orta,hic,on,3,10000,0,0.1888,nan,1.751
livecal,2,orta,hic,on,5,10000,0,0.2925,nan,1.338
livecal,2,orta,hic,on,8,10000,0,0.4892,nan,1.136
livecal,2,orta,hic,on,12,10000,0,0.7697,nan,1.613
livecal,2,orta,mantikli,on,3,10000,0,0.1497,nan,1.316
livecal,2,orta,mantikli,on,5,10000,0,0.1862,nan,0.686
livecal,2,orta,mantikli,on,8,10000,0,0.1859,nan,0.312
livecal,2,orta,mantikli,on,12,10000,0,0.3711,nan,0.607
livecal,2,zayif,acgozlu,on,3,10000,134,0.0107,0.738,1.055
livecal,2,zayif,acgozlu,on,5,10000,134,-0.0172,0.6327,0.386
livecal,2,zayif,acgozlu,on,8,10000,134,-0.1184,0.1458,0.137
livecal,2,zayif,acgozlu,on,12,9964,98,0.0063,0.5515,0.164
livecal,2,zayif,hic,on,3,10000,2087,0.1878,0.6506,1.305
livecal,2,zayif,hic,on,5,10000,2087,0.3122,0.7456,0.653
livecal,2,zayif,hic,on,8,9965,2052,0.4198,0.7393,0.198
livecal,2,zayif,hic,on,12,8742,829,0.5965,0.694,0.155
livecal,2,zayif,mantikli,on,3,10000,152,0.0086,0.7394,1.052
livecal,2,zayif,mantikli,on,5,10000,152,-0.0155,0.6228,0.378
livecal,2,zayif,mantikli,on,8,10000,152,-0.1188,0.1789,0.136
