variant,P,profile,strategy,events,day,alive,lostAfter,corr_money_final,auc_ratio_loss,ratio_med
sens_fast,1,iyi,acgozlu,on,3,10000,0,0.0996,nan,1.545
sens_fast,1,iyi,acgozlu,on,5,10000,0,0.2242,nan,1.106
sens_fast,1,iyi,acgozlu,on,8,10000,0,0.2176,nan,0.481
sens_fast,1,iyi,acgozlu,on,12,10000,0,0.4052,nan,0.978
sens_fast,1,iyi,hic,on,3,10000,0,0.1234,nan,3.141
sens_fast,1,iyi,hic,on,5,10000,0,0.2119,nan,2.805
sens_fast,1,iyi,hic,on,8,10000,0,0.3906,nan,2.611
sens_fast,1,iyi,hic,on,12,10000,0,0.683,nan,3.674
sens_fast,1,iyi,mantikli,on,3,10000,0,0.078,nan,1.469
sens_fast,1,iyi,mantikli,on,5,10000,0,0.2627,nan,1.057
sens_fast,1,iyi,mantikli,on,8,10000,0,0.2373,nan,0.426
sens_fast,1,iyi,mantikli,on,12,10000,0,0.4594,nan,0.974
sens_fast,1,orta,acgozlu,on,3,10000,0,0.0694,nan,1.414
sens_fast,1,orta,acgozlu,on,5,10000,0,0.1274,nan,0.813
sens_fast,1,orta,acgozlu,on,8,10000,0,0.1239,nan,0.309
sens_fast,1,orta,acgozlu,on,12,10000,0,0.2306,nan,0.515
sens_fast,1,orta,hic,on,3,10000,1,0.1785,0.9723,2.466
sens_fast,1,orta,hic,on,5,10000,1,0.3,0.9845,1.891
sens_fast,1,orta,hic,on,8,10000,1,0.4416,0.9993,1.471
sens_fast,1,orta,hic,on,12,9999,0,0.7318,nan,1.834
sens_fast,1,orta,mantikli,on,3,10000,0,0.0828,nan,1.328
sens_fast,1,orta,mantikli,on,5,10000,0,0.1367,nan,0.779
sens_fast,1,orta,mantikli,on,8,10000,0,0.0865,nan,0.275
sens_fast,1,orta,mantikli,on,12,10000,0,0.2619,nan,0.495
sens_fast,1,zayif,acgozlu,on,3,10000,184,0.0308,0.6251,1.259
sens_fast,1,zayif,acgozlu,on,5,10000,184,-0.0083,0.6591,0.46
sens_fast,1,zayif,acgozlu,on,8,10000,184,-0.0606,0.3526,0.146
sens_fast,1,zayif,acgozlu,on,12,9942,126,-0.0054,0.3492,0.226
sens_fast,1,zayif,hic,on,3,10000,431,0.2448,0.7014,2.207
sens_fast,1,zayif,hic,on,5,10000,431,0.3686,0.8019,1.379
sens_fast,1,zayif,hic,on,8,10000,431,0.5242,0.8752,0.737
sens_fast,1,zayif,hic,on,12,9861,292,0.7319,0.899,0.543
sens_fast,1,zayif,mantikli,on,3,10000,239,0.0199,0.6096,1.224
sens_fast,1,zayif,mantikli,on,5,10000,239,0.0117,0.613,0.417
sens_fast,1,zayif,mantikli,on,8,10000,239,-0.0742,0.3358,0.144
sens_fast,1,zayif,mantikli,on,12,9939,178,-0.0455,0.3817,0.218
sens_fast,2,iyi,acgozlu,on,3,10000,0,-0.0429,nan,1.612
sens_fast,2,iyi,acgozlu,on,5,10000,0,0.3228,nan,1.351
sens_fast,2,iyi,acgozlu,on,8,10000,0,0.1139,nan,0.696
sens_fast,2,iyi,acgozlu,on,12,10000,0,0.6849,nan,2.932
sens_fast,2,iyi,hic,on,3,10000,0,0.063,nan,2.309
sens_fast,2,iyi,hic,on,5,10000,0,0.1485,nan,2.269
sens_fast,2,iyi,hic,on,8,10000,0,0.352,nan,2.419
sens_fast,2,iyi,hic,on,12,10000,0,0.6761,nan,3.858
sens_fast,2,iyi,mantikli,on,3,10000,0,-0.0079,nan,1.484
sens_fast,2,iyi,mantikli,on,5,10000,0,0.3274,nan,1.367
sens_fast,2,iyi,mantikli,on,8,10000,0,0.1036,nan,0.597
sens_fast,2,iyi,mantikli,on,12,10000,0,0.7075,nan,3.012
sens_fast,2,orta,acgozlu,on,3,10000,0,0.1819,nan,1.428
sens_fast,2,orta,acgozlu,on,5,10000,0,0.2243,nan,0.831
sens_fast,2,orta,acgozlu,on,8,10000,0,0.2897,nan,0.409
sens_fast,2,orta,acgozlu,on,12,10000,0,0.4441,nan,0.799
sens_fast,2,orta,hic,on,3,10000,0,0.1597,nan,1.878
sens_fast,2,orta,hic,on,5,10000,0,0.2769,nan,1.564
sens_fast,2,orta,hic,on,8,10000,0,0.4505,nan,1.423
sens_fast,2,orta,hic,on,12,10000,0,0.7422,nan,2.179
sens_fast,2,orta,mantikli,on,3,10000,0,0.0997,nan,1.349
sens_fast,2,orta,mantikli,on,5,10000,0,0.2359,nan,0.822
sens_fast,2,orta,mantikli,on,8,10000,0,0.2513,nan,0.383
sens_fast,2,orta,mantikli,on,12,10000,0,0.4524,nan,0.847
