variant,P,profile,strategy,events,day,alive,lostAfter,corr_money_final,auc_ratio_loss,ratio_med
sens_slow,1,iyi,acgozlu,on,3,10000,0,0.0678,nan,1.51
sens_slow,1,iyi,acgozlu,on,5,10000,0,0.1403,nan,0.922
sens_slow,1,iyi,acgozlu,on,8,10000,0,0.1404,nan,0.388
sens_slow,1,iyi,acgozlu,on,12,10000,0,0.2791,nan,0.672
sens_slow,1,iyi,hic,on,3,10000,0,0.1452,nan,2.569
sens_slow,1,iyi,hic,on,5,10000,0,0.2748,nan,2.055
sens_slow,1,iyi,hic,on,8,10000,0,0.4502,nan,1.725
sens_slow,1,iyi,hic,on,12,10000,0,0.7329,nan,2.202
sens_slow,1,iyi,mantikli,on,3,10000,0,0.0787,nan,1.407
sens_slow,1,iyi,mantikli,on,5,10000,0,0.1727,nan,0.885
sens_slow,1,iyi,mantikli,on,8,10000,0,0.1194,nan,0.337
sens_slow,1,iyi,mantikli,on,12,10000,0,0.3222,nan,0.644
sens_slow,1,orta,acgozlu,on,3,10000,4,0.0594,0.6497,1.362
sens_slow,1,orta,acgozlu,on,5,10000,4,0.0379,0.8488,0.546
sens_slow,1,orta,acgozlu,on,8,10000,4,0.0529,0.5374,0.179
sens_slow,1,orta,acgozlu,on,12,9998,2,0.1469,0.4512,0.309
sens_slow,1,orta,hic,on,3,10000,17,0.2067,0.8573,2.321
sens_slow,1,orta,hic,on,5,10000,17,0.3308,0.8895,1.552
sens_slow,1,orta,hic,on,8,10000,17,0.4988,0.9499,0.962
sens_slow,1,orta,hic,on,12,9998,15,0.7601,0.9701,0.91
sens_slow,1,orta,mantikli,on,3,10000,18,0.0619,0.7329,1.259
sens_slow,1,orta,mantikli,on,5,10000,18,0.0644,0.7546,0.514
sens_slow,1,orta,mantikli,on,8,10000,18,0.0491,0.3515,0.172
sens_slow,1,orta,mantikli,on,12,9996,14,0.157,0.3669,0.289
sens_slow,1,zayif,acgozlu,on,3,10000,2427,0.0823,0.5994,1.172
sens_slow,1,zayif,acgozlu,on,5,10000,2427,0.1628,0.5874,0.33
sens_slow,1,zayif,acgozlu,on,8,10000,2427,-0.1702,0.3923,0.112
sens_slow,1,zayif,acgozlu,on,12,9586,2013,-0.3031,0.532,0.366
sens_slow,1,zayif,hic,on,3,10000,5012,0.1905,0.6326,1.914
sens_slow,1,zayif,hic,on,5,10000,5012,0.3245,0.7169,1.063
sens_slow,1,zayif,hic,on,8,10000,5012,0.4573,0.7914,0.335
sens_slow,1,zayif,hic,on,12,8822,3834,0.5322,0.6649,0.132
sens_slow,1,zayif,mantikli,on,3,10000,2626,0.083,0.5889,1.121
sens_slow,1,zayif,mantikli,on,5,10000,2626,0.1561,0.5693,0.316
sens_slow,1,zayif,mantikli,on,8,10000,2626,-0.1961,0.3594,0.11
sens_slow,1,zayif,mantikli,on,12,9495,2121,-0.325,0.5504,0.379
sens_slow,2,iyi,acgozlu,on,3,10000,0,0.1484,nan,1.52
sens_slow,2,iyi,acgozlu,on,5,10000,0,0.2482,nan,0.956
