variant,P,profile,strategy,events,day,alive,lostAfter,corr_money_final,auc_ratio_loss,ratio_med
wi_daily,1,iyi,acgozlu,on,3,20000,0,0.1033,nan,1.5
wi_daily,1,iyi,acgozlu,on,5,20000,0,0.1676,nan,0.98
wi_daily,1,iyi,acgozlu,on,8,20000,0,0.1846,nan,0.421
wi_daily,1,iyi,acgozlu,on,12,20000,0,0.3832,nan,0.81
wi_daily,1,iyi,hic,on,3,20000,0,0.1423,nan,2.91
wi_daily,1,iyi,hic,on,5,20000,0,0.2313,nan,2.425
wi_daily,1,iyi,hic,on,8,20000,0,0.3919,nan,2.12
wi_daily,1,iyi,hic,on,12,20000,0,0.7213,nan,2.94
wi_daily,1,iyi,mantikli,on,3,20000,0,0.0796,nan,1.403
wi_daily,1,iyi,mantikli,on,5,20000,0,0.2293,nan,0.908
wi_daily,1,iyi,mantikli,on,8,20000,0,0.2105,nan,0.347
wi_daily,1,iyi,mantikli,on,12,20000,0,0.4163,nan,0.794
wi_daily,1,orta,acgozlu,on,3,20000,1,0.1055,0.9286,1.383
wi_daily,1,orta,acgozlu,on,5,20000,1,0.0943,0.7627,0.687
wi_daily,1,orta,acgozlu,on,8,20000,1,0.0858,0.1098,0.258
wi_daily,1,orta,acgozlu,on,12,19999,0,0.1887,nan,0.407
wi_daily,1,orta,hic,on,3,20000,2,0.2301,0.7405,2.476
wi_daily,1,orta,hic,on,5,20000,2,0.3535,0.99,1.805
wi_daily,1,orta,hic,on,8,20000,2,0.5137,0.9972,1.335
wi_daily,1,orta,hic,on,12,19998,0,0.7684,nan,1.501
wi_daily,1,orta,mantikli,on,3,20000,9,0.114,0.6865,1.279
wi_daily,1,orta,mantikli,on,5,20000,9,0.1293,0.7836,0.644
wi_daily,1,orta,mantikli,on,8,20000,9,0.1012,0.2126,0.218
wi_daily,1,orta,mantikli,on,12,19992,1,0.2344,0.2017,0.373
wi_daily,1,zayif,acgozlu,on,3,20000,1790,0.0709,0.6179,1.21
wi_daily,1,zayif,acgozlu,on,5,20000,1790,0.0679,0.622,0.359
wi_daily,1,zayif,acgozlu,on,8,20000,1790,-0.1451,0.3717,0.12
wi_daily,1,zayif,acgozlu,on,12,19616,1406,-0.1976,0.4621,0.267
wi_daily,1,zayif,hic,on,3,20000,3892,0.2112,0.6605,2.086
wi_daily,1,zayif,hic,on,5,20000,3892,0.3162,0.7385,1.198
wi_daily,1,zayif,hic,on,8,20000,3892,0.4494,0.8148,0.49
wi_daily,1,zayif,hic,on,12,19022,2914,0.6575,0.7739,0.194
wi_daily,1,zayif,mantikli,on,3,20000,2390,0.0738,0.6227,1.124
wi_daily,1,zayif,mantikli,on,5,20000,2390,0.0756,0.6004,0.328
wi_daily,1,zayif,mantikli,on,8,20000,2390,-0.1821,0.3287,0.12
wi_daily,1,zayif,mantikli,on,12,19378,1768,-0.234,0.4815,0.257
wi_daily,2,iyi,acgozlu,on,3,20000,0,-0.0026,nan,1.565
wi_daily,2,iyi,acgozlu,on,5,20000,0,0.3452,nan,1.185
wi_daily,2,iyi,acgozlu,on,8,20000,0,0.2081,nan,0.659
wi_daily,2,iyi,acgozlu,on,12,20000,0,0.6439,nan,1.924
wi_daily,2,iyi,hic,on,3,20000,0,0.1103,nan,2.245
wi_daily,2,iyi,hic,on,5,20000,0,0.1898,nan,2.082
wi_daily,2,iyi,hic,on,8,20000,0,0.3817,nan,2.159
wi_daily,2,iyi,hic,on,12,20000,0,0.7071,nan,3.363
wi_daily,2,iyi,mantikli,on,3,20000,0,0.0236,nan,1.431
wi_daily,2,iyi,mantikli,on,5,20000,0,0.3582,nan,1.213
wi_daily,2,iyi,mantikli,on,8,20000,0,0.1484,nan,0.594
wi_daily,2,iyi,mantikli,on,12,20000,0,0.6582,nan,2.089
wi_daily,2,orta,acgozlu,on,3,20000,0,0.1917,nan,1.377
wi_daily,2,orta,acgozlu,on,5,20000,0,0.1648,nan,0.713
wi_daily,2,orta,acgozlu,on,8,20000,0,0.1995,nan,0.338
wi_daily,2,orta,acgozlu,on,12,20000,0,0.3758,nan,0.614
wi_daily,2,orta,hic,on,3,20000,0,0.1995,nan,1.805
wi_daily,2,orta,hic,on,5,20000,0,0.3216,nan,1.376
wi_daily,2,orta,hic,on,8,20000,0,0.4839,nan,1.143
wi_daily,2,orta,hic,on,12,20000,0,0.7689,nan,1.643
wi_daily,2,orta,mantikli,on,3,20000,0,0.158,nan,1.322
wi_daily,2,orta,mantikli,on,5,20000,0,0.1867,nan,0.701
wi_daily,2,orta,mantikli,on,8,20000,0,0.2003,nan,0.317
wi_daily,2,orta,mantikli,on,12,20000,0,0.3813,nan,0.611
wi_daily,2,zayif,acgozlu,on,3,20000,305,0.0372,0.7673,1.085
wi_daily,2,zayif,acgozlu,on,5,20000,305,-0.0254,0.6344,0.376
wi_daily,2,zayif,acgozlu,on,8,20000,305,-0.125,0.146,0.134
wi_daily,2,zayif,acgozlu,on,12,19924,229,0.0026,0.5415,0.172
wi_daily,2,zayif,hic,on,3,20000,4478,0.2191,0.6713,1.342
wi_daily,2,zayif,hic,on,5,20000,4478,0.3101,0.7521,0.673
wi_daily,2,zayif,hic,on,8,19873,4351,0.4065,0.7307,0.179
wi_daily,2,zayif,hic,on,12,17273,1751,0.6002,0.6778,0.154
wi_daily,2,zayif,mantikli,on,3,20000,354,0.0235,0.7254,1.077
wi_daily,2,zayif,mantikli,on,5,20000,354,-0.0127,0.6123,0.368
wi_daily,2,zayif,mantikli,on,8,20000,354,-0.1301,0.1635,0.134
wi_daily,2,zayif,mantikli,on,12,19914,268,-0.0766,0.5148,0.167
wi_daily,3,iyi,acgozlu,on,3,20000,0,0.148,nan,1.432
wi_daily,3,iyi,acgozlu,on,5,20000,0,0.3021,nan,0.927
wi_daily,3,iyi,acgozlu,on,8,20000,0,0.4001,nan,0.507
wi_daily,3,iyi,acgozlu,on,12,20000,0,0.5943,nan,1.287
wi_daily,3,iyi,hic,on,3,20000,0,0.0885,nan,1.771
wi_daily,3,iyi,hic,on,5,20000,0,0.1877,nan,1.537
wi_daily,3,iyi,hic,on,8,20000,0,0.409,nan,1.446
wi_daily,3,iyi,hic,on,12,20000,0,0.7132,nan,2.225
wi_daily,3,iyi,mantikli,on,3,20000,0,0.0178,nan,1.404
wi_daily,3,iyi,mantikli,on,5,20000,0,0.3648,nan,1.033
wi_daily,3,iyi,mantikli,on,8,20000,0,0.2289,nan,0.467
wi_daily,3,iyi,mantikli,on,12,20000,0,0.6402,nan,1.481
wi_daily,3,orta,acgozlu,on,3,20000,0,0.1736,nan,1.245
wi_daily,3,orta,acgozlu,on,5,20000,0,0.2119,nan,0.642
wi_daily,3,orta,acgozlu,on,8,20000,0,0.2346,nan,0.269
wi_daily,3,orta,acgozlu,on,12,20000,0,0.4126,nan,0.499
wi_daily,3,orta,hic,on,3,20000,0,0.1758,nan,1.475
wi_daily,3,orta,hic,on,5,20000,0,0.2852,nan,1.053
wi_daily,3,orta,hic,on,8,20000,0,0.464,nan,0.778
wi_daily,3,orta,hic,on,12,20000,0,0.7464,nan,1.169
wi_daily,3,orta,mantikli,on,3,20000,2,0.09,0.8384,1.304
wi_daily,3,orta,mantikli,on,5,20000,2,0.2877,0.9385,0.689
wi_daily,3,orta,mantikli,on,8,20000,2,0.25,0.7829,0.253
wi_daily,3,orta,mantikli,on,12,19998,0,0.4228,nan,0.526
wi_daily,3,zayif,acgozlu,on,3,20000,473,0.0668,0.8098,0.945
wi_daily,3,zayif,acgozlu,on,5,20000,473,-0.0235,0.5915,0.319
wi_daily,3,zayif,acgozlu,on,8,20000,473,-0.1495,0.1257,0.13
wi_daily,3,zayif,acgozlu,on,12,19850,323,0.0561,0.7199,0.243
wi_daily,3,zayif,hic,on,3,20000,10126,0.2268,0.6615,1.105
wi_daily,3,zayif,hic,on,5,20000,10126,0.2983,0.7176,0.45
wi_daily,3,zayif,hic,on,8,19292,9418,0.2157,0.5526,0.135
wi_daily,3,zayif,hic,on,12,11972,2098,0.3883,0.6217,0.129
wi_daily,3,zayif,mantikli,on,3,20000,10655,0.1596,0.5995,1.078
wi_daily,3,zayif,mantikli,on,5,20000,10655,0.1388,0.6106,0.334
wi_daily,3,zayif,mantikli,on,8,19078,9733,0.0303,0.4908,0.125
wi_daily,3,zayif,mantikli,on,12,10978,1633,0.259,0.6702,0.125
wi_daily,4,iyi,acgozlu,on,3,20000,0,0.157,nan,1.319
wi_daily,4,iyi,acgozlu,on,5,20000,0,0.2735,nan,0.798
wi_daily,4,iyi,acgozlu,on,8,20000,0,0.3912,nan,0.364
wi_daily,4,iyi,acgozlu,on,12,20000,0,0.6004,nan,0.903
wi_daily,4,iyi,hic,on,3,20000,0,0.0875,nan,1.523
wi_daily,4,iyi,hic,on,5,20000,0,0.2046,nan,1.221
wi_daily,4,iyi,hic,on,8,20000,0,0.4303,nan,1.032
wi_daily,4,iyi,hic,on,12,20000,0,0.727,nan,1.66
wi_daily,4,iyi,mantikli,on,3,20000,0,0.0071,nan,1.351
wi_daily,4,iyi,mantikli,on,5,20000,0,0.3327,nan,0.882
wi_daily,4,iyi,mantikli,on,8,20000,0,0.335,nan,0.372
wi_daily,4,iyi,mantikli,on,12,20000,0,0.6047,nan,1.034
wi_daily,4,orta,acgozlu,on,3,20000,0,0.1478,nan,1.177
wi_daily,4,orta,acgozlu,on,5,20000,0,0.2211,nan,0.569
wi_daily,4,orta,acgozlu,on,8,20000,0,0.242,nan,0.199
wi_daily,4,orta,acgozlu,on,12,20000,0,0.4222,nan,0.39
wi_daily,4,orta,hic,on,3,20000,0,0.1818,nan,1.332
wi_daily,4,orta,hic,on,5,20000,0,0.2806,nan,0.868
wi_daily,4,orta,hic,on,8,20000,0,0.4681,nan,0.526
wi_daily,4,orta,hic,on,12,20000,0,0.7415,nan,0.804
wi_daily,4,orta,mantikli,on,3,20000,9,0.0855,0.7146,1.258
wi_daily,4,orta,mantikli,on,5,20000,9,0.2842,0.8824,0.607
wi_daily,4,orta,mantikli,on,8,19999,8,0.255,0.6828,0.186
wi_daily,4,orta,mantikli,on,12,19991,0,0.4749,nan,0.409
wi_daily,4,zayif,acgozlu,on,3,20000,606,0.1075,0.7606,0.838
wi_daily,4,zayif,acgozlu,on,5,20000,606,-0.0371,0.5444,0.305
wi_daily,4,zayif,acgozlu,on,8,20000,606,-0.184,0.199,0.134
wi_daily,4,zayif,acgozlu,on,12,19784,390,0.2518,0.7774,0.26
wi_daily,4,zayif,hic,on,3,20000,12093,0.2072,0.6526,0.971
wi_daily,4,zayif,hic,on,5,20000,12093,0.2391,0.6712,0.368
wi_daily,4,zayif,hic,on,8,17954,10047,0.0835,0.4922,0.124
