variant,P,profile,strategy,events,day,alive,lostAfter,corr_money_final,auc_ratio_loss,ratio_med
wi_norep,1,iyi,acgozlu,on,3,10000,0,0.1045,nan,1.497
wi_norep,1,iyi,acgozlu,on,5,10000,0,0.1271,nan,0.986
wi_norep,1,iyi,acgozlu,on,8,10000,0,0.1732,nan,0.416
wi_norep,1,iyi,acgozlu,on,12,10000,0,0.3625,nan,0.811
wi_norep,1,iyi,hic,on,3,10000,0,0.1252,nan,2.91
wi_norep,1,iyi,hic,on,5,10000,0,0.2203,nan,2.417
wi_norep,1,iyi,hic,on,8,10000,0,0.3865,nan,2.112
wi_norep,1,iyi,hic,on,12,10000,0,0.7119,nan,2.922
wi_norep,1,iyi,mantikli,on,3,10000,0,0.0831,nan,1.407
wi_norep,1,iyi,mantikli,on,5,10000,0,0.2099,nan,0.908
wi_norep,1,iyi,mantikli,on,8,10000,0,0.2113,nan,0.344
wi_norep,1,iyi,mantikli,on,12,10000,0,0.3958,nan,0.797
wi_norep,1,orta,acgozlu,on,3,10000,0,0.0748,nan,1.383
wi_norep,1,orta,acgozlu,on,5,10000,0,0.0744,nan,0.684
wi_norep,1,orta,acgozlu,on,8,10000,0,0.073,nan,0.266
wi_norep,1,orta,acgozlu,on,12,10000,0,0.2072,nan,0.401
wi_norep,1,orta,hic,on,3,10000,2,0.2061,0.659,2.486
wi_norep,1,orta,hic,on,5,10000,2,0.3322,0.7915,1.813
wi_norep,1,orta,hic,on,8,10000,2,0.4959,0.9752,1.333
wi_norep,1,orta,hic,on,12,10000,2,0.7631,0.998,1.489
wi_norep,1,orta,mantikli,on,3,10000,2,0.094,0.7536,1.276
wi_norep,1,orta,mantikli,on,5,10000,2,0.1507,0.9217,0.638
wi_norep,1,orta,mantikli,on,8,10000,2,0.0898,0.124,0.221
wi_norep,1,orta,mantikli,on,12,9999,1,0.2229,0.6664,0.375
wi_norep,1,zayif,acgozlu,on,3,10000,933,0.0513,0.6107,1.21
wi_norep,1,zayif,acgozlu,on,5,10000,933,0.0661,0.6242,0.356
wi_norep,1,zayif,acgozlu,on,8,10000,933,-0.1553,0.3443,0.12
wi_norep,1,zayif,acgozlu,on,12,9789,722,-0.2008,0.4696,0.267
wi_norep,1,zayif,hic,on,3,10000,1998,0.2157,0.6645,2.086
wi_norep,1,zayif,hic,on,5,10000,1998,0.3207,0.7386,1.194
wi_norep,1,zayif,hic,on,8,9999,1997,0.4541,0.8057,0.488
wi_norep,1,zayif,hic,on,12,9462,1460,0.655,0.7624,0.183
wi_norep,1,zayif,mantikli,on,3,10000,1207,0.0585,0.6277,1.121
wi_norep,1,zayif,mantikli,on,5,10000,1207,0.0746,0.5963,0.322
wi_norep,1,zayif,mantikli,on,8,10000,1207,-0.1902,0.3242,0.12
wi_norep,1,zayif,mantikli,on,12,9708,915,-0.2339,0.4899,0.257
