variant,P,profile,strategy,events,runs,win,lose,lose_ci95_lo,lose_ci95_hi,bankrupt,prestigeDeath,bk_d4,bk_d8,bk_d12,bk_d16,final_p10,final_med,final_p90,surv_final_p10,surv_final_med,surv_final_p90
base,1,iyi,acgozlu,on,40000,1.0,0.0,0.0,0.0001,0.0,0.0,0,0,0,0,501,1078,2090,501,1078,2090
base,1,iyi,acgozlu,off,40000,1.0,0.0,0.0,0.0001,0.0,0.0,0,0,0,0,474,1020,1960,474,1020,1960
base,1,iyi,hic,on,40000,1.0,0.0,0.0,0.0001,0.0,0.0,0,0,0,0,1837,2471,3133,1837,2471,3133
base,1,iyi,hic,off,40000,1.0,0.0,0.0,0.0001,0.0,0.0,0,0,0,0,1817,2448,3103,1817,2448,3103
base,1,iyi,mantikli,on,40000,1.0,0.0,0.0,0.0001,0.0,0.0,0,0,0,0,595,1274,2294,595,1274,2294
base,1,iyi,mantikli,off,40000,1.0,0.0,0.0,0.0001,0.0,0.0,0,0,0,0,568,1213,2160,568,1213,2160
base,1,orta,acgozlu,on,40000,0.99995,5e-05,1e-05,0.00018,5e-05,0.0,0,0,0,2,142,321,550,142,321,550
base,1,orta,acgozlu,off,40000,1.0,0.0,0.0,0.0001,0.0,0.0,0,0,0,0,139,318,538,139,318,538
base,1,orta,hic,on,40000,0.99995,5e-05,1e-05,0.00018,5e-05,0.0,0,0,1,1,664,1111,1586,664,1111,1586
base,1,orta,hic,off,40000,0.99988,0.00012,5e-05,0.00029,0.00013,0.0,0,0,4,1,633,1082,1538,633,1082,1538
base,1,orta,mantikli,on,40000,0.9998,0.0002,0.0001,0.00039,0.0002,0.0,0,0,1,7,128,305,578,128,305,578
base,1,orta,mantikli,off,40000,0.99972,0.00028,0.00015,0.00049,0.00028,0.0,0,0,6,5,125,298,560,125,298,560
base,1,zayif,acgozlu,on,40000,0.90638,0.09362,0.09081,0.09652,0.0936,3e-05,0,0,816,2928,40,149,429,36,136,389
base,1,zayif,acgozlu,off,40000,0.89882,0.10118,0.09826,0.10417,0.10118,0.0,0,0,948,3099,40,152,431,36,137,387
base,1,zayif,hic,on,40000,0.79282,0.20718,0.20323,0.21117,0.20717,0.0,0,0,1961,6326,44,161,430,36,107,364
base,1,zayif,hic,off,40000,0.76982,0.23018,0.22608,0.23433,0.23017,0.0,0,0,2465,6742,44,158,425,36,100,339
base,1,zayif,mantikli,on,40000,0.89238,0.10762,0.10463,0.1107,0.1076,3e-05,0,0,1044,3260,36,135,432,33,122,383
base,1,zayif,mantikli,off,40000,0.88625,0.11375,0.11068,0.1169,0.11375,0.0,0,0,1206,3344,36,135,433,32,122,382
base,2,iyi,acgozlu,on,40000,1.0,0.0,0.0,0.0001,0.0,0.0,0,0,0,0,5642,7965,10342,5642,7965,10342
base,2,iyi,acgozlu,off,40000,1.0,0.0,0.0,0.0001,0.0,0.0,0,0,0,0,5422,7679,9912,5422,7679,9912
base,2,iyi,hic,on,40000,1.0,0.0,0.0,0.0001,0.0,0.0,0,0,0,0,5511,6590,7707,5511,6590,7707
base,2,iyi,hic,off,40000,1.0,0.0,0.0,0.0001,0.0,0.0,0,0,0,0,5485,6548,7631,5485,6548,7631
base,2,iyi,mantikli,on,40000,1.0,0.0,0.0,0.0001,0.0,0.0,0,0,0,0,5887,8201,10600,5887,8201,10600
base,2,iyi,mantikli,off,40000,1.0,0.0,0.0,0.0001,0.0,0.0,0,0,0,0,5660,7876,10161,5660,7876,10161
base,2,orta,acgozlu,on,40000,1.0,0.0,0.0,0.0001,0.0,0.0,0,0,0,0,834,1554,2772,834,1554,2772
base,2,orta,acgozlu,off,40000,1.0,0.0,0.0,0.0001,0.0,0.0,0,0,0,0,830,1530,2669,830,1530,2669
base,2,orta,hic,on,40000,1.0,0.0,0.0,0.0001,0.0,0.0,0,0,0,0,2474,3279,4090,2474,3279,4090
base,2,orta,hic,off,40000,1.0,0.0,0.0,0.0001,0.0,0.0,0,0,0,0,2473,3269,4045,2473,3269,4045
base,2,orta,mantikli,on,40000,1.0,0.0,0.0,0.0001,0.0,0.0,0,0,0,0,1021,1956,3212,1021,1956,3212
base,2,orta,mantikli,off,40000,1.0,0.0,0.0,0.0001,0.0,0.0,0,0,0,0,1000,1913,3122,1000,1913,3122
base,2,zayif,acgozlu,on,40000,0.98735,0.01265,0.0116,0.01379,0.01265,0.0,0,0,132,374,109,318,663,108,315,616
base,2,zayif,acgozlu,off,40000,0.98765,0.01235,0.01131,0.01348,0.01235,0.0,0,0,151,343,116,324,626,115,322,594
base,2,zayif,hic,on,40000,0.7946,0.2054,0.20147,0.20939,0.2054,0.0,0,172,4862,3182,112,414,913,91,320,738
base,2,zayif,hic,off,40000,0.78665,0.21335,0.20936,0.21739,0.21335,0.0,0,218,5410,2906,117,420,900,95,325,716
base,2,zayif,mantikli,on,40000,0.98452,0.01548,0.01431,0.01673,0.01547,0.0,0,0,149,470,101,287,765,100,284,614
base,2,zayif,mantikli,off,40000,0.9851,0.0149,0.01376,0.01613,0.0149,0.0,0,0,146,450,106,292,638,105,289,566
base,3,iyi,acgozlu,on,40000,1.0,0.0,0.0,0.0001,0.0,0.0,0,0,0,0,6675,9752,12800,6675,9752,12800
base,3,iyi,acgozlu,off,40000,1.0,0.0,0.0,0.0001,0.0,0.0,0,0,0,0,6156,9131,12028,6156,9131,12028
base,3,iyi,hic,on,40000,1.0,0.0,0.0,0.0001,0.0,0.0,0,0,0,0,6431,7773,9196,6431,7773,9196
base,3,iyi,hic,off,40000,1.0,0.0,0.0,0.0001,0.0,0.0,0,0,0,0,6314,7614,8986,6314,7614,8986
base,3,iyi,mantikli,on,40000,1.0,0.0,0.0,0.0001,0.0,0.0,0,0,0,0,7744,10708,13714,7744,10708,13714
base,3,iyi,mantikli,off,40000,1.0,0.0,0.0,0.0001,0.0,0.0,0,0,0,0,7286,10067,12879,7286,10067,12879
base,3,orta,acgozlu,on,40000,1.0,0.0,0.0,0.0001,0.0,0.0,0,0,0,0,1540,2677,4338,1540,2677,4338
base,3,orta,acgozlu,off,40000,1.0,0.0,0.0,0.0001,0.0,0.0,0,0,0,0,1501,2556,4050,1501,2556,4050
base,3,orta,hic,on,40000,1.0,0.0,0.0,0.0001,0.0,0.0,0,0,0,0,3262,4410,5597,3262,4410,5597
base,3,orta,hic,off,40000,1.0,0.0,0.0,0.0001,0.0,0.0,0,0,0,0,3221,4329,5471,3221,4329,5471
base,3,orta,mantikli,on,40000,0.99995,5e-05,1e-05,0.00018,5e-05,0.0,0,1,1,0,1780,3285,5109,1781,3285,5109
base,3,orta,mantikli,off,40000,0.99995,5e-05,1e-05,0.00018,5e-05,0.0,0,1,1,0,1680,3086,4835,1680,3086,4835
base,3,zayif,acgozlu,on,40000,0.9775,0.0225,0.02109,0.024,0.0225,0.0,0,0,245,655,207,568,1303,203,560,1086
base,3,zayif,acgozlu,off,40000,0.97512,0.02488,0.02339,0.02645,0.02488,0.0,0,0,326,669,210,573,1183,207,563,1028
base,3,zayif,hic,on,40000,0.5001,0.4999,0.495,0.5048,0.4999,0.0,0,1423,14530,4043,186,958,1613,96,387,864
base,3,zayif,hic,off,40000,0.45832,0.54168,0.53679,0.54655,0.54168,0.0,0,1645,16218,3804,193,1035,1611,93,378,809
base,3,zayif,mantikli,on,40000,0.4389,0.5611,0.55623,0.56596,0.5611,0.0,0,1829,17287,3328,218,1039,1600,105,384,702
base,3,zayif,mantikli,off,40000,0.39135,0.60865,0.60386,0.61342,0.60865,0.0,0,2059,19168,3119,235,1137,1603,103,385,710
base,4,iyi,acgozlu,on,40000,1.0,0.0,0.0,0.0001,0.0,0.0,0,0,0,0,5575,8815,12331,5575,8815,12331
base,4,iyi,acgozlu,off,40000,1.0,0.0,0.0,0.0001,0.0,0.0,0,0,0,0,5095,8073,11360,5095,8073,11360
base,4,iyi,hic,on,40000,1.0,0.0,0.0,0.0001,0.0,0.0,0,0,0,0,6930,8536,10166,6930,8536,10166
base,4,iyi,hic,off,40000,1.0,0.0,0.0,0.0001,0.0,0.0,0,0,0,0,6778,8288,9831,6778,8288,9831
base,4,iyi,mantikli,on,40000,1.0,0.0,0.0,0.0001,0.0,0.0,0,0,0,0,6654,9839,13265,6654,9839,13265
base,4,iyi,mantikli,off,40000,1.0,0.0,0.0,0.0001,0.0,0.0,0,0,0,0,6104,9101,12163,6104,9101,12163
base,4,orta,acgozlu,on,40000,1.0,0.0,0.0,0.0001,0.0,0.0,0,0,0,0,1571,2789,4541,1571,2789,4541
base,4,orta,acgozlu,off,40000,1.0,0.0,0.0,0.0001,0.0,0.0,0,0,0,0,1506,2590,4167,1506,2590,4167
base,4,orta,hic,on,40000,0.99988,0.00012,5e-05,0.00029,0.00013,0.0,0,1,4,0,3134,4527,5952,3135,4527,5952
base,4,orta,hic,off,40000,0.99998,2e-05,0.0,0.00014,3e-05,0.0,0,0,1,0,3056,4385,5745,3056,4385,5745
base,4,orta,mantikli,on,40000,0.99988,0.00012,5e-05,0.00029,0.00013,0.0,0,3,2,0,1686,3137,5353,1687,3137,5353
base,4,orta,mantikli,off,40000,0.99978,0.00022,0.00012,0.00043,0.00022,0.0,0,3,6,0,1581,2810,4795,1582,2810,4795
base,4,zayif,acgozlu,on,40000,0.97025,0.02975,0.02813,0.03146,0.02975,0.0,0,0,406,784,377,898,1823,370,882,1595
base,4,zayif,acgozlu,off,40000,0.9659,0.0341,0.03237,0.03592,0.0341,0.0,0,0,549,815,372,890,1757,363,872,1535
base,4,zayif,hic,on,40000,0.37813,0.62187,0.61711,0.62662,0.62187,0.0,0,4462,18062,2351,416,1612,2259,187,684,1423
base,4,zayif,hic,off,40000,0.33345,0.66655,0.66191,0.67115,0.66655,0.0,0,5100,19598,1964,445,1650,2256,182,671,1349
