variant,P,profile,strategy,events,runs,win,lose,lose_ci95_lo,lose_ci95_hi,bankrupt,prestigeDeath,bk_d4,bk_d8,bk_d12,bk_d16,final_p10,final_med,final_p90,surv_final_p10,surv_final_med,surv_final_p90
livecal,1,iyi,acgozlu,on,10000,1.0,0.0,0.0,0.00038,0.0,0.0,0,0,0,0,499,1090,2075,499,1090,2075
livecal,1,iyi,hic,on,10000,1.0,0.0,0.0,0.00038,0.0,0.0,0,0,0,0,1832,2463,3123,1832,2463,3123
livecal,1,iyi,mantikli,on,10000,1.0,0.0,0.0,0.00038,0.0,0.0,0,0,0,0,592,1270,2284,592,1270,2284
livecal,1,orta,acgozlu,on,10000,0.9999,0.0001,2e-05,0.00057,0.0001,0.0,0,0,1,0,140,316,541,140,316,541
livecal,1,orta,hic,on,10000,1.0,0.0,0.0,0.00038,0.0,0.0,0,0,0,0,660,1112,1591,660,1112,1591
livecal,1,orta,mantikli,on,10000,0.9995,0.0005,0.00021,0.00117,0.0005,0.0,0,0,2,3,127,302,585,127,302,585
livecal,1,zayif,acgozlu,on,10000,0.9071,0.0929,0.08737,0.09875,0.0929,0.0,0,0,184,745,39,149,430,35,135,393
livecal,1,zayif,hic,on,10000,0.7945,0.2055,0.19769,0.21353,0.2055,0.0,0,0,519,1536,45,159,427,37,104,356
livecal,1,zayif,mantikli,on,10000,0.8954,0.1046,0.09875,0.11075,0.1046,0.0,0,0,236,810,34,134,433,31,121,384
livecal,2,iyi,acgozlu,on,10000,1.0,0.0,0.0,0.00038,0.0,0.0,0,0,0,0,5625,8006,10312,5625,8006,10312
livecal,2,iyi,hic,on,10000,1.0,0.0,0.0,0.00038,0.0,0.0,0,0,0,0,5521,6573,7703,5521,6573,7703
livecal,2,iyi,mantikli,on,10000,1.0,0.0,0.0,0.00038,0.0,0.0,0,0,0,0,5891,8206,10575,5891,8206,10575
livecal,2,orta,acgozlu,on,10000,1.0,0.0,0.0,0.00038,0.0,0.0,0,0,0,0,825,1546,2748,825,1546,2748
livecal,2,orta,hic,on,10000,1.0,0.0,0.0,0.00038,0.0,0.0,0,0,0,0,2457,3264,4087,2457,3264,4087
livecal,2,orta,mantikli,on,10000,1.0,0.0,0.0,0.00038,0.0,0.0,0,0,0,0,1014,1949,3231,1014,1949,3231
livecal,2,zayif,acgozlu,on,10000,0.9866,0.0134,0.01133,0.01585,0.0134,0.0,0,0,36,98,110,316,661,109,312,617
livecal,2,zayif,hic,on,10000,0.7913,0.2087,0.20085,0.21678,0.2087,0.0,0,35,1223,829,114,416,919,93,320,737
livecal,2,zayif,mantikli,on,10000,0.9848,0.0152,0.01298,0.01779,0.0152,0.0,0,0,38,114,102,288,789,101,284,627
livecal,3,iyi,acgozlu,on,10000,1.0,0.0,0.0,0.00038,0.0,0.0,0,0,0,0,6572,9721,12792,6572,9721,12792
livecal,3,iyi,hic,on,10000,1.0,0.0,0.0,0.00038,0.0,0.0,0,0,0,0,6437,7784,9177,6437,7784,9177
livecal,3,iyi,mantikli,on,10000,1.0,0.0,0.0,0.00038,0.0,0.0,0,0,0,0,7685,10687,13646,7685,10687,13646
livecal,3,orta,acgozlu,on,10000,1.0,0.0,0.0,0.00038,0.0,0.0,0,0,0,0,1537,2673,4326,1537,2673,4326
livecal,3,orta,hic,on,10000,1.0,0.0,0.0,0.00038,0.0,0.0,0,0,0,0,3264,4404,5570,3264,4404,5570
livecal,3,orta,mantikli,on,10000,0.9999,0.0001,2e-05,0.00057,0.0001,0.0,0,0,1,0,1762,3263,5108,1762,3263,5108
livecal,3,zayif,acgozlu,on,10000,0.9781,0.0219,0.01921,0.02496,0.0219,0.0,0,0,62,157,203,564,1292,201,555,1090
livecal,3,zayif,hic,on,10000,0.4975,0.5025,0.4927,0.5123,0.5025,0.0,0,348,3644,1033,187,967,1615,99,382,878
livecal,3,zayif,mantikli,on,10000,0.4277,0.5723,0.56258,0.58197,0.5723,0.0,0,447,4398,878,229,1071,1605,108,392,714
livecal,4,iyi,acgozlu,on,10000,1.0,0.0,0.0,0.00038,0.0,0.0,0,0,0,0,5535,8768,12283,5535,8768,12283
livecal,4,iyi,hic,on,10000,1.0,0.0,0.0,0.00038,0.0,0.0,0,0,0,0,6966,8583,10171,6966,8583,10171
livecal,4,iyi,mantikli,on,10000,1.0,0.0,0.0,0.00038,0.0,0.0,0,0,0,0,6598,9861,13327,6598,9861,13327
livecal,4,orta,acgozlu,on,10000,1.0,0.0,0.0,0.00038,0.0,0.0,0,0,0,0,1562,2775,4488,1562,2775,4488
livecal,4,orta,hic,on,10000,0.9997,0.0003,0.0001,0.00088,0.0003,0.0,0,0,3,0,3129,4505,5939,3131,4507,5939
livecal,4,orta,mantikli,on,10000,0.9998,0.0002,5e-05,0.00073,0.0002,0.0,0,1,1,0,1679,3116,5318,1679,3116,5318
livecal,4,zayif,acgozlu,on,10000,0.9706,0.0294,0.02627,0.0329,0.0294,0.0,0,0,106,188,378,883,1795,369,870,1571
livecal,4,zayif,hic,on,10000,0.374,0.626,0.61647,0.63543,0.626,0.0,0,1190,4522,548,400,1621,2255,167,678,1436
livecal,4,zayif,mantikli,on,10000,0.3496,0.6504,0.641,0.65969,0.6504,0.0,0,1220,4769,515,416,1614,2255,172,604,1035
