variant,P,profile,strategy,events,runs,win,lose,lose_ci95_lo,lose_ci95_hi,bankrupt,prestigeDeath,bk_d4,bk_d8,bk_d12,bk_d16,final_p10,final_med,final_p90,surv_final_p10,surv_final_med,surv_final_p90
sens_fast,1,iyi,acgozlu,on,10000,1.0,0.0,0.0,0.00038,0.0,0.0,0,0,0,0,806,1825,3178,806,1825,3178
sens_fast,1,iyi,hic,on,10000,1.0,0.0,0.0,0.00038,0.0,0.0,0,0,0,0,2380,3080,3824,2380,3080,3824
sens_fast,1,iyi,mantikli,on,10000,1.0,0.0,0.0,0.00038,0.0,0.0,0,0,0,0,1010,2049,3302,1010,2049,3302
sens_fast,1,orta,acgozlu,on,10000,1.0,0.0,0.0,0.00038,0.0,0.0,0,0,0,0,205,451,812,205,451,812
sens_fast,1,orta,hic,on,10000,0.9999,0.0001,2e-05,0.00057,0.0001,0.0,0,0,1,0,993,1513,2059,993,1513,2059
sens_fast,1,orta,mantikli,on,10000,1.0,0.0,0.0,0.00038,0.0,0.0,0,0,0,0,213,495,963,213,495,963
sens_fast,1,zayif,acgozlu,on,10000,0.9816,0.0184,0.01594,0.02123,0.0184,0.0,0,0,58,126,56,167,347,55,165,332
sens_fast,1,zayif,hic,on,10000,0.9569,0.0431,0.03929,0.04726,0.0431,0.0,0,0,139,292,84,359,704,82,356,711
sens_fast,1,zayif,mantikli,on,10000,0.9761,0.0239,0.02108,0.02708,0.0239,0.0,0,0,61,178,49,148,337,48,145,314
sens_fast,2,iyi,acgozlu,on,10000,1.0,0.0,0.0,0.00038,0.0,0.0,0,0,0,0,8003,10375,12869,8003,10375,12869
sens_fast,2,iyi,hic,on,10000,1.0,0.0,0.0,0.00038,0.0,0.0,0,0,0,0,6453,7674,8941,6453,7674,8941
sens_fast,2,iyi,mantikli,on,10000,1.0,0.0,0.0,0.00038,0.0,0.0,0,0,0,0,8108,10567,12999,8108,10567,12999
sens_fast,2,orta,acgozlu,on,10000,1.0,0.0,0.0,0.00038,0.0,0.0,0,0,0,0,1469,2918,4864,1469,2918,4864
sens_fast,2,orta,hic,on,10000,1.0,0.0,0.0,0.00038,0.0,0.0,0,0,0,0,3481,4436,5414,3481,4436,5414
sens_fast,2,orta,mantikli,on,10000,1.0,0.0,0.0,0.00038,0.0,0.0,0,0,0,0,1863,3306,5050,1863,3306,5050
sens_fast,2,zayif,acgozlu,on,10000,0.9998,0.0002,5e-05,0.00073,0.0002,0.0,0,0,1,1,233,460,714,233,460,713
sens_fast,2,zayif,hic,on,10000,0.984,0.016,0.01372,0.01865,0.016,0.0,0,2,132,26,426,973,1621,422,981,1625
sens_fast,2,zayif,mantikli,on,10000,0.9991,0.0009,0.00047,0.00171,0.0009,0.0,0,0,1,8,210,423,694,210,423,691
sens_fast,3,iyi,acgozlu,on,10000,1.0,0.0,0.0,0.00038,0.0,0.0,0,0,0,0,7694,10879,13956,7694,10879,13956
sens_fast,3,iyi,hic,on,10000,1.0,0.0,0.0,0.00038,0.0,0.0,0,0,0,0,6959,8372,9865,6959,8372,9865
sens_fast,3,iyi,mantikli,on,10000,1.0,0.0,0.0,0.00038,0.0,0.0,0,0,0,0,8757,11715,14593,8757,11715,14593
sens_fast,3,orta,acgozlu,on,10000,1.0,0.0,0.0,0.00038,0.0,0.0,0,0,0,0,2306,4005,6385,2306,4005,6385
sens_fast,3,orta,hic,on,10000,1.0,0.0,0.0,0.00038,0.0,0.0,0,0,0,0,4099,5383,6705,4099,5383,6705
sens_fast,3,orta,mantikli,on,10000,1.0,0.0,0.0,0.00038,0.0,0.0,0,0,0,0,2750,4710,7082,2750,4710,7082
sens_fast,3,zayif,acgozlu,on,10000,0.9997,0.0003,0.0001,0.00088,0.0003,0.0,0,0,2,1,472,823,1254,472,823,1253
sens_fast,3,zayif,hic,on,10000,0.9343,0.0657,0.06101,0.07072,0.0657,0.0,0,61,564,32,637,1387,2216,617,1370,2249
sens_fast,3,zayif,mantikli,on,10000,0.9038,0.0962,0.09057,0.10214,0.0962,0.0,0,117,809,36,454,816,1421,436,780,1237
sens_fast,4,iyi,acgozlu,on,10000,1.0,0.0,0.0,0.00038,0.0,0.0,0,0,0,0,5934,9520,13244,5934,9520,13244
sens_fast,4,iyi,hic,on,10000,1.0,0.0,0.0,0.00038,0.0,0.0,0,0,0,0,7146,8852,10569,7146,8852,10569
sens_fast,4,iyi,mantikli,on,10000,1.0,0.0,0.0,0.00038,0.0,0.0,0,0,0,0,7174,10632,14218,7174,10632,14218
sens_fast,4,orta,acgozlu,on,10000,1.0,0.0,0.0,0.00038,0.0,0.0,0,0,0,0,2255,3951,6216,2255,3951,6216
sens_fast,4,orta,hic,on,10000,1.0,0.0,0.0,0.00038,0.0,0.0,0,0,0,0,4236,5699,7266,4236,5699,7266
sens_fast,4,orta,mantikli,on,10000,1.0,0.0,0.0,0.00038,0.0,0.0,0,0,0,0,2417,4487,6912,2417,4487,6912
sens_fast,4,zayif,acgozlu,on,10000,0.9992,0.0008,0.00041,0.00158,0.0008,0.0,0,0,6,2,619,1140,1977,619,1140,1973
sens_fast,4,zayif,hic,on,10000,0.821,0.179,0.17161,0.18664,0.179,0.0,0,299,1418,73,767,1723,2592,686,1608,2674
sens_fast,4,zayif,mantikli,on,10000,0.7987,0.2013,0.19356,0.20927,0.2013,0.0,0,332,1624,57,612,1147,2116,561,1029,1642
