variant,P,profile,strategy,events,runs,win,lose,lose_ci95_lo,lose_ci95_hi,bankrupt,prestigeDeath,bk_d4,bk_d8,bk_d12,bk_d16,final_p10,final_med,final_p90,surv_final_p10,surv_final_med,surv_final_p90
sens_slow,1,iyi,acgozlu,on,10000,1.0,0.0,0.0,0.00038,0.0,0.0,0,0,0,0,348,716,1420,348,716,1420
sens_slow,1,iyi,hic,on,10000,1.0,0.0,0.0,0.00038,0.0,0.0,0,0,0,0,1310,1853,2396,1310,1853,2396
sens_slow,1,iyi,mantikli,on,10000,1.0,0.0,0.0,0.00038,0.0,0.0,0,0,0,0,391,854,1561,391,854,1561
sens_slow,1,orta,acgozlu,on,10000,0.9996,0.0004,0.00016,0.00103,0.0004,0.0,0,0,2,2,95,231,396,95,231,396
sens_slow,1,orta,hic,on,10000,0.9983,0.0017,0.00106,0.00272,0.0017,0.0,0,0,2,15,321,693,1069,323,694,1069
sens_slow,1,orta,mantikli,on,10000,0.9982,0.0018,0.00114,0.00284,0.0018,0.0,0,0,4,14,81,204,376,80,203,375
sens_slow,1,zayif,acgozlu,on,10000,0.7573,0.2427,0.2344,0.2512,0.2404,0.0023,0,0,414,1990,35,170,449,26,121,389
sens_slow,1,zayif,hic,on,10000,0.4988,0.5012,0.4914,0.511,0.5007,0.0005,0,0,1178,3829,41,174,420,23,75,174
sens_slow,1,zayif,mantikli,on,10000,0.7374,0.2626,0.25407,0.27131,0.2598,0.0028,0,0,505,2093,32,160,452,24,109,388
sens_slow,2,iyi,acgozlu,on,10000,1.0,0.0,0.0,0.00038,0.0,0.0,0,0,0,0,3507,5679,7947,3507,5679,7947
sens_slow,2,iyi,hic,on,10000,1.0,0.0,0.0,0.00038,0.0,0.0,0,0,0,0,4438,5388,6345,4438,5388,6345
sens_slow,2,iyi,mantikli,on,10000,1.0,0.0,0.0,0.00038,0.0,0.0,0,0,0,0,3820,5874,8133,3820,5874,8133
sens_slow,2,orta,acgozlu,on,10000,1.0,0.0,0.0,0.00038,0.0,0.0,0,0,0,0,486,824,1319,486,824,1319
sens_slow,2,orta,hic,on,10000,1.0,0.0,0.0,0.00038,0.0,0.0,0,0,0,0,1378,2045,2695,1378,2045,2695
sens_slow,2,orta,mantikli,on,10000,1.0,0.0,0.0,0.00038,0.0,0.0,0,0,0,0,465,905,1622,465,905,1622
sens_slow,2,zayif,acgozlu,on,10000,0.7726,0.2274,0.21929,0.23572,0.227,0.0004,0,0,565,1705,95,338,994,76,269,830
sens_slow,2,zayif,hic,on,10000,0.1332,0.8668,0.86,0.87332,0.8668,0.0,0,255,5490,2923,194,681,962,25,144,259
sens_slow,2,zayif,mantikli,on,10000,0.7527,0.2473,0.23894,0.25585,0.2469,0.0004,0,0,587,1882,87,321,997,70,243,812
sens_slow,3,iyi,acgozlu,on,10000,1.0,0.0,0.0,0.00038,0.0,0.0,0,0,0,0,5140,8037,10996,5140,8037,10996
sens_slow,3,iyi,hic,on,10000,1.0,0.0,0.0,0.00038,0.0,0.0,0,0,0,0,5634,6887,8191,5634,6887,8191
sens_slow,3,iyi,mantikli,on,10000,1.0,0.0,0.0,0.00038,0.0,0.0,0,0,0,0,6140,8871,11726,6140,8871,11726
sens_slow,3,orta,acgozlu,on,10000,1.0,0.0,0.0,0.00038,0.0,0.0,0,0,0,0,818,1408,2273,818,1408,2273
sens_slow,3,orta,hic,on,10000,0.9994,0.0006,0.00028,0.00131,0.0006,0.0,0,0,6,0,1702,2660,3635,1704,2660,3635
sens_slow,3,orta,mantikli,on,10000,0.9985,0.0015,0.00091,0.00247,0.0015,0.0,0,2,13,0,885,1666,3005,884,1667,3005
sens_slow,3,zayif,acgozlu,on,10000,0.623,0.377,0.36755,0.38654,0.377,0.0,0,0,1341,2429,167,609,1782,110,406,726
sens_slow,3,zayif,hic,on,10000,0.0436,0.9564,0.95222,0.96023,0.9564,0.0,0,2253,6661,650,699,1084,1466,37,222,577
sens_slow,3,zayif,mantikli,on,10000,0.0357,0.9643,0.96048,0.96776,0.9643,0.0,0,2358,6730,555,708,1087,1460,45,231,492
sens_slow,4,iyi,acgozlu,on,10000,1.0,0.0,0.0,0.00038,0.0,0.0,0,0,0,0,4738,7715,10995,4738,7715,10995
sens_slow,4,iyi,hic,on,10000,1.0,0.0,0.0,0.00038,0.0,0.0,0,0,0,0,6185,7655,9208,6185,7655,9208
sens_slow,4,iyi,mantikli,on,10000,1.0,0.0,0.0,0.00038,0.0,0.0,0,0,0,0,5723,8635,11888,5723,8635,11888
sens_slow,4,orta,acgozlu,on,10000,1.0,0.0,0.0,0.00038,0.0,0.0,0,0,0,0,810,1381,2489,810,1381,2489
sens_slow,4,orta,hic,on,10000,0.9917,0.0083,0.0067,0.01028,0.0083,0.0,0,1,79,3,1282,2269,3376,1277,2274,3381
sens_slow,4,orta,mantikli,on,10000,0.9913,0.0087,0.00706,0.01072,0.0087,0.0,0,4,81,2,876,1611,3095,872,1604,3106
sens_slow,4,zayif,acgozlu,on,10000,0.6463,0.3537,0.34439,0.36313,0.3537,0.0,0,0,1530,2007,225,897,2530,152,618,1084
sens_slow,4,zayif,hic,on,10000,0.0235,0.9765,0.97334,0.97929,0.9765,0.0,0,4241,5255,269,1016,1523,2043,56,355,885
sens_slow,4,zayif,mantikli,on,10000,0.0239,0.9761,0.97292,0.97892,0.9761,0.0,0,4254,5246,261,1013,1523,2045,79,364,833
