variant,P,profile,strategy,events,runs,win,lose,lose_ci95_lo,lose_ci95_hi,bankrupt,prestigeDeath,bk_d4,bk_d8,bk_d12,bk_d16,final_p10,final_med,final_p90,surv_final_p10,surv_final_med,surv_final_p90
wi_norep,1,iyi,acgozlu,on,10000,1.0,0.0,0.0,0.00038,0.0,0.0,0,0,0,0,506,1105,2159,506,1105,2159
wi_norep,1,iyi,hic,on,10000,1.0,0.0,0.0,0.00038,0.0,0.0,0,0,0,0,1838,2467,3115,1838,2467,3115
wi_norep,1,iyi,mantikli,on,10000,1.0,0.0,0.0,0.00038,0.0,0.0,0,0,0,0,580,1297,2317,580,1297,2317
wi_norep,1,orta,acgozlu,on,10000,1.0,0.0,0.0,0.00038,0.0,0.0,0,0,0,0,143,323,553,143,323,553
wi_norep,1,orta,hic,on,10000,0.9998,0.0002,5e-05,0.00073,0.0002,0.0,0,0,0,2,669,1110,1575,669,1110,1575
wi_norep,1,orta,mantikli,on,10000,0.9998,0.0002,5e-05,0.00073,0.0002,0.0,0,0,1,1,125,300,569,125,300,569
wi_norep,1,zayif,acgozlu,on,10000,0.9067,0.0933,0.08775,0.09916,0.0933,0.0,0,0,211,722,40,153,431,37,137,400
wi_norep,1,zayif,hic,on,10000,0.8002,0.1998,0.19208,0.20775,0.1998,0.0,0,1,537,1460,43,158,427,35,108,361
wi_norep,1,zayif,mantikli,on,10000,0.8793,0.1207,0.11446,0.12723,0.1207,0.0,0,0,292,915,36,134,438,32,120,391
wi_norep,2,iyi,acgozlu,on,10000,1.0,0.0,0.0,0.00038,0.0,0.0,0,0,0,0,5904,8372,10807,5904,8372,10807
wi_norep,2,iyi,hic,on,10000,1.0,0.0,0.0,0.00038,0.0,0.0,0,0,0,0,5543,6595,7699,5543,6595,7699
wi_norep,2,iyi,mantikli,on,10000,1.0,0.0,0.0,0.00038,0.0,0.0,0,0,0,0,6198,8535,10929,6198,8535,10929
wi_norep,2,orta,acgozlu,on,10000,1.0,0.0,0.0,0.00038,0.0,0.0,0,0,0,0,837,1563,2739,837,1563,2739
wi_norep,2,orta,hic,on,10000,1.0,0.0,0.0,0.00038,0.0,0.0,0,0,0,0,2454,3268,4056,2454,3268,4056
wi_norep,2,orta,mantikli,on,10000,1.0,0.0,0.0,0.00038,0.0,0.0,0,0,0,0,1012,1936,3222,1012,1936,3222
wi_norep,2,zayif,acgozlu,on,10000,0.9855,0.0145,0.01234,0.01704,0.0145,0.0,0,0,37,108,112,318,751,111,314,648
wi_norep,2,zayif,hic,on,10000,0.7794,0.2206,0.21258,0.22883,0.2206,0.0,0,51,1304,851,102,391,900,81,288,691
wi_norep,2,zayif,mantikli,on,10000,0.9801,0.0199,0.01734,0.02283,0.0199,0.0,0,0,41,158,99,284,848,97,281,711
wi_norep,3,iyi,acgozlu,on,10000,1.0,0.0,0.0,0.00038,0.0,0.0,0,0,0,0,6953,10143,13098,6953,10143,13098
wi_norep,3,iyi,hic,on,10000,1.0,0.0,0.0,0.00038,0.0,0.0,0,0,0,0,6520,7841,9229,6520,7841,9229
wi_norep,3,iyi,mantikli,on,10000,1.0,0.0,0.0,0.00038,0.0,0.0,0,0,0,0,7903,10922,13917,7903,10922,13917
wi_norep,3,orta,acgozlu,on,10000,1.0,0.0,0.0,0.00038,0.0,0.0,0,0,0,0,1531,2671,4303,1531,2671,4303
wi_norep,3,orta,hic,on,10000,1.0,0.0,0.0,0.00038,0.0,0.0,0,0,0,0,3235,4371,5522,3235,4371,5522
wi_norep,3,orta,mantikli,on,10000,1.0,0.0,0.0,0.00038,0.0,0.0,0,0,0,0,1798,3260,5071,1798,3260,5071
wi_norep,3,zayif,acgozlu,on,10000,0.9747,0.0253,0.0224,0.02856,0.0253,0.0,0,0,69,184,206,564,1452,203,555,1125
wi_norep,3,zayif,hic,on,10000,0.4694,0.5306,0.52081,0.54037,0.5306,0.0,0,359,3800,1147,185,1009,1623,88,369,823
wi_norep,3,zayif,mantikli,on,10000,0.4586,0.5414,0.53162,0.55115,0.5414,0.0,0,455,4162,797,212,1009,1602,107,395,737
wi_norep,4,iyi,acgozlu,on,10000,1.0,0.0,0.0,0.00038,0.0,0.0,0,0,0,0,6049,9374,12939,6049,9374,12939
wi_norep,4,iyi,hic,on,10000,1.0,0.0,0.0,0.00038,0.0,0.0,0,0,0,0,7116,8700,10273,7116,8700,10273
wi_norep,4,iyi,mantikli,on,10000,1.0,0.0,0.0,0.00038,0.0,0.0,0,0,0,0,7059,10390,13775,7059,10390,13775
wi_norep,4,orta,acgozlu,on,10000,1.0,0.0,0.0,0.00038,0.0,0.0,0,0,0,0,1602,2816,4563,1602,2816,4563
wi_norep,4,orta,hic,on,10000,1.0,0.0,0.0,0.00038,0.0,0.0,0,0,0,0,3166,4522,5921,3166,4522,5921
wi_norep,4,orta,mantikli,on,10000,0.9999,0.0001,2e-05,0.00057,0.0001,0.0,0,0,1,0,1787,3236,5367,1787,3236,5367
wi_norep,4,zayif,acgozlu,on,10000,0.9726,0.0274,0.02438,0.03079,0.0274,0.0,0,0,113,161,362,896,1879,353,880,1643
wi_norep,4,zayif,hic,on,10000,0.3663,0.6337,0.62421,0.64309,0.6337,0.0,0,1028,4623,686,392,1620,2279,162,644,1364
wi_norep,4,zayif,mantikli,on,10000,0.3471,0.6529,0.64351,0.66217,0.6529,0.0,0,1059,4885,585,409,1623,2272,176,593,1052
