p_count,profile,strategy,speed_mod,what_if,win_pct,bank_pct,med_money,p10_money,p90_money,fail_d4,fail_d8,fail_d12,fail_d16,corr_d3,corr_d5,corr_d8,corr_d12
1,weak,never_buy,1.0,True,1.0,0.0,7628.5,7075.9,8170.9,0,0,0,0,0,0,0,0
1,weak,greedy,1.0,True,1.0,0.0,35677.5,20394.9,60800.0,0,0,0,0,0,0,0,0
1,weak,sensible,1.0,True,1.0,0.0,21740.5,15402.5,31344.3,0,0,0,0,0,0,0,0
1,average,never_buy,1.0,True,1.0,0.0,14555.0,13808.0,15291.7,0,0,0,0,0,0,0,0
1,average,greedy,1.0,True,1.0,0.0,71651.0,43409.4,120964.09999999999,0,0,0,0,0,0,0,0
1,average,sensible,1.0,True,1.0,0.0,43204.0,31335.2,60470.6,0,0,0,0,0,0,0,0
1,good,never_buy,1.0,True,1.0,0.0,23703.0,22761.8,24592.0,0,0,0,0,0,0,0,0
1,good,greedy,1.0,True,1.0,0.0,114528.5,71821.5,195052.4,0,0,0,0,0,0,0,0
1,good,sensible,1.0,True,1.0,0.0,68625.0,50959.9,96445.5,0,0,0,0,0,0,0,0
2,weak,never_buy,1.0,True,1.0,0.0,16537.5,15562.3,17487.8,0,0,0,0,0,0,0,0
2,weak,greedy,1.0,True,1.0,0.0,84544.0,52664.5,144892.09999999998,0,0,0,0,0,0,0,0
2,weak,sensible,1.0,True,1.0,0.0,51569.0,36939.2,72034.3,0,0,0,0,0,0,0,0
2,average,never_buy,1.0,True,1.0,0.0,31813.5,30481.3,33204.9,0,0,0,0,0,0,0,0
2,average,greedy,1.0,True,1.0,0.0,158877.5,97000.9,270810.3,0,0,0,0,0,0,0,0
2,average,sensible,1.0,True,1.0,0.0,96920.5,70386.8,135059.1,0,0,0,0,0,0,0,0
2,good,never_buy,1.0,True,1.0,0.0,51710.0,49756.2,53746.4,0,0,0,0,0,0,0,0
2,good,greedy,1.0,True,1.0,0.0,257788.0,163547.4,425106.5,0,0,0,0,0,0,0,0
2,good,sensible,1.0,True,1.0,0.0,156781.0,114415.4,221070.09999999998,0,0,0,0,0,0,0,0
3,weak,never_buy,1.0,True,1.0,0.0,31758.5,30108.5,33427.0,0,0,0,0,0,0,0,0
3,weak,greedy,1.0,True,0.9892086330935251,0.0,173306.0,105986.8,282764.6,0,0,0,0,0.05347281613688743,0.019684319398604003,-0.08431551702771241,-0.26757791853849827
3,weak,sensible,1.0,True,1.0,0.0,104505.5,73867.0,143314.3,0,0,0,0,0,0,0,0
3,average,never_buy,1.0,True,1.0,0.0,61284.5,58609.4,64159.799999999996,0,0,0,0,0,0,0,0
3,average,greedy,1.0,True,0.9946043165467626,0.0,312042.5,193683.1,520088.2,0,0,0,0,0.004462674851483409,0.011723226760834546,-0.0755969999885295,-0.21795226338080367
3,average,sensible,1.0,True,1.0,0.0,191645.0,137202.6,259570.0,0,0,0,0,0,0,0,0
3,good,never_buy,1.0,True,1.0,0.0,98905.0,94917.6,102935.9,0,0,0,0,0,0,0,0
3,good,greedy,1.0,True,1.0,0.0,508515.0,312081.7,848521.9,0,0,0,0,0,0,0,0
3,good,sensible,1.0,True,1.0,0.0,301196.5,218057.1,415228.5,0,0,0,0,0,0,0,0
4,weak,never_buy,1.0,True,1.0,0.0,54994.5,52397.9,57946.4,0,0,0,0,0,0,0,0
4,weak,greedy,1.0,True,0.9262589928057554,0.0,286249.5,179232.8,484901.1,0,0,0,0,-0.00036280934688312803,0.03954508495919295,-0.19676030655924753,-0.501998340518653
4,weak,sensible,1.0,True,1.0,0.0,171424.0,124401.7,241197.1,0,0,0,0,0,0,0,0
4,average,never_buy,1.0,True,1.0,0.0,104393.0,100182.0,108542.8,0,0,0,0,0,0,0,0
4,average,greedy,1.0,True,0.9802158273381295,0.0,544299.0,336799.5,875295.2999999999,0,0,0,0,0.011397890420156574,-0.00022626936659969247,-0.10444064135443507,-0.3240210434156819
4,average,sensible,1.0,True,1.0,0.0,324077.0,240213.1,452672.6,0,0,0,0,0,0,0,0
4,good,never_buy,1.0,True,1.0,0.0,167833.0,161506.9,174168.9,0,0,0,0,0,0,0,0
4,good,greedy,1.0,True,0.9991007194244604,0.0,830390.0,517412.6,1436801.2,0,0,0,0,0.002324340413364554,0.0024944530677142593,-0.037984231613155346,-0.10762061550342994
4,good,sensible,1.0,True,1.0,0.0,508253.5,375635.6,695646.3999999999,0,0,0,0,0,0,0,0
